,model,question,solution,answer,accuracy,solvability,appropriateness,mac
319,llama,A T-Rex is 12 feet tall and weighs 6 tons.  A Triceratops is 9 feet tall and weighs 6 tons.  A Velociraptor is 6 feet tall and weighs 0.5 tons.  How much heavier is the T-Rex than the Velociraptor?,"def solution():
    #A T-Rex is 12 feet tall and weighs 6 tons
    trex_height = 12
    trex_weight = 6
    #A Triceratops is 9 feet tall and weighs 6 tons
    triceratops_height = 9
    triceratops_weight = 6
    #A Velociraptor is 6 feet tall and weighs 0.5 tons
    velociraptor_height = 6
    velociraptor_weight = 0.5
    #The answer is
    result = trex_weight - velociraptor_weight
    return result",5.5,1.0,1,1.0,1
320,llama,A volleyball team won 15 games. They lost 5 games. How many games did they play in total?,"def solution():
    #The volleyball team won 15 games
    wins = 15
    #They lost 5 games
    losses = 5
    #The answer is
    result = wins + losses
    return result",20,1.0,1,1.0,1
321,mammoth,A man bought 640 ice creams. He gave 20 ice creams to his friends. He then gave 100 ice creams to his family. He then gave 150 ice creams to his colleagues. How many ice creams does he have left?,"def solution():
    #The man bought 640 ice creams
    ice_creams_bought = 640
    #He gave 20 ice creams to his friends
    ice_creams_friends = 20
    #He gave 100 ice creams to his family
    ice_creams_family = 100
    #He gave 150 ice creams to his colleagues
    ice_creams_colleagues = 150
    #The answer is
    result = ice_creams_bought - ice_creams_friends - ice_creams_family - ice_creams_colleagues
    return result
print(solution())",370,1.0,1,1.0,1
322,llama,Spiderman has 100 spiderwebs. 50 of them are used to make a web net to catch criminals. 20 of them are used to make a web rope to swing around the city. 10 of them are used to make a web parachute. How many spiderwebs does he have left?,"def solution():
    #Spiderman started with 100 spiderwebs
    spiderwebs_initial = 100
    #50 of them were used to make a web net to catch criminals
    spiderwebs_net = 50
    #20 of them were used to make a web rope to swing around the city
    spiderwebs_rope = 20
    #10 of them were used to make a web parachute
    spiderwebs_parachute = 10
    #The answer is
    result = spiderwebs_initial - spiderwebs_net - spiderwebs_rope - spiderwebs_parachute
    return result",20,1.0,1,1.0,1
323,llema,"Barbie makes 22 out of 50 shots in her first game. The next game, she makes 36 out of 75 shots. How many total shots does she make on the two games?","def solution():
    #Barbie had 22 attempts
    attempts_1 = 50
    #The score
    result_1 = 22
    #Barbie had 36 attempts
    attempts_2 = 75
    #The score
    result_2 = 36
    #The answer is
    result = result_1 + result_2
    return result",58,1.0,1,0.0,0
324,mammoth,"If you have $10 and you buy 3 scoops of ice cream, how much will you have left?","def solution():
    # initial amount
    initial_amount = 10
    # cost of 1 scoop of ice cream
    cost_per_scoop = 3
    # total cost
    total_cost = cost_per_scoop * 3
    # remaining amount
    remaining_amount = initial_amount - total_cost
    return remaining_amount
print(solution())",1,,0,,0
325,llama,A train travels 100 miles in 2 hours. How fast is the train traveling?,"def solution():
    #The train traveled 100 miles in 2 hours
    miles_traveled = 100
    hours_traveled = 2
    #The answer is
    result = miles_traveled / hours_traveled
    return result",50.0,1.0,1,1.0,1
326,mammoth,"The Raptors have 5 players on the court. The players have 200 points combined. If the first player scores 50 points, how many points are left for the other 4 players?","def solution():
    #Total points
    total_points = 200
    #Points scored by the first player
    points_player1 = 50
    #Points left for the other 4 players
    points_left = total_points - points_player1
    return points_left
print(solution())",150,1.0,1,0.0,0
327,mammoth,"There are 8 gyms in the Kanto region. Each gym has a leader that specializes in a specific type of Pokémon. If a trainer defeats a gym leader, they receive a badge. A trainer can only hold one badge from each gym at a time. If a trainer has already obtained a badge from a gym, they cannot obtain another badge from the same gym. How many different badges can a trainer obtain in the Kanto region?","def solution():
    # Number of gyms in the Kanto region
    gyms = 8
    
    # A trainer can only hold one badge from each gym at a time
    badges_per_gym = 1
    
    # Total number of badges a trainer can obtain
    total_badges = gyms * badges_per_gym
    
    return total_badges",8,1.0,1,0.0,0
328,llema,There are 5175 Pokémon available to battle in Pokémon Sword and Shield. There are 310 ground-type Pokémon and 182 water-type Pokémon. There are 610 Pokémon that are not ground nor water type. How many Pokémon are ground-type or water-type?,"def solution():
    #Total Pokémon
    total_pokemon = 5175
    #Ground type
    ground_type = 310
    #Water type
    water_type = 182
    #Pokémon not ground or water type
    other_type = 610
    #The answer is
    result = total_pokemon - other_type
    return result",4565,,0,,0
330,llama,"Superman can run 100 mph, and Batman can run 60 mph. How much faster is Superman than Batman?","def solution():
    #Superman can run 100 mph
    superman_speed = 100
    #Batman can run 60 mph
    batman_speed = 60
    #The answer is
    result = superman_speed - batman_speed
    return result",40,1.0,1,0.0,0
332,mammoth,Sally has 100 pieces of candy. She eats 50 pieces and gives away 25 pieces. How many pieces of candy does she have left?,"def solution():
    # Sally started with 100 pieces of candy
    candy_initial = 100
    # Sally ate 50 pieces of candy
    candy_eaten = 50
    # Sally gave away 25 pieces of candy
    candy_given_away = 25
    # The answer is
    result = candy_initial - candy_eaten - candy_given_away
    return result",25,1.0,1,1.0,1
333,llema,Superman can run 15 feet per second. He is 100 feet away from a power up. How long does it take Superman to get to the power up?,"def solution():
    #Superman can run 15 feet per second
    foot_speed = 15
    #He is 100 feet away from a power up
    distance_feet = 100
    #Calculate how many seconds it will take
    seconds = distance_feet / foot_speed
    return seconds",6.666666666666667,1.0,1,0.0,0
334,llema,"Every Pokémon is assigned a type. There are 18 Pokémon of a type other than Electric, Fire, or Water. There are 10 Electric-type, 13 Fire-type, and 5 Water-type Pokémon. How many Pokémon are of a type other than Electric, Fire, or Water?","def solution():
    #Total number of Pokés
    total_pokes = 18
    #Number of Electric-type
    electric = 10
    #Number of Fire-type
    fire = 13
    #Number of Water-type
    water = 5
    #Number of Pokémon of a type other than Electric, Fire, or Water
    other_types = total_pokes  - electric - fire - water
    return other_types",-10,0.0,1,0.0,0
335,mammoth,Captain America can run 10 miles per day. How many days does it take to run 75 miles?,"def solution():
    #Captain America can run 10 miles per day
    speed = 10
    #How many days does it take to run 75 miles?
    distance = 75
    #The answer is
    result = distance / speed
    return result
print(solution())",7.5,1.0,1,1.0,1
337,llema,"In 2017, Serena Williams earned 18 million from endorsing brands. How much money did Serena get for
5 endorsements?","def solution():
    #Serena Williams earned 18 million in endorsements
    serena_endorsements = 18000000
    #From 3 endorsements
    num_endorsements = 3
    #Serena gets
    serena_get = serena_endorsements / num_endorsements
    #The answer is
    result = serena_get
    return result",6000000.0,,0,,0
338,llama,A train leaves New York City at 10:00 AM and travels at 60 miles per hour. Another train leaves Los Angeles at 9:00 AM and travels at 70 miles per hour. The distance between New York City and Los Angeles is 2500 miles. How long will it take for the trains to meet?,"def solution():
    #The distance between New York City and Los Angeles is 2500 miles
    distance = 2500
    #The first train leaves New York City at 10:00 AM and travels at 60 miles per hour
    time_train_1_departs = 10
    speed_train_1 = 60
    #The second train leaves Los Angeles at 9:00 AM and travels at 70 miles per hour
    time_train_2_departs = 9
    speed_train_2 = 70
    #The answer is
    result = distance / (speed_train_1 + speed_train_2)
    return result",19.23076923076923,0.0,1,1.0,0
340,llema,"Hello Kitty has 7 pencils. She uses 2 pencils. Then she buys 3 more pencils from the store. Finally, she loses 1 pencil to her friend. How many pencils does she have now?","def solution():
    #Hello Kitty started with 7 pencils
    pencils_initial = 7
    #She uses 2 pencils
    pencils_used = 2
    #Then she has 7 - 2 = 5 pencils
    pencils_intermediate_1 = pencils_initial - pencils_used
    #She buys 3 more pencils
    pencils_bought_1 = 3
    #She has 5 + 3 = 8 pencils
    pencils_intermediate_2 = pencils_intermediate_1 + pencils_bought_1
    #She loses 1 pencil to her friend
    pencils_lost = 1
    #She has
    return result",5,0.0,1,1.0,0
341,mammoth,"There are 12 cookies in a jar. Four of the cookies are chocolate, and there are 3 more vanilla cookies than chocolate cookies. How many vanilla cookies are in the jar?","def solution():
    # total number of cookies
    total_cookies = 12
    # number of chocolate cookies
    chocolate_cookies = 4
    # number of vanilla cookies
    vanilla_cookies = chocolate_cookies + 3
    return vanilla_cookies
print(solution())",7,1.0,1,0.0,0
342,mammoth,"What is the total number of odd days in the years 2020, 2021, 2022, 2023, and 2024?","def solution():
    # The number of odd days in the year 2020 is 2
    odd_days_2020 = 2
    # The number of odd days in the year 2021 is 1 (since it is an ordinary year)
    odd_days_2021 = 1
    # The number of odd days in the year 2022 is 1 (since it is a leap year)
    odd_days_2022 = 2
    # The number of odd days in the year 2023 is 1 (since it is an ordinary year)
    odd_days_2023 = 1
    # The number of odd days in the year 2024 is 2 (since it is a
    return result",5,0.0,1,0.0,0
343,mammoth,"Wonder Woman's superhero costume has 5 red stars on the chest, 2 on the belt, and 5 on the cape. How many stars are on her costume?","def solution():
    #There are 5 red stars on the chest
    stars_on_chest = 5
    #2 on the belt
    stars_on_belt = 2
    #and 5 on the cape
    stars_on_cape = 5
    #The answer is
    result = stars_on_chest + stars_on_belt + stars_on_cape
    return result",12,1.0,1,0.0,0
344,mammoth,"If a bag of candy has 100 pieces and you eat 75 pieces, how many pieces are left?","def solution():
    total_candies = 100
    ate_candies = 75
    remaining_candies = total_candies - ate_candies
    return remaining_candies",25,1.0,1,1.0,1
346,mammoth,Superman can fly 1000 miles in 1 hour. He needs to fly 5000 miles. How many hours will it take?,"def solution():
    #Superman can fly 1000 miles in 1 hour
    miles_per_hour = 1000
    #He needs to fly 5000 miles
    miles_needed = 5000
    #The answer is
    result = miles_needed / miles_per_hour
    return result",5.0,1.0,1,1.0,1
348,llama,"There are 12 planes on the tarmac. 4 of the planes are Boeing 737s, and 3 of the Boeing 737s are Southwest Airlines planes. How many Southwest Airlines planes are on the tarmac?","def solution():
    #There are 12 planes on the tarmac
    total_planes = 12
    #4 of the planes are Boeing 737s
    boeing_737s = 4
    #3 of the Boeing 737s are Southwest Airlines planes
    southwest_planes = 3
    #The answer is
    result = southwest_planes
    return result",3,,0,,0
350,llema,"In 2019, the New England Patriots lost their first two games of the season. Then their coach was fired, and they won their next 8 games, then lost their last game of the season. How many games did they win?","def solution():
    #The New England Patriots started off with 2 losses
    patriots_lost = 2
    #They then won 8 of their next 9 games
    patriots_won = 8
    #How many games did they win? The answer is
    result = patriots_lost + patriots_won
    return result",10,0.0,1,0.0,0
355,llama,"There are 120 cookies in a box. 10 of the cookies are chocolate chip, 20 are peanut butter, and the rest are sugar cookies. How many of the cookies are sugar cookies?","def solution():
    #Total number of cookies
    total_cookies = 120
    #Number of chocolate chip cookies
    chocolate_chip_cookies = 10
    #Number of peanut butter cookies
    peanut_butter_cookies = 20
    #The rest are sugar cookies. The answer is
    sugar_cookies = total_cookies - chocolate_chip_cookies - peanut_butter_cookies
    return sugar_cookies",90,1.0,1,1.0,1
356,mammoth,There are 100 dogs in a park. 70% of the dogs are big dogs. 20% of the dogs are small dogs. 10% of the dogs are medium dogs. How many dogs are medium dogs?,"def solution():
    total_dogs = 100
    big_dogs = 0.70 * total_dogs
    small_dogs = 0.20 * total_dogs
    medium_dogs = 0.10 * total_dogs
    return medium_dogs
print(solution())",10.0,1.0,1,1.0,1
359,mammoth,Iron Man's suit can fly at a speed of 50 miles per hour. He flies for 1 hour. How far does he travel?,"def solution():
    #Iron Man's suit can fly at a speed of 50 miles per hour
    speed = 50
    #He flies for 1 hour
    hours = 1
    #The answer is
    result = speed * hours
    return result",50,1.0,1,1.0,1
361,llama,"LeBron James has 100 points. He scored 20 points in the first game of the season, 10 points in the second game, and 30 points in the third game. How many points did he score in the fourth game?","def solution():
    #LeBron James has 100 points
    lebron_points = 100
    #He scored 20 points in the first game
    first_game_points = 20
    #He scored 10 points in the second game
    second_game_points = 10
    #He scored 30 points in the third game
    third_game_points = 30
    #The answer is
    result = lebron_points - first_game_points - second_game_points - third_game_points
    return result",40,,0,,0
362,llema,There are 20 soccer teams where each team has 20 players. How many players are there in total?,"def solution():
    #There are 20 soccer teams and 20 players in each team
    soccer_teams = 20
    players_per_team = 20
    #The answer is
    result = soccer_teams * players_per_team
    return result",400,1.0,1,1.0,1
363,llama,"Batman is 6 feet tall. He's standing on a 30-foot tall building. 
How tall is he now?","def solution():
    #Batman is 6 feet tall
    batman_height = 6
    #He's standing on a 30-foot tall building
    building_height = 30
    #The answer is
    result = batman_height + building_height
    return result",36,0.0,1,0.0,0
364,llema,Captain Marvel ate 40 cookies. 20 of the cookies were chocolate chip. 12 of the cookies were snickerdoodles. 2 of the cookies were peanut butter. How many more peanut butter cookies did Captain Marvel eat than snickerdoodle cookies?,"def solution():
    #Total amount of cookies
    total = 40
    #Out of the total amount of cookies, 20 of the cookies were chocolate chip
    chocolate_chip = 20
    #12 of the cookies were snickerdoodles
    snickerdoodles = 12
    #2 of the cookies were peanut butter
    peanut_butter = 2
    peanut_butter_more = chocolate_chip - snickerdoodles
    return peanut_butter_more",8,,0,,0
365,llama,The cheer leading squad has 30 girls. 1/3 of them are freshmen. 1/3 of them are sophomores. 1/3 of them are juniors. How many cheer leaders are in each grade?,"def solution():
    #Total number of cheer leaders
    total_cheer_leaders = 30
    #1/3 of them are freshmen
    freshmen_cheer_leaders = 1/3 * total_cheer_leaders
    #1/3 of them are sophomores
    sophomore_cheer_leaders = 1/3 * total_cheer_leaders
    #1/3 of them are juniors
    junior_cheer_leaders = 1/3 * total_cheer_leaders
    #The answer is
    result = freshmen_cheer_leaders + sophomore_cheer_leaders + junior_cheer_leaders
    return result",30.0,0.0,1,1.0,0
366,mammoth,Captain America can run 20 miles per hour. He needs to run 300 miles to get to the top of a mountain. How many hours will it take him to get to the top of the mountain?,"def solution():
    #Captain America can run 20 miles per hour
    running_speed = 20
    #He needs to run 300 miles to get to the top of a mountain
    running_distance = 300
    #The answer is
    result = running_distance / running_speed
    return result
print(solution())",15.0,1.0,1,0.0,0
368,llema,"There are 20 planes in the sky. 5 are flying north. 7 are flying south. 3 are flying east. 5 are flying west. How many planes are not flying north, south, east, or west?","def solution():
    # Total number of planes
    total_number_planes = 20
    # Number of planes flying north
    planes_north = 5
    # Number of planes flying south
    planes_south = 7
    # Number of planes flying east
    planes_east = 3
    # Number of planes flying west
    planes_west = 5
    #Number of planes not flying north, south, east, or west
    planes_not_moving = total_number_planes - planes_north - planes_south - planes_east - planes_west
    return planes_not_moving",0,1.0,1,1.0,1
370,llama,"A car has a fuel efficiency of 20 miles per gallon. 
How many gallons of gas are needed to drive 500 miles?","def solution():
    #A car has a fuel efficiency of 20 miles per gallon
    fuel_efficiency = 20
    #How many gallons of gas are needed to drive 500 miles?
    gallons_needed = 500 / fuel_efficiency
    return gallons_needed",25.0,1.0,1,1.0,1
371,llema,A farmer had 10 unicorns. She sold 4 of the unicorns and brought 6 more. How many unicorns does she have now?,"def solution():
    #She started with 10 unicorns
    unicorns_initial = 10
    #She sold 4 unicorns
    unicorns_sold = 4
    #She bought 6 more unicorns
    unicorns_bought = 6
    #The answer is
    result = unicorns_initial - unicorns_sold - unicorns_bought
    return result",0,0.0,1,0.0,0
372,mammoth,A volleyball team has 12 players. Each player has 2 parents attending the game. How many people are in the audience?,"def solution():
    # number of players
    players = 12
    # number of parents per player
    parents_per_player = 2
    # calculate the total number of people in the audience
    total_people = players * parents_per_player
    return total_people
print(solution())",24,,0,,0
374,mammoth,Captain Marvel can fly 25 miles in 5 minutes. How many miles can he fly in 10 minutes?,"def solution():
    #Captain Marvel can fly 25 miles in 5 minutes
    miles_per_5_minutes = 25
    #The answer is
    result = (miles_per_5_minutes * 10) / 5
    return result
print(solution())",50.0,1.0,1,0.0,0
378,llema,"The Grizzlies average 5 assists per game. If the Grizzlies play 30 games in a season, how many assists do they accrue for the season?","def solution():
    #The Grizzlies average 5 assists per game.
    grizzlies_avg_assists = 5
    #The Grizzlies play 30 games in a season
    games_played = 30
    #The assists for the season are
    assists_season = grizzlies_avg_assists * games_played
    return assists_season",150,1.0,1,1.0,1
379,mammoth,"Iron Man has 23 suits of armor. He builds 12 more. Then, he destroys 4 of them. How many suits of armor does he have left?","def solution():
    #Iron Man has 23 suits of armor
    suits_initial = 23
    #He builds 12 more
    suits_built = 12
    #Then, he destroys 4 of them
    suits_destroyed = 4
    #The answer is
    result = suits_initial + suits_built - suits_destroyed
    return result",31,1.0,1,1.0,1
381,mammoth,Iron Man has 12 hours to reach his destination. He can travel 40 miles per hour. How many miles can he travel in the given time?,"def solution():
    #Iron Man has 12 hours to reach his destination
    time = 12
    #He can travel 40 miles per hour
    speed = 40
    #The distance he can travel is
    result = time * speed
    return result
print(solution())",480,1.0,1,1.0,1
383,llama,"A Fortnite player has 1000 V-Bucks. 300 of the V-Bucks are spent on outfits, 200 are spent on gliders, and 100 are spent on pickaxes. How many V-Bucks are left?","def solution():
    #The player has 1000 V-Bucks
    vbucks_total = 1000
    #300 of the V-Bucks are spent on outfits
    vbucks_outfits = 300
    #200 are spent on gliders
    vbucks_gliders = 200
    #100 are spent on pickaxes
    vbucks_pickaxes = 100
    #The answer is
    result = vbucks_total - vbucks_outfits - vbucks_gliders - vbucks_pickaxes
    return result",400,1.0,1,1.0,1
384,mammoth,"The Teenage Mutant Ninja Turtles have 120 pizzas. 25 of the pizzas are pepperoni, 60 of the pizzas are cheese, and the rest are supreme. How many supreme pizzas do the Teenage Mutant Ninja Turtles have?","def solution():
    #Teenage Mutant Ninja Turtles have 120 pizzas
    pizzas = 120
    #25 of the pizzas are pepperoni
    pizzas_pepperoni = 25
    #60 of the pizzas are cheese
    pizzas_cheese = 60
    #The answer is
    pizzas_supreme = pizzas - pizzas_pepperoni - pizzas_cheese
    return pizzas_supreme",35,1.0,1,1.0,1
386,llama,"A box of cookies has 12 cookies. 
I ate 5 of them. 
How many cookies do I have left?","def solution():
    #There are 12 cookies in the box
    cookies_in_box = 12
    #I ate 5 of them
    cookies_eaten = 5
    #The answer is
    result = cookies_in_box - cookies_eaten
    return result",7,,0,,0
388,llama,LeBron James has 120 points in the first 3 games of the NBA Finals. He also has 40 rebounds. How many points and rebounds per game does he have?,"def solution():
    #LeBron James has 120 points in the first 3 games of the NBA Finals
    points = 120
    #He also has 40 rebounds
    rebounds = 40
    #The answer is
    result = (points/3, rebounds/3)
    return result","(40.0, 13.333333333333334)",1.0,1,1.0,1
389,llema,There are 8 brownies for 6 people. How many brownies are there for 1 person?,"def solution():
    #There are 8 brownies for 6 people
    brownies_per_person = 8 / 6
    #The answer is
    result = brownies_per_person
    return result",1.3333333333333333,1.0,1,0.0,0
390,llema,"If 320 Hello Kitty plushies are boxed in 16 boxes, how many Hello Kitty plushies are in 24 boxes?","def solution():
    #320 Hello Kitty plushies are in 16 boxes
    plushies_16_boxes = 320
    #24 boxes have
    plushies_24_boxes = plushies_16_boxes / 16 * 24
    return plushies_24_boxes",480.0,1.0,1,1.0,1
391,mammoth,LeBron James can dunk 100 times in 20 seconds.  How many times can he dunk in 5 minutes?,"def solution():
    #LeBron James can dunk 100 times in 20 seconds
    dunks_20_seconds = 100
    #5 minutes is 300 seconds
    seconds_5_minutes = 300
    #The answer is
    result = (dunks_20_seconds / 20) * seconds_5_minutes
    return result",1500.0,1.0,1,0.0,0
392,llama,"There are 100 people in a volleyball stadium. 30 of them are wearing the home team's jersey, 20 of them are wearing the away team's jersey, and the rest are wearing no jersey. How many people are wearing no jersey?","def solution():
    #Total people in the stadium
    total_people = 100
    #People wearing home team's jersey
    home_team_jersey = 30
    #People wearing away team's jersey
    away_team_jersey = 20
    #People wearing no jersey is
    no_jersey = total_people - home_team_jersey - away_team_jersey
    return no_jersey",50,1.0,1,1.0,1
394,llama,Batman has 1000 Batarangs. 100 of them are used in a fight with the Joker. 200 of them are used in a fight with the Riddler. How many Batarangs are left?,"def solution():
    #Batman has 1000 Batarangs
    batarangs_total = 1000
    #100 of them are used in a fight with the Joker
    batarangs_used_joker = 100
    #200 of them are used in a fight with the Riddler
    batarangs_used_riddler = 200
    #The answer is
    result = batarangs_total - (batarangs_used_joker + batarangs_used_riddler)
    return result",700,1.0,1,1.0,1
395,llema,"If there are 3 red dogs and 4 white dogs and 1 brown dog, what is the ratio of red dogs to white dogs to brown dogs?","def solution():
    return result",5,0.0,1,1.0,0
396,llema,A volleyball spike is 3 feet wide and 9 inches high. How many times wider is the spike than it is tall?,"def solution():
    #A volleyball spike is 3 feet wide
    width = 3
    #A volleyball spike is 9 inches high
    height = 9
    #in inches
    height_in_inches = height*12
    #The answer is
    wider_fraction = width / height_in_inches
    result = wider_fraction * 100
    return result",2.7777777777777777,0.0,1,0.0,0
397,llema,There are 360 million players of Fortnite. 50 million of the players don’t want to upgrade their stats. 100 million of the players want to upgrade their stats. How many players of Fortnite want to upgrade their stats and how many players don’t want to upgrade their stats?,"def solution():
    #Total players of Fortnite
    total_players = 360000000
    #Players that don't want to upgrade their stats
    dont_upgrade_stats = 50000000
    #Players that want to upgrade their stats
    upgrade_stats = total_players - dont_upgrade_stats
    #Players that don't want to upgrade their stats are
    result_not_upgrade = dont_upgrade_stats
    #Players that want to upgrade their stats are
    result_upgrade = upgrade_stats
    return result_upgrade, result_not_upgrade","(310000000, 50000000)",,0,,0
398,llama,Taylor Swift's 1989 album sold 1.287 million copies in its first week. Her Red album sold 1.208 million copies in its first week. How many more copies of 1989 did she sell in its first week than Red?,"def solution():
    #Taylor Swift's 1989 album sold 1.287 million copies in its first week
    copies_1989 = 1.287
    #Her Red album sold 1.208 million copies in its first week
    copies_red = 1.208
    #The answer is
    result = copies_1989 - copies_red
    return result",0.07899999999999996,1.0,1,1.0,1
399,llama,"A cheerleading squad is made up of 12 girls. 

3 of the girls are freshmen. 

4 of the girls are sophomores. 

2 of the girls are juniors. 

3 of the girls are seniors. 

How many girls are not freshmen, sophomores, juniors, or seniors?","def solution():
    #Total number of girls
    total_girls = 12
    #Number of girls who are freshmen
    freshmen_girls = 3
    #Number of girls who are sophomores
    sophomore_girls = 4
    #Number of girls who are juniors
    junior_girls = 2
    #Number of girls who are seniors
    senior_girls = 3
    #The answer is
    result = total_girls - freshmen_girls - sophomore_girls - junior_girls - senior_girls
    return result",0,1.0,1,0.0,0
400,mammoth,There are 5 unicorns in a field. Each unicorn has 4 legs. How many legs are there in total?,"def solution():
    #Number of unicorns
    unicorns = 5
    #Number of legs each unicorn has
    legs_per_unicorn = 4
    #The answer is
    result = unicorns * legs_per_unicorn
    return result",20,1.0,1,1.0,1
401,mammoth,"Professor Oak has 150 Pokémon. 80 of them are on a mission, 40 of them are in the laboratory, and the rest are in the training grounds. How many Pokémon are in the training grounds?","def solution():
    # Professor Oak has 150 Pokémon
    pokemon_total = 150
    # 80 of them are on a mission
    pokemon_mission = 80
    # 40 of them are in the laboratory
    pokemon_lab = 40
    # The rest are in the training grounds
    pokemon_training = pokemon_total - pokemon_mission - pokemon_lab
    return pokemon_training",30,1.0,1,1.0,1
406,mammoth,"Superman can fly 20 miles per minute. 
How many miles can he fly in 10 minutes?","def solution():
    #Superman can fly 20 miles per minute
    miles_per_minute = 20
    #How many miles can he fly in 10 minutes?
    miles_in_10_minutes = miles_per_minute * 10
    return miles_in_10_minutes",200,1.0,1,1.0,1
409,llama,There are 12 cats in a house. 3 of them are black. 2 of the black cats and 1 of the non-black cats are male. How many female cats are in the house?,"def solution():
    #Total number of cats
    total_cats = 12
    #Number of black cats
    black_cats = 3
    #Number of male cats
    male_cats = 3
    #Number of female cats
    female_cats = total_cats - black_cats - male_cats
    return female_cats",6,0.0,1,1.0,0
410,llema,"Harry Potter has received a list of 50 items he needs to purchase for his Christmas shopping. To complete his shopping list, he needs to buy 10 books and 40 magazines. How many of each will Harry need to buy?","def solution():
    #Total items on Harry's shopping list
    shopping_list_total=50
    #Harry needs to buy 10 books
    books_needed=10
    #And 40 magazines
    magazines_needed=40
    #The answer is
    result = shopping_list_total - books_needed - magazines_needed
    return result ",0,0.0,1,0.0,0
411,llema,"Naruto is a ninja and knows all his strengths and weaknesses. Sasuke is a member of the same clan.
His strengths are equal to Naruto's. His weaknesses are 11 less than Naruto's weaknesses.
How much stronger and weaker does he consider himself?","def solution():
    #His strengths are equal to Naruto's
    strengths = 5
    #His weaknesses are 11 less than Naruto's weaknesses
    #weaknesses = (strengths - 11)
    weaknesses = 11
    #The solution is
    result = strengths + weaknesses
    return result",16,,0,,0
412,llema,"Naruto has 3.67 million hairs. If all his 
hair were divided equally between 100 students, how many more hairs will Naruto have after giving them hair?","def solution():
    #Naruto has 3.67 million hairs
    naruto_hairs_initial = 3.67
    #If all his hair were divided equally between 100 students
    naruto_hairs_given = 100
    #how many more hairs will Naruto have after giving
    naruto_hairs_remaining = naruto_hairs_initial + naruto_hairs_given
    #The answer is
    result = naruto_hairs_remaining
    return result",103.67,0.0,1,0.0,0
414,llema,Harry has 10 magic spells. He learns 6 of them in his second year. He learns 8 more of them in his fourth year. How many magic spells does he still have to learn if he has to learn 18 magic spells in total to be able to use magic?,"def solution():
    #Harry has 10 spells initially
    spells_initial = 10
    #He learns 6 in his second year
    spells_learned_second = 6
    #He learns 8 in his fourth year
    spells_learned_fourth = 8
    #18 spells in total
    spells_total = 18
    #Answer is
    result = spells_total - (spells_initial + spells_learned_second + spells_learned_fourth)
    return result",-6,,0,,0
417,mammoth,A basketball team has 10 players. Five players are on the court and the rest are on the bench. Two of the players on the bench are injured. How many players on the bench are not injured?,"def solution():
    total_players = 10
    players_on_court = 5
    players_on_bench = total_players - players_on_court
    injured_players = 2
    not_injured_players = players_on_bench - injured_players
    return not_injured_players
print(solution())",3,1.0,1,1.0,1
418,mammoth,Superman can lift 2000 pounds. He can fly at the speed of 200 miles per hour. How many miles can he fly in 5 minutes?,"def solution():
    # Superman can lift 2000 pounds
    pounds = 2000
    # He can fly at the speed of 200 miles per hour
    miles_per_hour = 200
    # 5 minutes is 300 seconds
    seconds = 5 * 60
    # He can fly
    miles = miles_per_hour * seconds
    #miles in 5 minutes. The answer is
    result = miles
    return result",60000,0.0,1,1.0,0
419,llema,"Steph Curry is the current MVP of the Golden State Warriors.  What if he scored 46 points in a game?  He can make $50 per assist, but he can only score 30.  How many assists would he need for his fourth quarter three to be worth 8 points?","def solution():

    # The answer is
    result = 4

    return result",4,,0,,0
421,mammoth,"There are 4 different types of ice cream. Vanilla (V), Chocolate (C), Strawberry (S), and Mint (M). The height of each type of ice cream is the number of letters it has. The total height of all the ice cream flavors is 18. What is the average height of an ice cream flavor?","def solution():
    #The height of each type of ice cream is the number of letters it has.
    V = 6
    C = 7
    S = 9
    M = 4
    #The total height of all the ice cream flavors is 18.
    total_height = V + C + S + M
    #What is the average height of an ice cream flavor?
    average_height = total_height / 4
    return average_height",6.5,,0,,0
423,mammoth,"Harry Potter has 1500 galleons. He bought 200 galleons on Tuesday, 300 galleons on Wednesday, and 400 galleons on Thursday. How many galleons does he have now?","def solution():
    # Harry Potter started with 1500 galleons
    galleons_initial = 1500
    # He bought 200 galleons on Tuesday
    galleons_tuesday = 200
    # 300 galleons on Wednesday
    galleons_wednesday = 300
    # and 400 galleons on Thursday
    galleons_thursday = 400
    # The answer is
    result = galleons_initial + galleons_tuesday + galleons_wednesday + galleons_thursday
    return result
print(solution())",2400,1.0,1,0.0,0
424,llema,"Red is playing Pokémon on his Game Boy. 
He starts with 1 Pokémon and gains 5 more Pokémon every level he advances. 
After 43 games, he has caught 660 Pokémon. 
How many games did he play before reaching the 10th level?","def solution():
    #Red started with 1 Pokemons
    initial_pokemons = 1
    #He gains 5 Pokemons every time he levels up
    pokemons_per_level = 5
    #He caught 660 Pokemons, which means
    total_levels = (660 - initial_pokemons) // pokemons_per_level
    #He needs 43 extra games to level up 10 times
    extra_games = total_levels - 10
    #The answer is
    result = 43 - extra_games
    return result",-78,,0,,0
425,mammoth,Superman can fly at the speed of 1000 miles per hour. He is 2500 miles away from the city. How many hours will it take for him to reach the city?,"def solution():
    #Superman's speed
    speed = 1000
    #Distance from the city
    distance = 2500
    #Time = Distance/Speed
    time = distance/speed
    return time",2.5,1.0,1,1.0,1
