,question,solution,answer,topic,question_number
653,"Ice cream is $2.50 per pint. 
A pint has 2 cups. 
How much is a cup of ice cream?","def solution():
    #Ice cream is $2.50 per pint
    ice_cream_pint = 2.50
    #A pint has 2 cups
    ice_cream_cups = 2
    #The answer is
    result = ice_cream_pint / ice_cream_cups
    return result",1.25,ice cream,llama_q650
371,A person named Tessa practices swimming as part of her training. She swims a lap in 15 seconds. Her second lap is twice as long and takes twice as long. Her third lap is twice as long as the second lap and takes twice as long as the second lap. And so on. Her tenth lap is twice as long as the ninth lap and takes twice as long as the ninth lap. How long does Tessa’s tenth lap take?,"def solution():
    #Tessa swims the first lap in 15 seconds, which is her starting time
    starting_time = 15
    #The second lap is twice as long and takes twice as long
    lap_number = 2
    time = starting_time * lap_number
    #The third lap is twice as long as the second lap and takes twice as long as the second lap
    lap_number = lap_number * 2
    time = starting_time * lap_number
    #By induction, the tenth lap is twice as long as the ninth lap and takes twice as long as the ninth lap. The
    return result",5,swimming,llema_q371
982,Wonder Woman can lift 1000 pounds. She can also push 500 pounds. She is in a 2 minute battle. How many pounds does she push and lift?,"def solution():
    #Wonder Woman can lift 1000 pounds
    lift_pounds = 1000
    #She can also push 500 pounds
    push_pounds = 500
    #She is in a 2 minute battle
    battle_minutes = 2
    #The answer is
    result = (lift_pounds + push_pounds) * battle_minutes
    return result",3000,Wonder Woman,llama_q976
302,"There are 5 unicorns: Alice, Bob, Carol, David, and Emily. Each of them has 3 cupcakes. How many cupcakes do the unicorns have in total?","def solution():
    #There are 5 unicorns
    unicorns = 5
    #Each of them has 3 cupcakes
    cupcakes_per_unicorn = 3
    #The answer is
    result = unicorns * cupcakes_per_unicorn
    return result",15,unicorns,mammoth_q302
128,"If 50 people were at UFs annual football game in 1930, but then in 1941 there were 40,000 fans in attendance. 
Then in 1955, there were 54,000 fans in attendance. How many more fans were in attendance in 1955 than 1941?","def solution():
    #In 1930, 50 people attended UF's annual football game
    fans_in_1930 = 50
    #Then in 1941, there were 40,000 fans in attendance
    fans_in_1941 = 40000
    #Then in 1955, there were 54,000 fans in attendance
    fans_in_1955 = 54000
    #The answer is
    result = fans_in_1955 - fans_in_1941
    return result",14000,football,llema_q128
668,"A puppy has been sick with the Fiv, so the dog breeder orders a dozen vaccines. The breeder also gets 30 vaccines from another breeder. How many vaccines does she have now?","def solution():
    #A dozen vaccines
    dozen = 12
    #She gets 30 more vaccines
    more_vaccine = 30
    #
    return result",5,dogs,llema_q666
175,"The volleyball team at the University of Michigan has 22 players. 5 of the players are seniors, 7 are juniors, and the rest are sophomores. How many sophomores are on the team?","def solution():
    #Total number of players
    total_players = 22
    #Number of seniors
    seniors = 5
    #Number of juniors
    juniors = 7
    #Sophomores are the rest of the players
    sophomores = total_players - seniors - juniors
    return sophomores",10,volleyball,llama_q175
278,You have 1000 cookies. 200 of them are chocolate chip cookies. 300 of them are sugar cookies. 500 of them are oatmeal raisin cookies. How many of them are peanut butter cookies?,"def solution():
    #Total number of cookies
    total_cookies = 1000
    #Number of chocolate chip cookies
    chocolate_chip_cookies = 200
    #Number of sugar cookies
    sugar_cookies = 300
    #Number of oatmeal raisin cookies
    oatmeal_raisin_cookies = 500
    #The answer is
    result = total_cookies - chocolate_chip_cookies - sugar_cookies - oatmeal_raisin_cookies
    return result",0,cookies,llama_q278
1189,"There are two trains, one leaves New York at 5:00 pm going 40 mph. The other leaves Chicago at 4:00 pm going 50 mph. They are 1,000 miles apart. If neither train stops, at what time will they pass each other?","def solution():
    #The New York train leaves at 5:00 pm going 40 mph
    new_york_train_leaves = 5
    new_york_train_speed = 40
    #The Chicago train leaves at 4:00 pm going 50 mph
    chicago_train_leaves = 4
    chicago_train_speed = 50
    #They are 1,000 miles apart
    distance = 1000
    #The answer is
    result = new_york_train_leaves + (distance / new_york_train_speed) - chicago_train_leaves - (distance / chicago_train_speed)
    return result",6.0,trains,llama_q1176
1127,A pizza has 8 slices. Four people each eat two slices. How many slices are left?,"def solution():
    #A pizza has 8 slices
    pizza_slices = 8
    #Four people each eat two slices
    people_eating = 4
    #The answer is
    result = pizza_slices - people_eating * 2
    return result",0,pizza,llama_q1116
48,Naruto ate 12 ramen noodles for lunch. He ate 5 more ramen noodles for dinner. How many ramen noodles did Naruto eat in all?,"def solution():
    #Naruto ate 12 ramen noodles for lunch
    ramen_noodles_lunch = 12
    #He ate 5 more ramen noodles for dinner
    ramen_noodles_dinner = 5
    #The answer is
    result = ramen_noodles_lunch + ramen_noodles_dinner
    return result",17,Naruto,mathwell_q48
1242,Patrick Mahomes has 500 passing yards in the first quarter. He throws for 200 yards in the second quarter. How many yards does he throw for in the third quarter if he throws for 400 yards total in the game?,"def solution():
    #Patrick Mahomes has 500 passing yards in the first quarter
    yards_first_quarter = 500
    #He throws for 200 yards in the second quarter
    yards_second_quarter = 200
    #He throws for 400 yards total in the game
    yards_total = 400
    #The answer is
    result = yards_total - yards_first_quarter - yards_second_quarter
    return result",-300,Patrick Mahomes,llama_q1228
1213,"The Apatosaurus weighed 30,000 pounds.  The T-Rex weighed 8,000 pounds more.  The Stegosaurus weighed 4,000 pounds less than the Apatosaurus.  How much did the 3 dinosaurs weigh in total?","def solution():
    #The Apatosaurus weighed 30,000 pounds
    apatosaurus_weight = 30000
    #The T-Rex weighed 8,000 pounds more
    t_rex_weight = apatosaurus_weight + 8000
    #The Stegosaurus weighed 4,000 pounds less than the Apatosaurus
    stegosaurus_weight = apatosaurus_weight - 4000
    #The answer is
    result = apatosaurus_weight + t_rex_weight + stegosaurus_weight
    return result",94000,dinosaurs,mathwell_q1169
963,"Pikachu, the most famous of the Pokémon, has 100 thunderbolts. It uses 10 thunderbolts in the morning and 15 in the afternoon. How many thunderbolts does it have left?","def solution():
    #Pikachu started with 100 thunderbolts
    thunderbolts_initial = 100
    #It used 10 in the morning
    thunderbolts_used_morning = 10
    #It used 15 in the afternoon
    thunderbolts_used_afternoon = 15
    #The answer is
    result = thunderbolts_initial - thunderbolts_used_morning - thunderbolts_used_afternoon
    return result",75,Pokémon,mathwell_q931
694,Iron Man can fly 300 miles in 20 minutes. How far can he fly in 1 hour?,"def solution():
    #Iron Man can fly 300 miles in 20 minutes
    miles_per_20_minutes = 300
    #1 hour is 60 minutes
    minutes_1_hour = 60
    #The answer is
    result = (miles_per_20_minutes / 20) * minutes_1_hour
    return result",900.0,Iron Man,llama_q691
789,A group of 31 children have exactly 720 M&M's between them. They share the M&M's equally so that each child receives at most 22 M&M's. What is the greatest number of M&M's possible for each child?,"def solution():
    #Total number of children
    total_num_children = 31
    #Total number of M&M's
    total_num_mm = 720
    #Number of M&M's each child receives at most
    max_num_mm_child = 22
    #Calculate the greatest number of M&M's possible for each child
    max_num_mm = total_num_mm/total_num_children
    if max_num_mm > max_num_mm_child:
        max_num_mm = max_num_mm_child
    return max_num_mm",22,candy,llema_q786
416,"12 cats are in a room. 5 cats are white, 3 cats are black, and 4 cats are gray. How many cats are not black?","def solution():
    #There are 12 cats in the room
    cats_total = 12
    #5 cats are white, 3 cats are black, and 4 cats are gray
    cats_white = 5
    cats_black = 3
    cats_gray = 4
    #The answer is
    result = cats_total - cats_black
    return result",9,cats,llama_q416
1407,"Iron Man has 10000 feet of flight time. 
He flies 1000 feet in the first 2 minutes. 
He flies 2000 feet in the next 3 minutes. 
How much flight time does he have left?","def solution():
    #Iron Man has 10000 feet of flight time
    flight_time = 10000
    #He flies 1000 feet in the first 2 minutes
    flight_1 = 1000
    #He flies 2000 feet in the next 3 minutes
    flight_2 = 2000
    #The answer is
    result = flight_time - (flight_1 + flight_2)
    return result",7000,Iron Man,mathwell_q1349
217,"LeBron James has 2,999 career assists. In the first game of the season, he had 12 assists. In the second game, he had 10 assists. In the third game, he had 11 assists. How many career assists does he have now?","def solution():
    #LeBron James has 2,999 career assists
    career_assists = 2999
    #In the first game of the season, he had 12 assists
    assists_first_game = 12
    #In the second game, he had 10 assists
    assists_second_game = 10
    #In the third game, he had 11 assists
    assists_third_game = 11
    #The answer is
    result = career_assists + assists_first_game + assists_second_game + assists_third_game
    return result",3032,LeBron James,llama_q217
762,"Captain America has 300 shields. 
He uses 15% of them on the Red Skull. 
He then uses 10% of the remaining on the Winter Soldier. 
How many shields does he have left?","def solution():
    #Captain America started with 300 shields
    shields_initial = 300
    #He used 15% of them on the Red Skull
    shields_used_red_skull = 0.15 * shields_initial
    #He then used 10% of the remaining on the Winter Soldier
    shields_used_winter_soldier = 0.10 * (shields_initial - shields_used_red_skull)
    #The answer is
    result = shields_initial - shields_used_red_skull - shields_used_winter_soldier
    return result",229.5,Captain America,llama_q759
1413,"A 747 can carry 660 passengers. 

A 777 can carry 346 passengers. 

A 787 can carry 330 passengers. 

How many more passengers can a 747 carry than a 777 and a 787 combined?","def solution():
    #A 747 can carry 660 passengers
    passengers_747 = 660
    #A 777 can carry 346 passengers
    passengers_777 = 346
    #A 787 can carry 330 passengers
    passengers_787 = 330
    #The answer is
    result = passengers_747 - (passengers_777 + passengers_787)
    return result",-16,planes,mathwell_q1354
806,"The United States men’s team won 7 Lacrosse World Cup titles. The US team placed first in the world in the first 4 years the tournament was held (1986, 1998, 2002, 2006). In how many of the United States’ first 11 years of participation in the Lacrosse World Cup did they finish among the top three teams?","def solution():
    #The US had 11 years (World Cups)
    years_participated = 11
    #In the first 4 years of their participation they finished among the top three teams (in the top 3)
    top_three_first_four_years = 4
    #In the remaining seven years they placed second, won 6 times
    second_three_years = 3
    #The answer is
    result = top_three_first_four_years + second_three_years
    return result",7,lacrosse,llema_q803
354,"In Minecraft you can obtain a total of 960 diamonds by mining different blocks in the world. You cannot mine blocks below the ground level. 

You can get 80 diamonds by mining the diamond block. 
However, the diamond ores (the blocks you need to mine) are only found at depths greater than 4.
How many diamond ores do you need to mine to obtain 40 diamonds?","def solution():
    #The maximum number of diamonds mineable is 960
    mineable_diamonds_max = 960
    #I can mine 80 diamonds from a diamond block
    diamonds_block = 80
    #I can only mine diamonds at depth 4 and deeper
    diamonds_mining_depth = 4
    #I want 
    wanted_diamonds = 40
    #I need to find out
    #I can mine a maximum of 80 diamonds at once.
    #Mining 1 diamond ore at a depth
    return result",5,Minecraft,llema_q354
716,"Serena Williams has 20 Grand Slam titles. 10 of them are in singles, 8 are in doubles, and 2 are in mixed doubles. How many of her titles are in singles and doubles?","def solution():
    #Serena Williams has 20 Grand Slam titles
    grand_slam_titles = 20
    #10 of them are in singles
    singles_titles = 10
    #8 are in doubles
    doubles_titles = 8
    #2 are in mixed doubles
    mixed_doubles_titles = 2
    #The answer is
    result = singles_titles + doubles_titles
    return result",18,Serena Williams,mathwell_q693
1234,1000 cats are in a cat shelter. 20% of them are kittens. 10% of the kittens are black. How many of the cats in the shelter are black kittens?,"def solution():
    #1000 cats are in a cat shelter
    cats = 1000
    #20% of them are kittens
    kittens = cats * 0.2
    #10% of the kittens are black
    black_kittens = kittens * 0.1
    #The answer is
    result = int(black_kittens)
    return result",20,cats,llama_q1220
460,"A swimmer can swim 20 laps per hour. 

If she swims 3 hours a day, 5 days a week, how many laps does she swim in 4 weeks?","def solution():
    #A swimmer can swim 20 laps per hour
    laps_per_hour = 20
    #If she swims 3 hours a day, 5 days a week
    hours_per_day = 3
    days_per_week = 5
    #How many laps does she swim in 4 weeks?
    weeks = 4
    #The answer is
    result = laps_per_hour * hours_per_day * days_per_week * weeks
    return result",1200,swimming,mathwell_q453
362,There are 4 male unicorns and 2 female unicorns on a unicorn farm. How many unicorns are there?,"def solution():
    #There are 4 male unicorns
    male_unicorns = 4
    #2 female unicorns
    female_unicorns = 2
    #The answer is
    result = male_unicorns + female_unicorns
    return result",6,unicorns,llema_q362
730,"A lacrosse team has 10 players. They all need to have 2 sticks, 1 helmet, and 1 pair of pads. How many total pieces of equipment do they need?","def solution():
    #The team has 10 players
    players = 10
    #Each player needs 2 sticks, 1 helmet, and 1 pair of pads
    sticks_per_player = 2
    helmets_per_player = 1
    pads_per_player = 1
    #The total number of each item is
    total_sticks = players * sticks_per_player
    total_helmets = players * helmets_per_player
    total_pads = players * pads_per_player
    #The total number of pieces of equipment is
    total_equipment = total_sticks + total_helmets + total_pads
    return total_equipment",40,lacrosse,llama_q727
21,"In the first year, Harry Potter had 300 points. In the second year, he had 200 points. In the third year, he had 400 points. In the fourth year, he had 500 points. How many points did he have in total?","def solution():
    #In the first year, Harry Potter had 300 points
    points_first_year = 300
    #In the second year, he had 200 points
    points_second_year = 200
    #In the third year, he had 400 points
    points_third_year = 400
    #In the fourth year, he had 500 points
    points_fourth_year = 500
    #The answer is
    result = points_first_year + points_second_year + points_third_year + points_fourth_year
    return result",1400,Harry Potter,mathwell_q21
514,"1000 Fortnite players are in a match. 200 of them are from the United States, 150 of them are from Canada, and 120 of them are from Mexico. How many of them are from other countries?","def solution():
    #1000 Fortnite players are in a match
    total_players = 1000
    #200 of them are from the United States
    players_us = 200
    #150 of them are from Canada
    players_canada = 150
    #120 of them are from Mexico
    players_mexico = 120
    #The answer is
    result = total_players - players_us - players_canada - players_mexico
    return result",530,Fortnite,mathwell_q506
1198,Iron Man has 1500 gold coins. He is to pay 100 gold coins to the government and 200 gold coins to the orphanage. How many gold coins does he have left?,"def solution():
    #Iron Man started with 1500 gold coins
    gold_coins_initial = 1500
    #He is to pay 100 gold coins to the government
    gold_coins_government = 100
    #He is to pay 200 gold coins to the orphanage
    gold_coins_orphanage = 200
    #The answer is
    result = gold_coins_initial - gold_coins_government - gold_coins_orphanage
    return result",1200,Iron Man,llama_q1185
50,"A kid eats 3 scoops of ice cream every day. In a week, he eats 21 scoops of ice cream. How many scoops of ice cream does he eat in a year?","def solution():
    # number of scoops of ice cream the kid eats every day
    scoops_per_day = 3
    # number of scoops of ice cream the kid eats in a week
    scoops_per_week = 21
    # number of weeks in a year
    weeks_per_year = 52
    # calculate the total number of scoops of ice cream the kid eats in a year
    total_scoops_per_year = scoops_per_day * scoops_per_week * weeks_per_year
    return total_scoops_per_year
print(solution())",3276,ice cream,mammoth_q50
664,"Leonardo has 3000.00. He spends $2500.00 on a new couch, $400.00 on a new TV, and $100.00 on a new sound system. How much money does he have left?","def solution():
    #Leonardo started with $3000
    money_initial = 3000
    #He spent $2500 on a couch
    couch_cost = 2500
    #$400 on a TV
    tv_cost = 400
    #and $100 on a sound system
    sound_system_cost = 100
    #The answer is
    result = money_initial - couch_cost - tv_cost - sound_system_cost
    return result",0,Ninja Turtles,llema_q662
449,"The four Ninja Turtles, Leonardo, Raphael, Donatello, and Michelangelo, are all 25 years old. 10 years from now, how old will they be?","def solution():
    #The four Ninja Turtles are all 25 years old
    turtles_age = 25
    #10 years from now, they will be
    turtles_age_10_years = turtles_age + 10
    return turtles_age_10_years",35,Ninja Turtles,llama_q449
342,"The cheerleading squad has 20 members. 
They are in 5 formations. 
The first formation has 4 members. 
The second formation has 3 members. 
The third formation has 5 members. 
The fourth formation has 2 members. 
The fifth formation has 6 members. 
How many members are in the largest formation?","def solution():
    # The number of members in the first formation
    first_formation = 4
    # The number of members in the second formation
    second_formation = 3
    # The number of members in the third formation
    third_formation = 5
    # The number of members in the fourth formation
    fourth_formation = 2
    # The number of members in the fifth formation
    fifth_formation = 6
    # The answer is
    result = max(first_formation, second_formation, third_formation, fourth_formation, fifth_formation)
    return result",6,cheer leading,mathwell_q337
376,"If a soccer team has 20 players, and each player is paid $150,000 a year, how much does the team pay in salaries?","def solution():
    #The soccer team has 20 players
    players = 20
    #Each player is paid $150,000 a year
    salary = 150000
    #The answer is
    result = players * salary
    return result",3000000,soccer,llama_q376
132,"Professor Oak has 150 Pokémon. 80 of them are on a mission, 40 of them are in the laboratory, and the rest are in the training grounds. How many Pokémon are in the training grounds?","def solution():
    # Professor Oak has 150 Pokémon
    pokemon_total = 150
    # 80 of them are on a mission
    pokemon_mission = 80
    # 40 of them are in the laboratory
    pokemon_lab = 40
    # The rest are in the training grounds
    pokemon_training = pokemon_total - pokemon_mission - pokemon_lab
    return pokemon_training",30,Pokémon,mammoth_q132
16,"T'Challa, the Black Panther, is the ruler of the nation of Wakanda. 

He is 6 feet 2 inches tall. 

1 inch is 2.54 cm. 

How tall is he in centimeters?","def solution():
    #T'Challa is 6 feet 2 inches tall
    height_in_inches = 6 * 12 + 2
    #1 inch is 2.54 cm
    height_in_cm = height_in_inches * 2.54
    #The answer is
    result = height_in_cm
    return result",187.96,Black Panther,mathwell_q16
316,"Taylor Swift has 1000 followers on Instagram. 

She has 2000 followers on Twitter. 

She has 3000 followers on TikTok. 

How many followers does she have in total?","def solution():
    #Taylor Swift's followers on Instagram
    instagram_followers = 1000
    #Taylor Swift's followers on Twitter
    twitter_followers = 2000
    #Taylor Swift's followers on TikTok
    tiktok_followers = 3000
    #The answer is
    total_followers = instagram_followers + twitter_followers + tiktok_followers
    return total_followers",6000,Taylor Swift,mathwell_q311
1205,"Steph Curry, a basketball player, has 24 points. He makes 4 3-point shots in the first half and 5 3-point shots in the second half. 3-point shots are worth 3 points and 2-point shots are worth 2 points. How many 2-point shots did he make?","def solution():
    #Steph Curry has 24 points
    total_points = 24
    #He makes 4 3-point shots in the first half and 5 3-point shots in the second half
    three_point_shots = 4 + 5
    #3-point shots are worth 3 points and 2-point shots are worth 2 points
    #The answer is
    result = total_points - (three_point_shots * 3)
    return result",-3,Steph Curry,mathwell_q1161
433,"A field hockey team has 15 players. They all need to have 2 sticks, 1 helmet, and 1 pair of pads. How many total pieces of equipment do they need?","def solution():
    #The team has 15 players
    players = 15
    #Each player needs 2 sticks, 1 helmet, and 1 pair of pads
    sticks_per_player = 2
    helmets_per_player = 1
    pads_per_player = 1
    #The total number of each item is
    total_sticks = players * sticks_per_player
    total_helmets = players * helmets_per_player
    total_pads = players * pads_per_player
    #The total number of pieces of equipment is
    total_equipment = total_sticks + total_helmets + total_pads
    return total_equipment",60,field hockey,llama_q433
1023,"20 planes are at an airport. 10 more planes land at the airport. 5 of the planes that were at the airport when the 10 planes landed, take off. 2 of the planes that just landed, take off. How many planes are at the airport now?","def solution():
    #20 planes are at an airport
    planes_initial = 20
    #10 more planes land at the airport
    planes_landed = 10
    #5 of the planes that were at the airport when the 10 planes landed, take off
    planes_took_off_1 = 5
    #2 of the planes that just landed, take off
    planes_took_off_2 = 2
    #The answer is
    result = planes_initial + planes_landed - planes_took_off_1 - planes_took_off_2
    return result",23,planes,llama_q1017
371,"Wonder Woman has 300 gold coins. She gives 100 gold coins to her mother, and she gives 150 gold coins to her sister. How many gold coins does she have left?","def solution():
    #Wonder Woman has 300 gold coins
    gold_coins_initial = 300
    #She gives 100 gold coins to her mother
    gold_coins_given_mother = 100
    #She gives 150 gold coins to her sister
    gold_coins_given_sister = 150
    #The answer is
    result = gold_coins_initial - gold_coins_given_mother - gold_coins_given_sister
    return result",50,Wonder Woman,llama_q371
522,"At 11 years old, James Potter (Harry Potter's father) entered Hogwarts School of Witchcraft and Wizardry while his best friend Sirius Black was three years younger. In which year was Sirius born?","def solution():
    #Harry was born in 1980
    harrys_birth_year = 1980
    #His father entered Hogwarts in the year Harry was born
    hogwarts_entry_year = harrys_birth_year
    #James Potter had to be at least 11 years old to enter Hogwarts
    min_age = 11
    #Sirius was three years younger than James
    difference_in_age = 3
    #Sirius' birth year was three years before Harry's birth year
    sirius_birth_year = harrys_birth_year - difference_in_age
    #The answer is
    result = sirius_birth_year
    return result",1977,Harry Potter,llema_q522
1074,"LeBron James has 30,000 career points. He has 5000 more points than Kareem Abdul-Jabbar. How many points does Kareem Abdul-Jabbar have?","def solution():
    #LeBron James has 30,000 career points
    lebron_points = 30000
    #He has 5000 more points than Kareem Abdul-Jabbar
    kareem_points = lebron_points - 5000
    #The answer is
    result = kareem_points
    return result",25000,LeBron James,mathwell_q1036
1296,"Super Mario has 128 coins. He collects 24 coins on Tuesday, 21 coins on Wednesday, and 29 coins on Thursday. How many coins does he have left?","def solution():
    #Super Mario started with 128 coins
    coins_initial = 128
    #He collected 24 coins on Tuesday
    coins_tuesday = 24
    #He collected 21 coins on Wednesday
    coins_wednesday = 21
    #He collected 29 coins on Thursday
    coins_thursday = 29
    #The answer is
    result = coins_initial - coins_tuesday - coins_wednesday - coins_thursday
    return result",54,Super Mario,llama_q1281
703,"The Red Ranger has 500 Zords. He gives 100 to the Blue Ranger, 200 to the Pink Ranger, and 300 to the Yellow Ranger. How many Zords does the Red Ranger have left?","def solution():
    #The Red Ranger started with 500 Zords
    zords_red = 500
    #He gave 100 to the Blue Ranger
    zords_blue = 100
    #He gave 200 to the Pink Ranger
    zords_pink = 200
    #He gave 300 to the Yellow Ranger
    zords_yellow = 300
    #The answer is
    result = zords_red - zords_blue - zords_pink - zords_yellow
    return result",-100,Power Rangers,llama_q700
944,5 unicorns ate 200 apples. 3 unicorns ate 120 pears. 2 unicorns ate 200 carrots. How many fruits and vegetables did the unicorns eat in total?,"def solution():
    #5 unicorns ate 200 apples
    apples_eaten_by_5_unicorns = 200
    #3 unicorns ate 120 pears
    pears_eaten_by_3_unicorns = 120
    #2 unicorns ate 200 carrots
    carrots_eaten_by_2_unicorns = 200
    #The answer is
    result = apples_eaten_by_5_unicorns + pears_eaten_by_3_unicorns + carrots_eaten_by_2_unicorns
    return result",520,unicorns,mathwell_q912
647,The Lakers are playing the Celtics. The Lakers have 123 points. The Celtics have 32 more points than the Lakers. How many points does the Celtics have?,"def solution():
    #The Lakers have 123 points
    lakers_points = 123
    #The Celtics have 32 more points than the Lakers
    celtics_points = lakers_points + 32
    #The answer is
    result = celtics_points
    return result",155,basketball,llama_q644
104,"A pizza is cut into 8 slices. 2 of the slices have pepperoni, 3 of the slices have mushrooms, and 1 of the slices has both pepperoni and mushrooms. How many slices of pizza have neither pepperoni nor mushrooms?","def solution():
    #A pizza is cut into 8 slices
    slices_total = 8
    #2 of the slices have pepperoni
    slices_pepperoni = 2
    #3 of the slices have mushrooms
    slices_mushrooms = 3
    #1 of the slices has both pepperoni and mushrooms
    slices_both = 1
    #The answer is
    result = slices_total - slices_pepperoni - slices_mushrooms + slices_both
    return result",4,pizza,mathwell_q104
668,Spiderman can swing 100 meters in 5 seconds. How far can he swing in 20 seconds?,"def solution():
    #Spiderman can swing 100 meters in 5 seconds
    meters_per_second = 100 / 5
    #20 seconds
    seconds = 20
    #The answer is
    result = meters_per_second * seconds
    return result",400.0,Spiderman,llama_q665
935,"Tom Brady has 4000 yards. He throws 200 yards in the first quarter, 400 yards in the second quarter, 300 yards in the third quarter, and 100 yards in the fourth quarter. How many yards does he have left?","def solution():
    #Tom Brady has 4000 yards
    yards_initial = 4000
    #He throws 200 yards in the first quarter
    yards_first_quarter = 200
    #He throws 400 yards in the second quarter
    yards_second_quarter = 400
    #He throws 300 yards in the third quarter
    yards_third_quarter = 300
    #He throws 100 yards in the fourth quarter
    yards_fourth_quarter = 100
    #The answer is
    result = yards_initial - yards_first_quarter - yards_second_quarter - yards_third_quarter - yards_fourth_quarter
    return result",3000,football,llama_q929
921,Tony Stark has 100 Iron Man suits. He gives 20 of them to the Avengers. He gives 10 of the remaining suits to the Guardians of the Galaxy. How many suits does Tony Stark have left?,"def solution():
    #Tony Stark has 100 Iron Man suits
    suits_total = 100
    #He gives 20 of them to the Avengers
    suits_given_avengers = 20
    #He gives 10 of the remaining suits to the Guardians of the Galaxy
    suits_given_guardians = 10
    #The answer is
    result = suits_total - suits_given_avengers - suits_given_guardians
    return result",70,Iron Man,llama_q915
151,"The cheerleading squad has 12 members. 3 of the members are on the base, 2 are the flyers, and the rest are the spotters. How many spotters are there?","def solution():
    #Total members in the squad
    total_members = 12
    #Members on the base
    base = 3
    #Flyers
    flyers = 2
    #The rest are spotters
    spotters = total_members - base - flyers
    return spotters",7,cheer leading,mathwell_q151
246,"How many days did Steph Curry endorse something last year?
-","def solution():
    #Endorsement revenue earned last year
    revenue_last_year = 4300000
    #Average revenue generated every two days
    revenue_two_days = 25000
    #The answer is
    result = revenue_last_year / revenue_two_days
    return result

",172.0,Steph Curry,llema_q246
933,The soccer team has 200 fans. 1/4 of the fans are from the United States. 1/5 of the fans are from the United Kingdom. 1/8 of the fans are from Germany. 1/10 of the fans are from France. The rest of the fans are from other countries. How many of the fans are from other countries?,"def solution():
    #Total fans
    total_fans = 200
    #Fans from the US
    fans_us = total_fans / 4
    #Fans from the UK
    fans_uk = total_fans / 5
    #Fans from Germany
    fans_germany = total_fans / 8
    #Fans from France
    fans_france = total_fans / 10
    #Fans from other countries. The answer is
    fans_other = total_fans - fans_us - fans_uk - fans_germany - fans_france
    return fans_other",65.0,soccer,mathwell_q901
1100,A train is 200 miles long. It travels 100 miles in the morning and 200 miles in the afternoon. How many miles of the train are still on the track?,"def solution():
    #The train is 200 miles long
    train_length = 200
    #It travels 100 miles in the morning
    miles_traveled_morning = 100
    #It travels 200 miles in the afternoon
    miles_traveled_afternoon = 200
    #The answer is
    result = train_length - miles_traveled_morning - miles_traveled_afternoon
    return result",-100,trains,mathwell_q1060
84,Serena Williams can run 1000 meters in 2 hours. How many meters can she run in 10 hours?,"def solution():
    #Serena Williams can run 1000 meters in 2 hours
    meters_run_2_hours = 1000
    #The answer is
    result = meters_run_2_hours * 5
    return result",5000,Serena Williams,mammoth_q84
1186,Thor has 2000 pounds of gold. He gives 200 pounds of gold to Loki. He then gives 400 pounds of gold to Odin. How much gold does Thor have left?,"def solution():
    #Thor has 2000 pounds of gold
    total_gold = 2000
    #He gives 200 pounds of gold to Loki
    loki_gold = 200
    #He then gives 400 pounds of gold to Odin
    odin_gold = 400
    #The answer is
    result = total_gold - loki_gold - odin_gold
    return result",1400,"Thor, the God of Thunder",llama_q1173
798,"T'Challa, the Black Panther, is a king. He has 1000 subjects. 200 of them are warriors. 100 of them are farmers. 200 of them are craftsmen. 50 of them are healers. The rest are students. How many students are there?","def solution():
    #T'Challa has 1000 subjects
    subjects = 1000
    #200 of them are warriors
    warriors = 200
    #100 of them are farmers
    farmers = 100
    #200 of them are craftsmen
    craftsmen = 200
    #50 of them are healers
    healers = 50
    #The answer is
    students = subjects - warriors - farmers - craftsmen - healers
    return students",450,Black Panther,llama_q794
845,"Toby has 1000 lacrosse sticks. 100 are white, 200 are black, 200 are blue, 200 are yellow, and the rest are purple. How many purple lacrosse sticks does Toby have?","#Toby has 1000 lacrosse sticks
def solution():
    #100 are white, 200 are black, 200 are blue, 200 are yellow
    sticks_white = 100
    sticks_black = 200
    sticks_blue = 200
    sticks_yellow = 200
    #The rest are purple
    sticks_purple = 1000 - sticks_white - sticks_black - sticks_blue - sticks_yellow
    #The answer is
    result = sticks_purple
    return result",300,lacrosse,llema_q842
246,Patrick Mahomes is the highest paid player in the NFL. He is paid $45 million per year. He is paid $3 million more than the second highest paid player. How much is the second highest paid player paid per year?,"def solution():
    #Patrick Mahomes is paid $45 million per year
    mahomes_salary = 45
    #He is paid $3 million more than the second highest paid player
    second_highest_salary = mahomes_salary - 3
    #The answer is
    result = second_highest_salary
    return result",42,Patrick Mahomes,llama_q246
355,Captain America's shield weighs 20lbs and his helmet weighs 3lb. What is the total weight of his shield and his helmet?,"def solution():
    #Captain America's shield weighs 20lbs
    shield_weight = 20
    #His helmet weighs 3lbs
    helmet_weight = 3
    #The answer is
    result = shield_weight + helmet_weight
    return result",23,Captain America,llema_q355
737,"1000 candies are in a bag. 

200 of them are chocolate, 100 of them are lollipops, and the rest are gummy bears. 

How many gummy bears are in the bag?","def solution():
    #There are 1000 candies in the bag
    candies_in_bag = 1000
    #200 of them are chocolate
    chocolate_candies = 200
    #100 of them are lollipops
    lollipop_candies = 100
    #The answer is
    result = candies_in_bag - chocolate_candies - lollipop_candies
    return result",700,candy,llama_q734
