,0
286,"{'question': 'LeBron James has 100 pairs of sneakers. 20 of them are Nike, 15 are Adidas, and 10 are Reebok. The rest of the sneakers are Converse. How many pairs of Converse sneakers does LeBron James have?', 'solution': 'def solution():\n    #LeBron James has 100 pairs of sneakers\n    sneakers_total = 100\n    #20 of them are Nike\n    sneakers_nike = 20\n    #15 are Adidas\n    sneakers_adidas = 15\n    #10 are Reebok\n    sneakers_reebok = 10\n    #The rest of the sneakers are Converse. The answer is\n    sneakers_converse = sneakers_total - sneakers_nike - sneakers_adidas - sneakers_reebok\n    return sneakers_converse', 'answer': '55', 'accuracy': 1.0, 'explanation': 'The solution correctly decides that the number of Converse sneakers can be found by subtracting the numbers of Nike, Adidas, and Reebok sneakers from the total number of sneakers. The calculation is done correctly, leading to the correct answer: 100 - 20 - 15 - 10 = 55.'}"
287,"{'question': 'Wonder Woman has a magic lasso that can hold a maximum of 2000 pounds. She is currently holding a man weighing 180 pounds and a woman weighing 130 pounds. How much weight can she hold with her magic lasso?', 'solution': 'def solution():\n    # define the maximum weight the lasso can hold\n    max_weight = 2000\n    # define the weight of the man and woman\n    man_weight = 180\n    woman_weight = 130\n    # calculate the total weight she is currently holding\n    total_weight = man_weight + woman_weight\n    # calculate how much more weight she can hold\n    remaining_weight = max_weight - total_weight\n    return remaining_weight\nprint(solution())', 'answer': '1690', 'accuracy': 1.0, 'explanation': 'The solution correctly calculates the sum of the weights of the man and woman, and then subtracts this from the maximum weight the magic lasso can hold to arrive at the correct remaining weight capacity.'}"
288,"
{
  ""question"": ""Batman has 1200 gold coins. He is to pay 100 gold coins to the government and 200 gold coins to the orphanage. How many gold coins does he have left?"",
  ""solution"": ""def solution():\n    #Batman started with 1200 gold coins\n    gold_coins_initial = 1200\n    #He is to pay 100 gold coins to the government\n    gold_coins_government = 100\n    #He is to pay 200 gold coins to the orphanage\n    gold_coins_orphanage = 200\n    #The answer is\n    result = gold_coins_initial - gold_coins_government - gold_coins_orphanage\n    return result"",
  ""answer"": ""900"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution accurately calculates the number of gold coins Batman has left by subtracting the amount he pays to the government and the orphanage from his initial amount of gold coins.""
}
"
289,"
{
  ""question"": ""Barbie has 300 coins. She saves 200 of these coins and pays the rest to buy her mom a present. How much money does Barbie have now?"",
  ""solution"": ""def solution():\n    #Barbie has a 300 coins\n    barbie_coins_initial = 300\n    #She saves 200 of these coins\n    barbie_coins_saves = 200\n    #She pays the rest of the coins\n    barbie_coins_spent  = barbie_coins_initial - barbie_coins_saves\n    #How much money does Barbie have now?\n    result = barbie_coins_saves\n    return result"",
  ""answer"": ""200"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the amount Barbie saves (200 coins) by subtracting the amount she spends from her initial total. Since the question asks for the amount Barbie has after saving and spending, the correct answer is the amount she saved, which is indeed 200 coins.""
}
"
290,"The provided solution for the Ninja Turtles pizza question seems accurate. The problem describes a situation where there are pepperoni slices, cheese slices, and slices that are both pepperoni and cheese. To find out how many pizza slices are cheese only, we need to subtract the number of slices that are both pepperoni and cheese from the total number of cheese slices. The given solution performs this operation correctly.

Here is the evaluation for the given problem:
```
{
    'question': 'The Ninja Turtles have 200 pizza slices. 100 of the slices are pepperoni. 100 of the slices are cheese. 50 of the slices are pepperoni and cheese. How many pizza slices are cheese only?',
    'solution': 'def solution():\n    #The Ninja Turtles have 200 pizza slices\n    pizza_slices = 200\n    #100 of the slices are pepperoni\n    pepperoni_slices = 100\n    #100 of the slices are cheese\n    cheese_slices = 100\n    #50 of the slices are pepperoni and cheese\n    pepperoni_cheese_slices = 50\n    #The answer is\n    result = cheese_slices - pepperoni_cheese_slices\n    return result',
    'answer': '50',
    'accuracy': 1.0,
    'explanation': 'The solution subtracts the number of pizza slices that are both pepperoni and cheese from the total number of cheese slices to correctly calculate the number of cheese-only slices.'
}
```

The accuracy of the solution is 1.0, meaning it is accurate, and the explanation provides the reasoning for this evaluation."
291,"{'question': 'In the NBA, a team receives 3 points when it makes a jump shot from the 2-minute mark. If a team makes 120 jump shots from the 3-point line, how many points does the team score?', 'solution': 'def solution():\n    #Inside of the 3-minute mark\n    inside_of_three_points_line = True #True or False\n    #Jump shots, i.e. shots taken from about 18-22ft from the basket and above the 3-point line from about 4ft - 6ft away from the basket\n    jump_shot = True or False\n    #If the answer is True or False\n    points_per_3_point_shot = 3 * jump_shot * inside_of_three_points_line\n    #Number of shots attempted or made\n    shots_attempted_made = 120\n    #The answer is \n    result = points_per_3_point_shot * shots_attempted_made\n    return result', 'answer': '360', 'accuracy': 1.0, 'explanation': ""The proposed solution correctly calculates the total number of points scored from 120 three-point jump shots. The use of boolean values to indicate the jump_shot and inside_of_three_points_line is unnecessary and potentially confusing. However, as they are set to True, the calculation `3 * jump_shot * inside_of_three_points_line` will evaluate to 3, which is then correctly multiplied by the number of shots made (120) to reach the total points scored (360). Therefore, despite the convoluted and unnecessary steps, the function ultimately returns the correct points value.""}"
292,"
{
  ""question"": ""Wonder Woman has 1000 nuts and bolts. She needs 500 to fix her plane. She then needs 200 more to fix her shield. How many nuts and bolts does she have left?"",
  ""solution"": ""def solution():\n    #Wonder Woman started with 1000 nuts and bolts\n    nuts_and_bolts_initial = 1000\n    #She needs 500 to fix her plane\n    nuts_and_bolts_needed_plane = 500\n    #She then needs 200 more to fix her shield\n    nuts_and_bolts_needed_shield = 200\n    #The answer is\n    result = nuts_and_bolts_initial - nuts_and_bolts_needed_plane - nuts_and_bolts_needed_shield\n    return result"",
  ""answer"": ""300"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the remaining nuts and bolts by subtracting the amount used for the plane and shield from the initial amount.""
}
"
293,"
{
  ""question"": ""If 2500 V-Bucks cost $20, how many V-Bucks can you get for $100?"",
  ""solution"": ""def solution():\n    #In the first year, there were 250 wizards at Hogwarts\n    wizards_first_year = 250\n    #The next year, 100 more wizards came to the school, but 15 wizards left \n    wizards_second_year = wizards_first_year + 100 - 15\n    #In the third year, 200 more wizards came, and 50 wizards left\n    wizards_third_year = wizards_second_year + 200 - 50\n    #The answer is\n    result = wizards_third_year\n    return result"",
  ""answer"": ""485"",
  ""accuracy"": 0.0,
  ""explanation"": ""The solution provided does not answer the question. It calculates the number of wizards at Hogwarts over three years instead of determining how many V-Bucks can be obtained for $100 based on the given exchange rate.""
}
"
294,"{'question': 'Super Mario has 100 gold coins. He spends 10 coins on Monday, 15 coins on Tuesday, and 20 coins on Wednesday. How many coins does he have now?', 'solution': 'def solution():\n    #Super Mario has 100 gold coins\n    coins_initial = 100\n    #He spends 10 coins on Monday\n    coins_spent_monday = 10\n    #15 coins on Tuesday\n    coins_spent_tuesday = 15\n    #and 20 coins on Wednesday\n    coins_spent_wednesday = 20\n    #The answer is\n    result = coins_initial - coins_spent_monday - coins_spent_tuesday - coins_spent_wednesday\n    return result', 'answer': '55', 'accuracy': 1.0, 'explanation': ""The solution correctly subtracts the amount of coins spent on each day from the initial amount of coins to arrive at the correct number of coins Super Mario has left.""}"
295,"
{
  ""question"": ""Spiderman has 200 spider webs. He buys 30 more spider webs. He then sells 50 spider webs. How many spider webs does he have left?"",
  ""solution"": ""def solution():\n    #Spiderman started with 200 spider webs\n    spider_webs_initial = 200\n    #He bought 30 more\n    spider_webs_bought = 30\n    #He sold 50\n    spider_webs_sold = 50\n    #The answer is\n    result = spider_webs_initial + spider_webs_bought - spider_webs_sold\n    return result"",
  ""answer"": ""180"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution adds the webs Spiderman bought to his initial count and then subtracts the webs he sold to correctly calculate the remaining number of spider webs.""
}
"
296,"{'question': 'Captain Marvel has 1000 photon blasts. She uses 250 of them to fight Ronan and 400 of them to fight Thanos. How many photon blasts does she have left?', 'solution': 'def solution():\n    #Captain Marvel started with 1000 photon blasts\n    photon_blasts_initial = 1000\n    #She used 250 of them to fight Ronan\n    photon_blasts_ronan = 250\n    #She used 400 of them to fight Thanos\n    photon_blasts_thanos = 400\n    #The answer is\n    result = photon_blasts_initial - photon_blasts_ronan - photon_blasts_thanos\n    return result', 'answer': '350', 'accuracy': 1.0, 'explanation': 'The solution correctly defines the initial number of photon blasts, subtracts the number of photon blasts used to fight Ronan, and then subtracts the number used to fight Thanos, resulting in the correct remaining amount of photon blasts.'}"
297,"{'question': 'In a lacrosse game, Team A scored 4 goals in the first quarter, 6 goals in the second quarter, and 5 goals in the third quarter. How many goals did Team A score in the first three quarters of the game?', 'solution': 'def solution():\n    # Team A scored 4 goals in the first quarter, 6 goals in the second quarter, and 5 goals in the third quarter.\n    goals_first_quarter = 4\n    goals_second_quarter = 6\n    goals_third_quarter = 5\n    # The total goals scored in the first three quarters is the sum of the goals in each quarter.\n    total_goals = goals_first_quarter + goals_second_quarter + goals_third_quarter\n    return total_goals', 'answer': '15', 'accuracy': 1.0, 'explanation': 'The solution correctly sums the number of goals scored in each quarter to calculate the total number of goals scored in the first three quarters, which matches the provided answer.'}"
298,"
{
  'question': 'Maya has 200 candies. She bought 300 more candies. Then she gave 100 candies to her friend. How many candies does she have left?',
  'solution': 'def solution():\n    #Maya started with 200 candies\n    candies_initial = 200\n    #She bought 300 more candies\n    candies_bought = 300\n    #She gave 100 candies to her friend\n    candies_given = 100\n    #The answer is\n    result = candies_initial + candies_bought - candies_given\n    return result\nprint(solution())',
  'answer': '400',
  'accuracy': 1.0,
  'explanation': 'The solution correctly calculates the number of candies Maya has left after buying more and giving some away. She starts with 200 candies, buys 300 more, making it 500, and then gives away 100 candies. The remaining number of candies is 500 - 100, which is 400, matching the provided answer.'
}
"
299,"{'question': 'A bag of candy has 12 pieces. 3/4 of the candy is eaten. How many pieces of candy are left?', 'solution': 'def solution():\n    #A bag of candy has 12 pieces\n    candy_pieces = 12\n    #3/4 of the candy is eaten\n    candy_eaten = 3/4 * candy_pieces\n    #The answer is\n    result = candy_pieces - candy_eaten\n    return result', 'answer': '3.0', 'accuracy': 1.0, 'explanation': 'The solution correctly calculates the amount of candy eaten by multiplying 3/4 by the total number of candies, and then subtracts this amount from the total to find out how many pieces are left. Since 3/4 of 12 is 9, subtracting 9 from 12 leaves 3 pieces of candy, which matches the answer given.'}"
300,"
{
    'question': 'Superman can fly 1000 miles per hour. He can fly 500 miles per hour faster than the speed of sound. How fast is the speed of sound?', 
    'solution': 'def solution():\n    #Superman can fly 1000 miles per hour\n    superman_mph = 1000\n    #He can fly 500 miles per hour faster than the speed of sound\n    superman_speed_sound = superman_mph - 500\n    #The answer is\n    result = superman_speed_sound\n    return result', 
    'answer': '500', 
    'accuracy': 1.0, 
    'explanation': 'The solution correctly subtracts the 500 miles per hour difference from Superman\'s flying speed to calculate the speed of sound.'
}
"
301,"
{
  ""question"": ""Black Panther has 100 vibranium daggers. He throws 10 of them at Captain America. He then throws 50 of them at Iron Man. How many daggers does he have left?"",
  ""solution"": ""def solution():\n    #Black Panther has 100 vibranium daggers\n    daggers_initial = 100\n    #He throws 10 of them at Captain America\n    daggers_thrown_cap = 10\n    #He throws 50 of them at Iron Man\n    daggers_thrown_ironman = 50\n    #The answer is\n    result = daggers_initial - daggers_thrown_cap - daggers_thrown_ironman\n    return result"",
  ""answer"": ""40"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly subtracts the total number of daggers thrown at both Captain America and Iron Man from the initial amount of daggers, resulting in the accurate number of daggers left.""
}
"
302,"{'question': 'Unicorns love rainbows. There are 4 leopard unicorns, 6 spotted unicorns, and 4 pegasus unicorns. How many leopard, spotted, and pegasus unicorns are there?', 'solution': 'def solution():\n    #There are 4 leopard unicorns\n    leopard_unicorns = 4\n    #6 spotted unicorns\n    spotted_unicorns = 6\n    #and 4 pegasus unicorns\n    pegasus_unicorns = 4\n    #The total is\n    result = leopard_unicorns + spotted_unicorns + pegasus_unicorns\n    return result', 'answer': '14', 'accuracy': 1.0, 'explanation': 'The solution correctly adds together the number of leopard unicorns, spotted unicorns, and pegasus unicorns to find the total number of unicorns.'}"
303,"
{
  ""question"": ""Naruto can run at a speed of 100 miles per hour. He has to travel 2200 miles to get to the next city. How many hours will it take him to get there?"", 
  ""solution"": ""def solution():\n    #Naruto's speed\n    naruto_speed = 100\n    #Distance to the next city\n    distance = 2200\n    #Time = distance/speed. The answer is\n    result = distance / naruto_speed\n    return result"",
  ""answer"": ""22.0"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the time by dividing the distance Naruto must travel by his speed, arriving at the correct answer of 22 hours.""
}
"
304,"
{
  ""question"": ""Iron Man has to fight 20 bad guys in the morning and 10 more in the afternoon. The next day, he has to fight 5 more bad guys than he did the previous day. How many bad guys did Iron Man have to fight in total?"",
  ""solution"": ""def solution():\n    #Iron Man had to fight 20 bad guys in the morning and 10 more in the afternoon on the first day\n    bad_guys_first_day = 20 + 10\n    #On the second day, he had to fight 5 more bad guys than the first day\n    bad_guys_second_day = bad_guys_first_day + 5\n    #The total bad guys Iron Man had to fight is\n    result = bad_guys_first_day + bad_guys_second_day\n    return result"",
  ""answer"": ""65"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the number of bad guys Iron Man had to fight on the first day (20 in the morning + 10 in the afternoon = 30). On the second day, he had to fight 5 more than the first day, which would be 30 + 5 = 35. Adding the first and second day bad guys together gives us 30 + 35 = 65. The answer provided matches the calculation, so the solution is accurate.""
}
"
305,"{
  'question': 'A candy store has 100 lollipops. 50 of the lollipops are cherry flavored, 30 of them are grape flavored, and the rest are strawberry flavored. How many strawberry flavored lollipops are there?',
  'solution': 'def solution():\n    #Total number of lollipops\n    total_lollipops = 100\n    #Number of cherry and grape flavored lollipops\n    cherry_grape_lollipops = 50 + 30\n    #Number of strawberry flavored lollipops\n    strawberry_lollipops = total_lollipops - cherry_grape_lollipops\n    return strawberry_lollipops',
  'answer': '20',
  'accuracy': 1.0,
  'explanation': 'The solution correctly adds the number of cherry flavored lollipops (50) and grape flavored lollipops (30) to get the combined total of cherry and grape lollipops (80). Then it subtracts this number from the total number of lollipops (100) to find out how many are strawberry flavored, which correctly results in 20 strawberry flavored lollipops.'
}"
306,"{'question': 'A car travels 50 miles per hour for 2 hours. How far is the car from where it started?', 'solution': 'def solution():\n    # define the variables\n    speed = 50  # in miles per hour\n    time = 2  # in hours\n\n    # calculate the distance\n    distance = speed * time\n\n    # return the result\n    return distance\nprint(solution())', 'answer': '100', 'accuracy': 1.0, 'explanation': 'The solution correctly defines the speed and time variables, then accurately calculates the distance by multiplying speed by time, giving the correct answer.'}"
307,"{'question': 'The lacrosse team lost 7 games and won 30 games during the season. How many games did the lacrosse team play in total?', 'solution': 'def solution():\n    # The lacrosse team lost 7 games\n    lacrosse_games_lost = 7\n    # and won 30 games\n    lacrosse_games_won = 30\n    # The answer is\n    result = lacrosse_games_lost + lacrosse_games_won\n    return result', 'answer': '37', 'accuracy': 1.0, 'explanation': 'The solution correctly adds up the numbers of games the lacrosse team won and lost to determine the total number of games played.'}"
308,"{'question': 'There are 4 male unicorns and 2 female unicorns on a unicorn farm. How many unicorns are there?', 'solution': 'def solution():\n    #There are 4 male unicorns\n    male_unicorns = 4\n    #2 female unicorns\n    female_unicorns = 2\n    #The answer is\n    result = male_unicorns + female_unicorns\n    return result', 'answer': '6', 'accuracy': 1.0, 'explanation': 'The solution correctly adds the number of male unicorns to the number of female unicorns to arrive at the total number of unicorns on the farm.'}"
309,"
{
  ""question"": ""LeBron James is going to make shots and layups. He hits all 7 of his shots and makes all 10 of his layups in a game. If a made shot is worth 2 points and a made layup is worth 4 points, how many points does LeBron score in the game?"",
  ""solution"": ""def solution():\n    #The number of shots he hits\n    shots = 7\n    #The number of layups he makes\n    layups = 10\n    #The number of points he scores on a made shot\n    points_per_shot = 2\n    #The number of points he scores on a made layup\n    points_per_layup = 4\n    #The total number of points he scores\n    result = shots * points_per_shot + layups * points_per_layup\n    return result"",
  ""answer"": ""54"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution determines the total points scored by LeBron James by multiplying the number of successful shots by their respective point values and then summing them up. The calculation is (7 shots * 2 points per shot) + (10 layups * 4 points per layup), which equals 14 + 40 and results in a total of 54 which matches the provided answer.""
}
"
310,"{'question': 'The ice cream shop has 3 flavors: chocolate, vanilla, and strawberry. The shop offers 3 sizes: small, medium, and large. If you can only choose one of each, how many possible combinations of ice cream are there?', 'solution': 'def solution():\n    # number of flavors\n    flavors = 3\n    # number of sizes\n    sizes = 3\n    # calculate the number of possible combinations\n    combinations = flavors * sizes\n    return combinations', 'answer': '9', 'accuracy': 1.0, 'explanation': 'The solution correctly identifies the scenario of combining 3 flavors with 3 sizes, implying a simple multiplication of the two choices to find the total number of combinations possible, which is indeed 9.'}"
311,"
{
    ""question"": ""Thor, the God of Thunder, is 1000 times stronger than a human. If a human can lift 1000 pounds, how many pounds can Thor lift?"",
    ""solution"": ""def solution():\n    #A human can lift 1000 pounds\n    human_strength = 1000\n    #Thor is 1000 times stronger than a human\n    thor_strength = human_strength * 1000\n    #The answer is\n    result = thor_strength\n    return result"",
    ""answer"": ""1000000"",
    ""accuracy"": 1.0,
    ""explanation"": ""The solution correctly calculates how much Thor can lift by multiplying a human's lifting capacity (1000 pounds) by the factor that makes Thor stronger (1000 times). The result is correctly calculated as 1,000 * 1,000 = 1,000,000 pounds.""
}
"
312,"{'question': 'Spiderman can swing 10 meters per second. He is 100 meters away from the Empire State Building. How many seconds does it take for Spiderman to swing to the Empire State Building?', 'solution': 'def solution():\n    #Spiderman can swing 10 meters per second\n    swing_rate = 10\n    #He is 100 meters away from the Empire State Building\n    distance = 100\n    #The answer is\n    result = distance / swing_rate\n    return result', 'answer': '10.0', 'accuracy': 1.0, 'explanation': 'The solution correctly identifies the rate of swinging (10 meters per second) and the distance to the Empire State Building (100 meters). It accurately calculates the time by dividing the distance by the rate, resulting in the correct answer of 10 seconds.'}"
313,"{'question': 'The volleyball team has 100 shirts. 50 are green and 50 are blue. How many shirts does the volleyball team have?', 'solution': 'def solution():\n    #The volleyball team has 100 shirts\n    shirts = 100\n    #50 are green\n    green_shirts = 50\n    #50 are blue\n    blue_shirts = 50\n    #The answer is\n    result = green_shirts + blue_shirts\n    return result', 'answer': '100', 'accuracy': 0.0, 'explanation': 'The solution's proposed calculation is redundant and incorrect; it essentially re-adds the number of green and blue shirts to find the total, which is unnecessary as the total number of shirts was already given as 100. The correct answer is provided in the question statement itself, not through additional calculation.'}"
314,"{'question': 'Captain America throws his shield 3 times in 1 minute. How many times can he throw his shield in 4 hours?', 'solution': 'def solution():\n    #Captain America throws his shield 3 times in 1 minute\n    shield_throws_per_minute = 3\n    #4 hours is 240 minutes\n    minutes = 4 * 60\n    #The answer is\n    result = shield_throws_per_minute * minutes\n    return result\nprint(solution())', 'answer': '720', 'accuracy': 1.0, 'explanation': 'The solution correctly calculates the number of times Captain America can throw his shield in 4 hours by converting hours to minutes (4 hours * 60 minutes/hour = 240 minutes) and then multiplying the number of throws per minute by the total number of minutes (3 throws/minute * 240 minutes = 720 throws).'}"
315,"{'question': 'Taylor Swift has 1000 albums. She sells 100 albums in the US, 200 albums in Canada, 300 albums in Mexico, and 400 albums in the UK. How many albums does she have left?', 'solution': 'def solution():\n    #Taylor Swift started with 1000 albums\n    albums_initial = 1000\n    #She sold 100 albums in the US\n    albums_sold_us = 100\n    #She sold 200 albums in Canada\n    albums_sold_canada = 200\n    #She sold 300 albums in Mexico\n    albums_sold_mexico = 300\n    #She sold 400 albums in the UK\n    albums_sold_uk = 400\n    #The answer is\n    result = albums_initial - albums_sold_us - albums_sold_canada - albums_sold_mexico - albums_sold_uk\n    return result', 'answer': '0', 'accuracy': 1.0, 'explanation': 'The solution correctly calculates the number of albums remaining by subtracting the number of albums sold in each region from the initial number of albums. The result is that Taylor Swift has no albums left.'}"
316,"{'question': 'Unicorns can run 10 miles per hour. How many miles can 5 unicorns run in 3 hours?', 'solution': 'def solution():\n    #Unicorns can run 10 miles per hour\n    unicorns_run_miles_per_hour = 10\n    #5 unicorns run 10 miles per hour\n    unicorns_run_miles = unicorns_run_miles_per_hour * 5\n    #in 3 hours. The answer is\n    result = unicorns_run_miles * 3\n    return result', 'answer': '150', 'accuracy': 1.0, 'explanation': ""The solution correctly calculates the total miles 5 unicorns can run in 3 hours by multiplying a single unicorn's speed of 10 miles per hour by 5 to account for all unicorns, and then multiplies by 3 for the number of hours.""}"
317,"
{
  ""question"": ""Spiderman has 50 web shooters. He used 10 web shooters to save a kitten. He then used 20 web shooters to save a baby. How many web shooters does he have left?"",
  ""solution"": ""def solution():\n    #Spiderman started with 50 web shooters\n    web_shooters_initial = 50\n    #He used 10 web shooters to save a kitten\n    web_shooters_used_kitten = 10\n    #He used 20 web shooters to save a baby\n    web_shooters_used_baby = 20\n    #The answer is\n    result = web_shooters_initial - web_shooters_used_kitten - web_shooters_used_baby\n    return result"",
  ""answer"": ""20"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the remaining web shooters by subtracting the number used for each event from the starting number of web shooters.""
}
"
318,"
{
  ""question"": ""The Pittsburgh Steelers have 11 players on the field. 3 of the players are from the 10th grade, 6 are from the 11th grade, and the rest are from the 12th grade. How many players are from the 12th grade?"",
  ""solution"": ""def solution():\n    #The team has 11 players\n    total_players = 11\n    #3 are from the 10th grade\n    tenth_grade_players = 3\n    #6 are from the 11th grade\n    eleventh_grade_players = 6\n    #The answer is\n    twelfth_grade_players = total_players - tenth_grade_players - eleventh_grade_players\n    return twelfth_grade_players"",
  ""answer"": ""2"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the number of players from the 12th grade by subtracting the number of players from the 10th and 11th grades from the total number of players.""
}
"
319,"{'question': 'Naruto has 2000 ramen bowls. He ate 400 bowls on Tuesday, 300 bowls on Wednesday, and 400 bowls on Thursday. How many bowls of ramen does he have left?', 'solution': 'def solution():\n    #Naruto started with 2000 ramen bowls\n    ramen_bowls_initial = 2000\n    #He ate 400 bowls on Tuesday\n    ramen_bowls_tuesday = 400\n    #He ate 300 bowls on Wednesday\n    ramen_bowls_wednesday = 300\n    #He ate 400 bowls on Thursday\n    ramen_bowls_thursday = 400\n    #The answer is\n    result = ramen_bowls_initial - ramen_bowls_tuesday - ramen_bowls_wednesday - ramen_bowls_thursday\n    return result', 'answer': '900', 'accuracy': 1.0, 'explanation': 'The solution correctly subtracts the number of ramen bowls Naruto ate each day from the initial amount he had. 2000 minus 400 minus 300 minus 400 results in 900 bowls of ramen remaining.'}"
320,"
{
  ""question"": ""Steph Curry makes 10 three-pointers in 10 minutes. How many three-pointers can he make in 2 hours?"",
  ""solution"": ""def solution():\n    #Steph Curry makes 10 three-pointers in 10 minutes\n    three_pointers_10_minutes = 10\n    #2 hours is 120 minutes\n    minutes_2_hours = 120\n    #He makes\n    three_pointers_2_hours = (three_pointers_10_minutes / 10) * minutes_2_hours\n    return three_pointers_2_hours\nprint(solution())"",
  ""answer"": ""120.0"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the number of three-pointers Steph Curry makes in 2 hours by determining the rate (1 three-pointer per minute), and then multiplying this rate by the total number of minutes in 2 hours (120 minutes). The result is the correct number of three-pointers: 120.""
}
"
321,"
{'question': 'Barbie has 20 dresses. She wears 10 dresses to a party. She then wears 3 dresses to save a puppy. How many dresses does she have left?', 'solution': 'def solution():\n    #Barbie started with 20 dresses\n    dresses_initial = 20\n    #She wore 10 dresses to a party\n    dresses_worn_party = 10\n    #She wore 3 dresses to save a puppy\n    dresses_worn_puppy = 3\n    #The answer is\n    result = dresses_initial - dresses_worn_party - dresses_worn_puppy\n    return result', 'answer': '7'}
"
322,"{'question': 'A car is traveling at a constant speed of 50 miles per hour. The car travels for 2 hours. How far is the car from where it started?', 'solution': 'def solution():\n    # define the speed and time\n    speed = 50 # in miles per hour\n    time = 2 # in hours\n    \n    # calculate the distance\n    distance = speed * time\n    \n    return distance', 'answer': '100', 'accuracy': 1.0, 'explanation': 'The solution correctly computes the distance traveled by multiplying the speed of the car (50 miles per hour) by the time traveled (2 hours), which results in 100 miles.'}"
323,"The provided question does not mention the total number of Teenage Mutant Ninja Turtles, but we know from the context (and pop culture) that there are 4 turtles. The solution, however, fails to account for this and simply adds the number of items needed per turtle without multiplying by the number of turtles.

The correct approach to solving the problem would involve multiplying each item needed (boards, towels, sunscreen) by the number of turtles and then summing them together.

So the correct Python function should be:

```python
def solution():
    # Number of Teenage Mutant Ninja Turtles
    turtles = 4
    # Each turtle needs 2 boards
    boards_per_turtle = 2
    # Each turtle needs 3 towels
    towels_per_turtle = 3
    # Each turtle needs 1 bottle of sunscreen
    sunscreen_per_turtle = 1
    # Calculate total items needed
    total_items = (boards_per_turtle + towels_per_turtle + sunscreen_per_turtle) * turtles
    return total_items
```

Given this information:

{'question': 'The Teenage Mutant Ninja Turtles are going to the beach. They need to bring their boards, towels, and sunscreen. Each turtle needs 2 boards, 3 towels, and 1 bottle of sunscreen. How many items do they need to bring in total?', 'solution': 'def solution():\n    #Each turtle needs 2 boards\n    boards_per_turtle = 2\n    #Each turtle needs 3 towels\n    towels_per_turtle = 3\n    #Each turtle needs 1 bottle of sunscreen\n    sunscreen_per_turtle = 1\n    #The answer is\n    result = boards_per_turtle + towels_per_turtle + sunscreen_per_turtle\n    return result', 'answer': '6', 'accuracy': 0.0, 'explanation': 'The solution incorrectly adds up the items needed per turtle without considering the total number of turtles. The correct solution is 6 items per turtle times 4 turtles, which is 24 items in total.'}"
324,"```
{
    'question': 'Black Panther can run at a speed of 30 miles per hour. How many miles can he run in 10 minutes?', 
    'solution': ""def solution():
        #Black Panther's speed in miles per minute
        speed_per_minute = 30 / 60
        #The distance he can run in 10 minutes
        result = speed_per_minute * 10
        return result"", 
    'answer': '5.0', 
    'accuracy': 1.0, 
    'explanation': ""The solution correctly converts the speed from miles per hour to miles per minute by dividing 30 by 60. It then multiplies the speed per minute by 10 to find the distance Black Panther can run in 10 minutes, which is 5 miles.""
}
```"
325,"
{
  ""question"": ""If a person eats 3 scoops of ice cream in 5 minutes, how many scoops of ice cream can they eat in 10 minutes?"",
  ""solution"": ""def solution():\n    # define the variables\n    scoops_in_5_minutes = 3\n    minutes = 10\n\n    # calculate the number of scoops in 10 minutes\n    scoops_in_10_minutes = (scoops_in_5_minutes / 5) * minutes\n\n    # print the result\n    return scoops_in_10_minutes\nprint(solution())"",
  ""answer"": ""6.0"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly sets up a proportion, calculating that if 3 scoops are eaten in 5 minutes, then in 10 minutes, twice as many scoops (6 scoops) would be eaten since 10 minutes is twice as long as 5 minutes.""
}
"
326,"{'question': 'Harry Potter has 100 galleons. He spends 40 galleons on a new wand, 20 galleons on a new robe, and 30 galleons on a new book. How many galleons does he have left?', 'solution': 'def solution():\n    #Harry Potter started with 100 galleons\n    galleons_initial = 100\n    #He spent 40 galleons on a new wand\n    galleons_spent_wand = 40\n    #He spent 20 galleons on a new robe\n    galleons_spent_robe = 20\n    #He spent 30 galleons on a new book\n    galleons_spent_book = 30\n    #The answer is\n    result = galleons_initial - galleons_spent_wand - galleons_spent_robe - galleons_spent_book\n    return result', 'answer': '10', 'accuracy': 1.0, 'explanation': 'The solution correctly subtracts the galleons spent on the wand, robe, and book from the initial number of galleons Harry Potter had, resulting in the correct remaining amount.'}"
