,0
234,"{'question': 'A basketball team has 10 players. Five players are on the court and the rest are on the bench. Two of the players on the bench are injured. How many players on the bench are not injured?', 'answer': '3', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, involves subtraction as the mathematical operation, contains language that is appropriate for a classroom setting, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.'}"
235,"{'question': 'Superman can lift 2000 pounds. He can fly at the speed of 200 miles per hour. How many miles can he fly in 5 minutes?', 'answer': '60000', 'appropriateness': 0.0, 'explanation': 'This question is inappropriate as the answer provided is incorrect, which could confuse or mislead students. It does not align with the correct calculation for the given rate and time. To find out how many miles Superman can fly in 5 minutes, students would need to convert hours to minutes by dividing 200 miles per hour by 12 since there are 60 minutes in an hour, which would yield approximately 16.67 miles in 5 minutes, not 60,000 miles.'}"
236,"{'question': 'Harry Potter has 1500 galleons. He bought 200 galleons on Tuesday, 300 galleons on Wednesday, and 400 galleons on Thursday. How many galleons does he have now?', 'answer': '2400', 'appropriateness': 0.0, 'explanation': 'The question is strange and unrealistic—the currency system depicted is buying currency directly, which doesn't make logical sense, as galleons are already a form of currency in the Harry Potter universe. It seems like the intention was to describe spending or earning galleons, but as written, it implies buying money with money, which is not an accurate representation of economic transactions.'}"
237,"
{
  ""question"": ""Superman can fly at the speed of 1000 miles per hour. He is 2500 miles away from the city. How many hours will it take for him to reach the city?"",
  ""answer"": ""2.5"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, uses a fictional but understandable scenario for the age group, contains appropriate language, is free from grammar errors and typos, and requires mathematical operations (division) to arrive at the final correct answer.""
}
"
238,"
{
  ""question"": ""Captain America has 1000 shields. 500 of the shields are for battle, 200 of the shields are for training, and the rest are for display. How many shields are for display?"",
  ""answer"": ""300"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question involves basic subtraction and is appropriate for K-8 students to solve. While it uses the fictional character Captain America, it does not cross into the realm of inappropriate content and stays within the boundaries of a fictional but realistic scenario for educational purposes. It is free from grammatical errors and requires mathematical operations to arrive at the correct answer.""
}
"
239,"
{
  ""question"": ""A basketball player makes an average of 23 free throws a game over the course of a season. She plays 11,000 games in her career. How many times does the player make a free throw over her career?\nAnswer: 253,000"",
  ""answer"": ""6325000"",
  ""appropriateness"": 0.0,
  ""explanation"": ""This question is not appropriate for a K-8 educational setting as it is unrealistic; it is impossible for a basketball player to play 11,000 games in their career. Additionally, the number used in the solution provided (253,000) does not match the correct calculation of 23 free throws times 11,000 games, which equals 253,000. The answer in the JSON object, 6,325,000, is incorrectly calculated and does not match the solution text.""
}
"
240,"{'question': 'Taylor Swift has 10000 dollars. She spent 4000 dollars on her cats and 2000 dollars on her guitars. How much money is left?', 'answer': '4000', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations (subtraction) to arrive at the final correct answer.'}"
241,"{'question': 'There are 8 gyms in the Kanto region. Each gym has a leader that can be battled once per day. If each leader gives out $100 after being defeated, how much money can be earned by defeating all the gym leaders?', 'answer': '800', 'appropriateness': 1.0, 'explanation': 'This question involves simple multiplication, which is appropriate for K-8 students. It contains no inappropriate language, is not strange or unrealistic within the fictional context of the Pokémon universe where gym battles and earning money for winning are common scenarios, is free from grammar errors and typos, and it requires a mathematical operation to solve.'}"
242,"{'question': 'An ice cream shop has 1000 gallons of ice cream. They have 250 gallons of vanilla, 250 gallons of chocolate, and the rest is strawberry. How many gallons of strawberry ice cream are there?', 'answer': '500', 'appropriateness': 1.0, 'explanation': 'This question is appropriate for K-8 students as it involves basic subtraction within a realistic scenario. It requires mathematical operations (1000 - 250 - 250) to solve the problem, which is suitable for the target grade level. The question is free from inappropriate content, strange or unrealistic details, and grammatical errors or typos.'}"
243,"
{
  ""question"": ""If a candy weighs 3 grams, how many candies can you get from 1 kilogram of candy?"",
  ""answer"": ""333.3333333333333"",
  ""appropriateness"": 0.0,
  ""explanation"": ""This question is flagged as inappropriate because it involves a conversion between grams and kilograms, which may require knowledge of unit conversion that is not typically taught until higher levels of elementary school or middle school. Moreover, the final answer involves a repeating decimal which would be difficult for a K-8 student to arrive at without a calculator.""
}
"
244,"
{
  ""question"": ""A train has 32 cars. 28 of the cars are regular freight cars. A passenger train pulls into the station and loads 2 freight cars. It then boards 5 passengers and leaves without any freight cars, only one car behind the locomotive. How many freight cars does the train have now?"",
  ""answer"": ""5"",
  ""appropriateness"": 0.0,
  ""explanation"": ""This question is educationally inappropriate because it contains an unrealistic situation and does not make logical sense.  If the train initially had 28 freight cars and then loads 2 more, that would mean it has 30 freight cars. However, the train leaving with only one car behind the locomotive is confusing and does not specify what happens with the remaining freight cars. This does not realistically happen and can confuse students as to how to tackle the problem, indicating that the problem itself is poorly constructed and thus not appropriate.""
}
"
245,"
{
    ""question"": ""A freezer has 100 gallons of ice cream. 40 of the gallons are vanilla, 30 of the gallons are chocolate, and the rest are strawberry. How many gallons of strawberry ice cream are in the freezer?"",
    ""answer"": ""30"",
    ""appropriateness"": 1.0,
    ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations (subtraction) to arrive at the final correct answer.""
}
"
246,"{
  'question': 'A field hockey team has 12 players. 4 players are injured. How many players are not injured?',
  'answer': '8',
  'appropriateness': 1.0,
  'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, involves basic subtraction, contains appropriate language, is not strange or unrealistic, is free from grammatical errors and typos, and requires mathematical operations to arrive at the final correct answer.'
}"
247,"
{
  ""question"": ""Ash caught 35 Pokemon in Pallet Town, 50 in Viridian City, and 25 in Pewter City. How many Pokemon did he catch in total?"",
  ""answer"": ""110"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is in a familiar fictional context, is free from grammar errors and typos, and requires mathematical operations (addition) to arrive at the final correct answer.""
}
"
248,"
{
  ""question"": ""Kai has 64 lacrosse stickers. 9 of them are red, \n11 of them are yellow, 12 of them are green, and the rest are purple. How many purple lacrosse stickers does Kai have?"",
  ""answer"": ""32"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic for the setting of a collection of stickers, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.""
}
"
249,"
{
  ""question"": ""Patrick Mahomes completed 38 of 50 passes and Ryan Fitzpatrick completed 31 of 50 passes. Who completed more passing attempts?"",
  ""answer"": ""7"",
  ""appropriateness"": 0.0,
  ""explanation"": ""The question is inappropriate because it contains an error in the wording that leads to confusion. The term 'passing attempts' refers to the number of passes a player tries to make, not the number of successful completions. Both players attempted 50 passes, so stating that one completed more 'passing attempts' is incorrect. Additionally, the answer provided does not match the question; it seems to suggest the difference in successful completions rather than identifying who completed more passing attempts. Therefore, this question is misleading and does not have a proper mathematical context within its narrative.""
}
"
250,"
{
  ""question"": ""On Monday, you ate 21 bowls of ice cream. On Tuesday, you ate 12 bowls. On Wednesday, you ate 10 bowls. On Thursday, you ate 14 bowls. How many bowls of ice cream did you eat in total?"",
  ""answer"": ""57"",
  ""appropriateness"": 0.0,
  ""explanation"": ""This question is flagged as being strange or unrealistic. Eating 21 bowls of ice cream on a single day is an excessive and unlikely amount for a person to consume, therefore it is not a realistic scenario for students to relate to or consider.""
}
"
251,"
{
  ""question"": ""Wonder Woman can fly at a speed of 100 miles per minute. She needs to fly 3200 miles to reach her destination. How many minutes will it take her to get there?"",
  ""answer"": ""32.0"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students. It involves basic division, which is a math operation appropriate for this grade level. The question contains appropriate language and is set in a fictional context that is not strange or unrealistic for a superhero character. Moreover, it is free from grammar errors and typos and requires mathematical operations to arrive at the final correct answer.""
}
"
252,"
{
  ""question"": ""Tony Stark has three suits. One of the suit is his Iron Man suit. One of the suit is his Mark XLV Armor suit. The rest is his Iron Patrolling armor suit. How many suits does Tony Stark have in total?"",
  ""answer"": ""5"",
  ""appropriateness"": 0.0,
  ""explanation"": ""The question contains a grammatical error ('One of the suit' should be 'One of the suits'), and it does not require any mathematical operations to solve because it clearly states initially that Tony Stark has three suits. Additionally, the given answer of '5' is incorrect based on the information provided in the question, which further adds to the inappropriateness of the question.""
}
"
253,"{'question': ""T'Challa can throw 20 punches in 10 seconds. How many punches can he throw in 3 minutes?"", 'answer': '360', 'appropriateness': 1.0, 'explanation': 'This question is appropriate for K-8 students as it involves simple multiplication and division to convert minutes into seconds, and then to determine the total number of punches. It does not contain strange or unrealistic statements, inappropriate content, grammatical errors, or typos, and it requires mathematical operations to arrive at the final correct answer.'}"
254,"{
    'question': 'A pizza has 8 slices. If you eat 2 slices, how many slices do you have left?',
    'answer': '6',
    'appropriateness': 1.0,
    'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires basic subtraction to arrive at the final correct answer.'
}"
255,"```
{
  'question': 'There are 12 players on a volleyball team. 4 of them are on the front row, and the rest are on the back row. How many players are on the back row?',
  'answer': '8',
  'appropriateness': 1.0,
  'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, requires a simple subtraction operation to solve, contains appropriate language, is not strange or unrealistic (although a real volleyball team has 6 players on the court at a time, the question can be fictional and does not state that all players are on the court at the same time), is free of grammar errors and typos, and correctly requires mathematical operations to arrive at the final answer.'
}
```"
256,"{'question': 'Thor, the God of Thunder, is a superhero. He has 1200 ryo. 1/4 of his ryo is in the form of coins. 1/2 of his ryo is in the form of bills. 1/8 of his ryo is in the form of a check. How many ryo is in the form of a check?', 'answer': '150.0', 'appropriateness': 1.0, 'explanation': 'The question is appropriate for a K-8 setting. It involves understanding and calculating simple fractions of a whole number, which is suitable for students in this age range. The context of the question, involving a superhero and different forms of money, does not contain any realistic errors, inappropriate content, or grammatical issues. It requires mathematical operations to solve the problem, which makes it a valid math word problem.'}"
257,"
{
  'question': 'Barbie has 100 dollars. She spent 30 dollars on a new dress, 40 dollars on a new car, and 10 dollars on a new purse. How much money does she have left?',
  'answer': '20',
  'appropriateness': 1.0,
  'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, involves realistic scenarios and numbers, contains appropriate language, is free from grammar errors and typos, and requires mathematical operations (subtraction) to arrive at the final correct answer.'
}
"
258,"{'question': 'Wonder Woman can run 20 miles per hour. She ran for 5 hours. How many miles did she run?', 'answer': '100', 'appropriateness': 1.0, 'explanation': 'This question is suitable for a K-8 student as it involves simple multiplication within the arithmetic operations understood at this educational level. It contains appropriate content, is not strange or unrealistic given the fictional context, is free from grammatical errors or typos, and requires a mathematical operation to solve for the final answer. The scenario is clearly presented and aligns with the multiplication concepts taught in K-8 math curricula.'}"
259,"{'question': 'Train A is traveling at 60 mph and Train B is traveling at 40 mph. If they are traveling in the same direction, how much faster is Train A than Train B?', 'answer': '20', 'appropriateness': 1.0, 'explanation': 'This question is appropriate for a K-8 student as it deals with a realistic scenario and involves a simple subtraction operation, which falls within the mathematical operations that K-8 students are expected to understand. There are no grammatical errors, the content is suitable for a classroom setting, and it does not depict any strange or unrealistic situations.'}"
260,"
{
  ""question"": ""There are 10 dogs at a dog park. 5 dogs are large breeds, 3 dogs are medium breeds, and the rest are small breeds. How many dogs are small breeds?"",
  ""answer"": ""2"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, requires subtraction to arrive at the correct answer, does not contain strange or unrealistic content, and is free from grammar errors and typos.""
}
"
261,"{'question': 'Barbie had $75. She bought 3 dollhouses paying $18 for each dollhouse. How much does she have left?', 'answer': '21', 'appropriateness': 1.0, 'explanation': 'This question is appropriate for K-8 students as it involves basic subtraction and multiplication, practices real-world application of spending and budgeting, contains language suitable for a school setting, is realistic enough for educational purposes, is free from grammar errors and typos with the small exception of a missing space which does not hinder understanding, and requires mathematical operations to arrive at the final correct answer. The cost of the 3 dollhouses at $18 each would be 3 * $18 = $54. Therefore, Barbie would have $75 - $54 = $21 left.'}"
262,"{'question': 'Wonder Woman has 200 lassos. She uses 30 to tie up bad guys, 50 to tie up innocent people, and 40 to tie up her own people. How many lassos does she have left?', 'answer': '80', 'appropriateness': 0.0, 'explanation': 'This question contains inappropriate content for a K-8 classroom setting, as it suggests violent behavior (tying up bad guys and innocent people) and is therefore not appropriate.'}"
263,"{'question': 'Wonder Woman has 1000 gold coins. She gives 500 to Batman and 300 to Superman. How many gold coins does she have left?', 'answer': '200', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, containing simple subtraction operations within the range of numbers that are typical for this grade level. It contains appropriate language, is not strange or unrealistic within the context of a fictional scenario, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.'}"
264,"{'question': 'Iron Man is a superhero. He needs to get to the city of Zhuji for a mission. He has an Iron Car and Iron Jet. The jet travels 20 times faster than the car. The car needs 160 minutes to reach the city, but the jet only needs 1 minute. How long would it take Iron Man to reach the city using the jet?', 'answer': '20', 'appropriateness': 0.0, 'explanation': 'This question contains conflicting information and unrealistic elements. It states that the jet travels 20 times faster than the car, but also says the car takes 160 minutes while the jet takes only 1 minute, which would make the jet 160 times faster, not 20. Therefore, the question is factually inaccurate and potentially confusing for students. Additionally, the provided answer of ""20"" does not match either of the conditions described in the question.'}"
265,"
{
  ""question"": ""If you have 12 cookies and your friend has 3 cookies, how many cookies do you both have together?"",
  ""answer"": ""15"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, contains no inappropriate content, is not strange or unrealistic, is free from grammar errors and typos, and requires basic addition to arrive at the final correct answer.""
}
"
266,"{
    'question': 'A Minecraft player has 100 gold, 200 iron, and 300 diamond. \nThe player sells 20 gold, 10 iron, and 50 diamond. \nHow many items does the player have left?', 
    'answer': '520', 
    'appropriateness': 1.0, 
    'explanation': 'The question is suitable for K-8 students as it involves basic subtraction of whole numbers—a standard mathematical operation at this education level. Additionally, the context of the question is appropriate for the classroom and does not contain any strange, unrealistic, or inappropriate content. The question requires students to perform mathematical operations to arrive at the answer.'
}"
267,"{
'question': 'Iron Man has 40,000,000 Iron Man armors and 8 suits of Power Armor. Iron Man also has 233 Tony Stark suits. How many types of suits does Iron Man have in total?', 
'answer': '40000241', 
'appropriateness': 1.0, 
'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, as it involves basic addition that can be done without a calculator, contains appropriate language, is not strange or unrealistic within the fictional context of Iron Man, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.'
}"
268,"{'question': 'Captain America can fly 100 miles in 10 minutes. \nHow many miles can he fly in 30 minutes?', 'answer': '300', 'appropriateness': 1.0, 'explanation': 'The question is written at an appropriate mathematical difficulty for K-8 students, involving a simple multiplication problem that is relevant in understanding rates (miles per minute). It contains appropriate language, does not involve any strange or unrealistic elements within the context of a fictional superhero scenario, is free from grammar errors and typos, and requires basic mathematical operations to arrive at the final correct answer.'}"
269,"{'question': 'LeBron James made 10 free throws in the first quarter and 15 in the second quarter. How many free throws did he make in the first half?', 'answer': '25', 'appropriateness': 1.0, 'explanation': 'This question is suitable for K-8 students as it involves basic addition, a concept taught in elementary school and reviewed in middle school. The scenario is realistic and relatable, without any inappropriate content, strange or unrealistic aspects, or unnecessary complications for the targeted age range. The question contains no grammatical errors and typos, and it requires mathematical operations to arrive at the correct answer.'}"
270,"{'question': 'A Fortnite player has 1000 V-Bucks. He buys a 2000 V-Bucks card, and then he spends 1000 V-Bucks on a Battle Pass. How many V-Bucks does he have left?', 'answer': '2000', 'appropriateness': 1.0, 'explanation': 'This question is appropriate as it is realistic in the context of the game Fortnite, which is popular among children. It involves basic addition and subtraction, which is suitable for K-8 students. The language is appropriate, it contains no grammatical errors or typos, and the problem requires mathematical operations to solve.'}"
271,"
{
  ""question"": ""A pizza is cut into 8 equal slices. 3 slices are pepperoni, 2 slices are cheese, and 3 slices are veggie. How many slices of pepperoni pizza are there?"",
  ""answer"": ""3"",
  ""appropriateness"": 0.0,
  ""explanation"": ""This question is inappropriate because it does not require any mathematical operations to solve. The number of pepperoni pizza slices is directly provided in the text of the question.""
}
"
272,"
{
  ""question"": ""A unicorn has 100 rainbow hairs. They lost 20 hairs on Tuesday, 40 more on Wednesday, and 30 more on Thursday. How many rainbow hairs do they have now?"",
  ""answer"": ""10"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, contains child-friendly fictional content, is free from grammar errors and typos, and requires basic subtraction to arrive at the final correct answer.""
}
"
273,"{'question': 'If one scoop of ice cream is 50 calories, and you can eat 10 scoops of ice cream in 10 seconds, how many calories can you eat in 40 seconds?', 'answer': '2000', 'appropriateness': 1.0, 'explanation': 'This question is well-suited for K-8 students, as it involves basic multiplication and understanding of proportions. The question contains no inappropriate language, is not too unrealistic, does not contain grammatical errors or typos, and requires mathematical operations to solve for the final answer.'}"
274,"
{
  ""question"": ""A cheerleading squad has 12 members. 8 of the cheerleaders are in the front line, and the rest are in the back line. How many cheerleaders are in the back line?"",
  ""answer"": ""4"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students as it involves basic subtraction. The context is realistic and it contains no inappropriate language. It is not overly strange or unrealistic, contains no grammatical errors or typos, and requires a simple mathematical operation to arrive at the final correct answer.""
}
"
275,"{'question': 'Captain Marvel has to fly 1000 miles to her next mission. She flies 200 miles per hour. How long does it take her to get there?', 'answer': '5.0', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty level for K-8 students, includes appropriate language, does not involve any strange or unrealistic scenarios beyond acceptable fictional contexts, is free from grammar errors and typos, and requires a mathematical operation (division) to arrive at the final correct answer.'}"
276,"{
    'question': 'A swimmer swam 2000 meters in 30 minutes. How many meters per minute did the swimmer swim?',
    'answer': '66.66666666666667',
    'appropriateness': 1.0,
    'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, as it involves basic division to find the rate per unit of time, in this case, meters per minute. The scenario is realistic, the language is appropriate, there are no grammatical errors or typos, and it does not contain any inappropriate content or difficult operations for the targeted age group.'
}"
277,"
{
  ""question"": ""100 people are watching a soccer game. 20 of them are wearing hats. 30 of them are wearing sunglasses. 10 of them are wearing both hats and sunglasses. How many people are wearing neither hats nor sunglasses?"",
  ""answer"": ""60"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, containing a problem relevant to sets and subsets which is a part of the curriculum (often dealing with Venn Diagrams). It requires the comprehension of addition and subtraction to determine the correct answer and no grammar errors or typos are present. It also contains appropriate language and is not strange or unrealistic.""
}
"
278,"{'question': 'Thor is fighting the Frost Giants. He throws 100 lightning bolts in the first 10 minutes. He throws 200 lightning bolts in the next 10 minutes. How many lightning bolts did he throw in total?', 'answer': '300', 'appropriateness': 1.0, 'explanation': 'This question is appropriately leveled for K-8 students, as it involves only basic addition to solve. Even though the scenario is fictional and involves superhero actions, such exaggeration is acceptable and can make the math problem more engaging for students. The content is appropriate, does not involve harming actual people, and there are no grammatical or typographical errors present.'}"
279,"{
  'question': 'Wonder Woman is 6 ft 0 in tall. 1 inch is 0.0254 meters. How tall is Wonder Woman in meters?', 
  'answer': '1.8288', 
  'appropriateness': 1.0, 
  'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, involving basic multiplication and unit conversion skills which are suitable for upper elementary or middle school students. It contains appropriate language, is not strange or unrealistic, as superheroes and unit conversion are acceptable topics, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.'
}"
280,"
{
  'question': 'Superman is an alien from the planet Krypton. He has the ability to fly at incredible speeds. In one hour, he can fly 3600 miles. How many miles can he fly in 24 hours?',
  'answer': '86400',
  'appropriateness': 1.0,
  'explanation': 'This question is educationally appropriate for K-8 students. It involves simple multiplication which falls within the skill set of students in this age range. The question contains a fictional setting but uses a scenario (multiplying speed by time) that is realistic within the context of the fictional world, contains no grammatical issues, and does not require a calculator to solve as the numbers are round and easy to multiply.'
}
"
281,"{'question': 'There are 12 players on a field hockey team. 7 of the players are in 11th grade. 3 of the players are in 12th grade. 2 of the players are in 9th grade. 1 of the players is in 10th grade. How many of the players are in 11th or 12th grade?', 'answer': '10', 'appropriateness': 1.0, 'explanation': 'This question is appropriate for K-8 students as it is within the expected difficulty level, requiring basic addition to solve. The question is realistic, does not contain inappropriate content, and does not have grammar errors or typos.'}"
282,"
{
  'question': 'Steph Curry makes 2133 free throws for the year. He hits 342 more free throws than he misses. How many free throws does Steph Curry miss?',
  'answer': '1791',
  'appropriateness': 1.0,
  'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, as it requires basic algebra to solve. The student must first establish the relationship that the sum of makes and misses equals the total free throws made. It involves using subtraction and algebraic reasoning, which are skills that may be appropriate for upper elementary and middle school grades, particularly grades 6-8. The content is suitable for a classroom setting and it is couched in a real-life scenario that is not strange or unrealistic. The question is free from grammatical errors and typos, and requires mathematical operations to arrive at the final correct answer.'
}
"
283,"
{
  ""question"": ""Batman is in a 10-day intergalactic battle. \nHe fights 5 aliens on the first day, 10 aliens on the second day, and 20 aliens on each of the remaining days. How many aliens does he fight in total?"",
  ""answer"": ""175"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, involves a fictional scenario that is not overly strange or unrealistic for a fictional superhero context, contains appropriate language, is free from grammar errors and typos, and requires mathematical operations to solve, specifically repetitive addition or multiplication which is suitable for the K-8 curriculum.""
}
"
284,"
{
  ""question"": ""LeBron James has 100 pairs of sneakers. 20 of them are Nike, 15 are Adidas, and 10 are Reebok. The rest of the sneakers are Converse. How many pairs of Converse sneakers does LeBron James have?"",
  ""answer"": ""55"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.""
}
"
285,"
{
  'question': 'Wonder Woman has a magic lasso that can hold a maximum of 2000 pounds. She is currently holding a man weighing 180 pounds and a woman weighing 130 pounds. How much weight can she hold with her magic lasso?', 
  'answer': '1690',
  'appropriateness': 1.0,
  'explanation': 'This question is suitable for K-8 students as it requires basic subtraction and deals with appropriate fictional content. It is not strange or unrealistic within the context of a superhero setting, and it does not contain inappropriate content, grammatical errors, or typos.'
}
"
286,"
{
  ""question"": ""Batman has 1200 gold coins. He is to pay 100 gold coins to the government and 200 gold coins to the orphanage. How many gold coins does he have left?"",
  ""answer"": ""900"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, as it involves basic subtraction which is suitable for this grade level. It contains appropriate language, is not strange or unrealistic within the context of a fictional character like Batman, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.""
}
"
287,"```
{
  'question': 'Barbie has 300 coins. She saves 200 of these coins and\npays the rest to buy her mom a present. How much money does Barbie have now?',
  'answer': '200',
  'appropriateness': 1.0,
  'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, involves a basic subtraction problem, contains language suitable for the classroom, is not unrealistic for the context of a mathematical word problem, is free from grammar errors and typos, and requires mathematical operations (subtraction) to arrive at the final correct answer.'
}
```"
288,"{'question': 'The Ninja Turtles have 200 pizza slices. 100 of the slices are pepperoni. 100 of the slices are cheese. 50 of the slices are pepperoni and cheese. How many pizza slices are cheese only?', 'answer': '50', 'appropriateness': 0.0, 'explanation': 'The question contains a logical inconsistency, as it is impossible for there to be 200 slices with 100 being pepperoni, 100 being cheese, and 50 being both pepperoni and cheese. This would imply there are 250 slices in total, not 200. This error could confuse students and is not realistic or possible, which makes it educationally inappropriate.'}"
289,"{'question': 'In the NBA, a team receives 3 points when it makes a jump shot from the 2-minute mark. If a team makes 120 jump shots from the 3-point line, how many points does the team score?', 'answer': '360', 'appropriateness': 0.0, 'explanation': 'The information about the ""2-minute mark"" is confusing and factually inaccurate, as a jump shot from the 3-point line always counts for 3 points regardless of the time on the game clock. This could potentially lead to misunderstandings about the rules of basketball and the calculation based on game timing, which could confuse students.'}"
290,"{'question': 'Wonder Woman has 1000 nuts and bolts. She needs 500 to fix her plane. She then needs 200 more to fix her shield. How many nuts and bolts does she have left?', 'answer': '300', 'appropriateness': 1.0, 'explanation': 'This question is appropriate as it is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic within the context of a fictional character, is free from grammar errors and typos, and requires mathematical operations (subtraction) to arrive at the correct answer.'}"
291,"
{
  ""question"": ""If 2500 V-Bucks cost $20, how many V-Bucks can you get for $100?"",
  ""answer"": ""485"",
  ""appropriateness"": 0.0,
  ""explanation"": ""The given answer of 485 is incorrect; therefore, it would confuse students trying to learn proper mathematical operations. Also, there is a formatting error in the question with a lack of space before the dollar amount ($100). The correct answer should be calculated by finding the unit price of one V-Buck and then multiplying by 100, which gives a correct answer of 12,500 V-Bucks for $100 (2500 V-Bucks for $20 implies you get 125 V-Bucks per dollar).""
}
"
292,"{'question': 'Super Mario has 100 gold coins. He spends 10 coins on Monday, 15 coins on Tuesday, and 20 coins on Wednesday. How many coins does he have now?', 'answer': '55', 'appropriateness': 1.0, 'explanation': 'This question is appropriate for K-8 students as it involves simple subtraction, which is within the mathematical operations suitable for this age group. The context is not strange or unrealistic within the fictional setting of Super Mario, contains no inappropriate content, language, typographical, or grammatical errors, and successfully requires mathematical calculation to arrive at the correct answer.'}"
293,"
{'question': 'Spiderman has 200 spider webs. He buys 30 more spider webs. He then sells 50 spider webs. How many spider webs does he have left?', 'answer': '180', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic within the fictional context of Spiderman, who is a character known for using spider webs, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.'}
"
294,"
{
  ""question"": ""Captain Marvel has 1000 photon blasts. She uses 250 of them to fight Ronan and 400 of them to fight Thanos. How many photon blasts does she have left?"",
  ""answer"": ""350"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language for a classroom setting as it is situated within the context of a fictional superhero story, is not strange or unrealistic given the fictional context, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.""
}
"
295,"{'question': 'In a lacrosse game, Team A scored 4 goals in the first quarter, 6 goals in the second quarter, and 5 goals in the third quarter. How many goals did Team A score in the first three quarters of the game?', 'answer': '15', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, involves a realistic scenario, contains appropriate language, is free from grammar errors and typos, and requires mathematical operations (addition) to arrive at the final correct answer.'}"
296,"{'question': 'Maya has 200 candies. She bought 300 more candies. Then she gave 100 candies to her friend. How many candies does she have left?', 'answer': '400', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students. It includes addition and subtraction, which are operations suitable for students at this level. The content is age-appropriate, it is realistically conceivable, and it contains no grammar errors, typos, or inappropriate language. The problem also requires mathematical operations to arrive at the final correct answer.'}"
297,"
{
  ""question"": ""A bag of candy has 12 pieces. 3/4 of the candy is eaten. How many pieces of candy are left?"",
  ""answer"": ""3.0"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, involves operations with fractions which is within the curriculum, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires a mathematical operation (multiplication of a whole number by a fraction and subtraction) to arrive at the final correct answer.""
}
"
