,Question Number,Solution
1465,question_1511,8.79645943005142
1466,question_1512,15.0
1467,question_1513,48/5
1468,question_1514,20.0
1469,question_1515,3.141592653589793
1470,question_1516,25.132741228718345
1471,question_1517,9.994930426171027
1472,question_1518,3.141592653589793
1473,question_1519,28.274333882308138
1474,question_1520,2.0
1475,question_1521,6.283185307179586
1476,question_1522,1.9989860852342056
1477,question_1523,5.0
1478,question_1524,70
1479,question_1525,32
1480,question_1526,15.0
1481,question_1527,70
1482,question_1528,8.0
1483,question_1529,49
1484,question_1530,4
1485,question_1531,28
1486,question_1532,4.0
1487,question_1533,36
1488,question_1534,685
1489,question_1535,49
1490,question_1536,856.0
1491,question_1537,169.8
1492,question_1538,64
1493,question_1539,-2668
1494,question_1540,59
1495,question_1541,30
1496,question_1542,196
1497,question_1543,3
1498,question_1544,122
1499,question_1545,3
1500,question_1546,61
1501,question_1547,1
1502,question_1548,-449.77777777777777
1503,question_1549,217
1504,question_1550,77.4
1505,question_1551,1
1506,question_1552,133
1507,question_1553,5
1508,question_1554,200.0
1509,question_1555,90
1510,question_1556,113.5
1511,question_1557,7
1512,question_1558,44
1513,question_1559,53
1514,question_1560,6
1515,question_1561,1
1516,question_1562,2
1517,question_1563,388.5
1518,question_1564,4
1519,question_1565,51.333333333333336
1520,question_1566,93
1521,question_1567,45
1522,question_1568,31.571428571428573
1523,question_1569,51.333333333333336
1524,question_1570,363.0
1525,question_1571,1
1526,question_1572,39.666666666666664
1527,question_1573,103
1528,question_1574,196.8
1529,question_1575,311.6666666666667
1530,question_1576,31.88888888888889
1531,question_1577,39.0
1532,question_1578,135.0
1533,question_1579,81.0
1534,question_1580,89.0
1535,question_1581,109.0
1536,question_1582,26.0
1537,question_1583,142.0
1538,question_1584,28.0
1539,question_1585,71.0
1540,question_1586,291.0
1541,question_1587,30.0
1542,question_1588,155.0
1543,question_1589,51.0
1544,question_1590,336
1545,question_1591,44.0
1546,question_1592,65.0
1547,question_1593,21.0
1548,question_1594,60.0
1549,question_1595,20.0
1550,question_1596,48.0
1551,question_1597,140.0
1552,question_1598,42.0
1553,question_1599,20.0
1554,question_1600,45.0
1555,question_1601,48.0
1556,question_1602,3.78
1557,question_1603,4.3
1558,question_1604,3.9859154929577465
1559,question_1605,4.67
1560,question_1606,1
1561,question_1607,6.75
1562,question_1608,5.709677419
1563,question_1609,2.14
1564,question_1610,90
1565,question_1611,4.0
1566,question_1612,6
1567,question_1613,5.0
1568,question_1614,2.0
1569,question_1615,16
1570,question_1616,7.0
1571,question_1617,8.0
1572,question_1618,22
1573,question_1619,30
1574,question_1620,28
1575,question_1621,7.0
1576,question_1622,3.0
1577,question_1623,8
1578,question_1624,5.0
1579,question_1625,4.0
1580,question_1626,16
1581,question_1627,18
1582,question_1628,24
1583,question_1629,10.0
1584,question_1630,8
1585,question_1631,22
1586,question_1632,30
1587,question_1633,2.0
1588,question_1634,12
1589,question_1635,60
1590,question_1636,6.0
1591,question_1637,4.0
1592,question_1638,24
1593,question_1639,20
1594,question_1640,8
1595,question_1641,10.0
1596,question_1642,56
1597,question_1643,10.0
1598,question_1644,455
1599,question_1645,0
1600,question_1646,14
1601,question_1647,1.1666666666666667
1602,question_1648,24
1603,question_1649,1.5
1604,question_1650,324.0
1605,question_1651,3.3333333333333335
1606,question_1652,14/3
1607,question_1653,1.125
1608,question_1654,630.0
1609,question_1655,1.3333333333333333
1610,question_1656,3.0
1611,question_1657,48
1612,question_1658,1.75
1613,question_1659,5.0
1614,question_1660,15
1615,question_1661,26
1616,question_1662,4.0
1617,question_1663,8
1618,question_1664,6.0
1619,question_1665,4.5
1620,question_1666,4
1621,question_1667,4
1622,question_1668,146.250000000000
1623,question_1669,5.0
1624,question_1670,9.0
1625,question_1671,6
1626,question_1672,49
1627,question_1673,2.25
1628,question_1674,63
1629,question_1675,6
1630,question_1676,30.0
1631,question_1677,117
1632,question_1678,1.8
1633,question_1679,1.1666666666666667
1634,question_1680,40
1635,question_1681,50.0
1636,question_1682,12
1637,question_1683,49
1638,question_1684,7.0
1639,question_1685,720/7
1640,question_1686,18
1641,question_1687,70
1642,question_1688,7.0
1643,question_1689,1.2857142857142858
1644,question_1690,63
1645,question_1691,5.0
1646,question_1692,36.0000000000000
1647,question_1693,22.84
1648,question_1694,selling 2 books for $15.86
1649,question_1695,11
1650,question_1696,7.199999999999999
1651,question_1697,5.84
1652,question_1698,hamburgers
1653,question_1699,2.66
1654,question_1700,Red chair has a lower unit price.
1655,question_1701,October
1656,question_1702,6.8100000000000005
1657,question_1703,7.74
1658,question_1704,37.44
1659,question_1705,Market
1660,question_1706,18.689999999999998
1661,question_1707,Chicken nuggets
1662,question_1708,2
1663,question_1709,Brand B
1664,question_1710,134.04
1665,question_1711,46.2
1666,question_1712,79.86999999999999
1667,question_1713,red grapes
1668,question_1714,37.38
1669,question_1715,10.3
1670,question_1716,0.63
1671,question_1717,7.0
1672,question_1718,35
1673,question_1719,63
1674,question_1720,24
1675,question_1721,4
1676,question_1722,6
1677,question_1723,3
1678,question_1724,8
1679,question_1725,5
1680,question_1726,8
1681,question_1727,8
1682,question_1728,32
1683,question_1729,9
1684,question_1730,32
1685,question_1731,27
1686,question_1732,11
1687,question_1733,72
1688,question_1734,6.0
1689,question_1735,2
1690,question_1736,8
1691,question_1737,4.0
1692,question_1738,14
1693,question_1739,32
1694,question_1740,12
1695,question_1741,8
1696,question_1742,21
1697,question_1743,15
1698,question_1744,7
1699,question_1745,9
1700,question_1746,9
1701,question_1747,8.0
1702,question_1748,24
1703,question_1749,42
1704,question_1750,2.0
1705,question_1751,5
1706,question_1752,6
1707,question_1753,16
1708,question_1754,20
1709,question_1755,3
1710,question_1756,4
1711,question_1757,27
1712,question_1758,10
1713,question_1759,17
1714,question_1760,4.0
1715,question_1761,17
1716,question_1762,27
1717,question_1763,4
1718,question_1764,6
1719,question_1765,6
1720,question_1766,20
1721,question_1767,2
1722,question_1768,11
1723,question_1769,10
1724,question_1770,12
1725,question_1771,8.0
1726,question_1772,40
1727,question_1773,6.0
1728,question_1774,21
1729,question_1775,9.0
1730,question_1776,4
1731,question_1777,7
1732,question_1778,4
1733,question_1779,30
1734,question_1780,16
1735,question_1781,7
1736,question_1782,5.0
1737,question_1783,2
1738,question_1784,13
1739,question_1785,30
1740,question_1786,3.0
1741,question_1787,5
1742,question_1788,5
1743,question_1789,2
1744,question_1790,9.0
1745,question_1791,5
1746,question_1792,9
1747,question_1793,10
1748,question_1794,21
1749,question_1795,11
1750,question_1796,48
1751,question_1797,9.0
1752,question_1798,40
1753,question_1799,30
1754,question_1800,64
1755,question_1801,7
1756,question_1802,6
1757,question_1803,7
1758,question_1804,72
1759,question_1805,6
1760,question_1806,27
1761,question_1807,12
1762,question_1808,4
1763,question_1809,12
1764,question_1810,10
1765,question_1811,17
1766,question_1812,54
1767,question_1813,12
1768,question_1814,7
1769,question_1815,7
1770,question_1816,5.0
1771,question_1817,11
1772,question_1818,36
1773,question_1819,2
1774,question_1820,9
1775,question_1821,5.0
1776,question_1822,13
1777,question_1823,8
1778,question_1824,24
1779,question_1825,7
1780,question_1826,6
1781,question_1827,5
1782,question_1828,8.0
1783,question_1829,6
1784,question_1830,8
1785,question_1831,10
1786,question_1832,45
1787,question_1833,9
1788,question_1834,2.0
1789,question_1835,42
1790,question_1836,7
1791,question_1837,5
1792,question_1838,19
1793,question_1839,7
1794,question_1840,11
1795,question_1841,7
1796,question_1842,2
1797,question_1843,9
1798,question_1844,8
1799,question_1845,10
1800,question_1846,11
1801,question_1847,4
1802,question_1848,9
1803,question_1849,6
1804,question_1850,11
1805,question_1851,15
1806,question_1852,12
1807,question_1853,8
1808,question_1854,9
1809,question_1855,12
1810,question_1856,14
1811,question_1857,11
1812,question_1858,19
1813,question_1859,11
1814,question_1860,7
1815,question_1861,12
1816,question_1862,5
1817,question_1863,19
1818,question_1864,4
1819,question_1865,16
1820,question_1866,6
1821,question_1867,6
1822,question_1868,8
1823,question_1869,11
1824,question_1870,19
1825,question_1871,9
1826,question_1872,7
1827,question_1873,12
1828,question_1874,5
1829,question_1875,19
1830,question_1876,9
1831,question_1877,3
1832,question_1878,7
1833,question_1879,5
1834,question_1880,7
1835,question_1881,10
1836,question_1882,10
1837,question_1883,7
1838,question_1884,11
1839,question_1885,12
1840,question_1886,11
1841,question_1887,7
1842,question_1888,10
1843,question_1889,5
1844,question_1890,2
1845,question_1891,6
1846,question_1892,37
1847,question_1893,14
1848,question_1894,25
1849,question_1895,33
1850,question_1896,8
1851,question_1897,25
1852,question_1898,88
1853,question_1899,4
1854,question_1900,25
1855,question_1901,3
1856,question_1902,21
1857,question_1903,98
1858,question_1904,7
1859,question_1905,2
1860,question_1906,88
1861,question_1907,90
1862,question_1908,34
1863,question_1909,43
1864,question_1910,4
1865,question_1911,93
1866,question_1912,32
1867,question_1913,10
1868,question_1914,13
1869,question_1915,2
1870,question_1916,32
1871,question_1917,22
1872,question_1918,17
1873,question_1919,6
1874,question_1920,3
1875,question_1921,7
1876,question_1922,16
1877,question_1923,39
1878,question_1924,61
1879,question_1925,97
1880,question_1926,16
1881,question_1927,13
1882,question_1928,83
1883,question_1929,99
1884,question_1930,2
1885,question_1931,7
1886,question_1932,17
1887,question_1933,43
1888,question_1934,3
1889,question_1935,7
1890,question_1936,5
1891,question_1937,94
1892,question_1938,11
1893,question_1939,2
1894,question_1940,59
1895,question_1941,26
1896,question_1942,100
1897,question_1943,66
1898,question_1944,16
1899,question_1945,14
1900,question_1946,19
1901,question_1947,13
1902,question_1948,15
1903,question_1949,18
1904,question_1950,12
1905,question_1951,19
1906,question_1952,18
1907,question_1953,15
1908,question_1954,7
1909,question_1955,17
1910,question_1956,16
1911,question_1957,10
1912,question_1958,20
1913,question_1959,19
1914,question_1960,15
1915,question_1961,8
1916,question_1962,19
1917,question_1963,17
1918,question_1964,14
1919,question_1965,20
1920,question_1966,13
1921,question_1967,20
1922,question_1968,18
1923,question_1969,19
1924,question_1970,14
1925,question_1971,9
1926,question_1972,11
1927,question_1973,14
1928,question_1974,13
1929,question_1975,11
1930,question_1976,11
1931,question_1977,17
1932,question_1978,17
1933,question_1980,71.0
1934,question_1981,55.0
1935,question_1982,5.666666666666667
1936,question_1983,14.166666666666666
1937,question_1984,100.14285714285714
1938,question_1985,20.8
1939,question_1986,7.0
1940,question_1987,97.0
1941,question_1988,5.5
1942,question_1989,53.25
1943,question_1990,79.2
1944,question_1991,67.875
1945,question_1992,39
1946,question_1993,8
1947,question_1994,2
1948,question_1995,66
1949,question_1996,22
1950,question_1997,68
1951,question_1998,16
1952,question_1999,15
1953,question_2000,14
1954,question_2001,1
1955,question_2002,11
1956,question_2003,4
1957,question_2004,24
1958,question_2005,51
1959,question_2006,22
1960,question_2007,39
1961,question_2008,2
1962,question_2009,32
1963,question_2010,34
1964,question_2011,35
1965,question_2012,4
1966,question_2013,2
1967,question_2014,12
1968,question_2015,2
1969,question_2016,8
1970,question_2017,7
1971,question_2018,198
1972,question_2019,9
1973,question_2020,1
1974,question_2021,3
1975,question_2022,2
1976,question_2023,102
1977,question_2024,3
1978,question_2025,36
1979,question_2026,9*b/4
1980,question_2027,300
1981,question_2028,30
1982,question_2029,33
1983,question_2030,42
1984,question_2031,-11/6
1985,question_2032,13
1986,question_2033,21
1987,question_2034,1
1988,question_2035,27
1989,question_2037,2
1990,question_2038,11
1991,question_2039,24
1992,question_2040,72
1993,question_2041,2
1994,question_2042,80
1995,question_2043,9
1996,question_2044,18
1997,question_2045,7
1998,question_2046,6
1999,question_0,9
2000,question_1,15
2001,question_2,16
2002,question_3,6
2003,question_4,14
2004,question_5,11
2005,question_6,8
2006,question_7,4
2007,question_8,18
2008,question_9,11
2009,question_10,24
2010,question_11,19
2011,question_12,45
2012,question_13,0
2013,question_14,2
2014,question_15,8
2015,question_16,7
2016,question_17,3
2017,question_18,7
2018,question_19,12
2019,question_20,6
2020,question_21,5
2021,question_22,4
2022,question_23,3
2023,question_24,1
2024,question_25,2
2025,question_26,5
2026,question_27,1
2027,question_28,3
2028,question_29,Jacob has more money.
2029,question_30,13
2030,question_31,0.44999999999999996
2031,question_32,55
2032,question_33,38
2033,question_34,18
2034,question_35,12
2035,question_36,5
2036,question_37,15
2037,question_38,12
2038,question_39,6
2039,question_40,7
2040,question_41,12
2041,question_42,6
2042,question_43,4
2043,question_44,6
2044,question_45,10
2045,question_46,16
2046,question_47,14
2047,question_48,15
2048,question_49,18
2049,question_50,11
2050,question_51,7
2051,question_52,18
2052,question_53,7
2053,question_54,7
2054,question_55,7
2055,question_56,5
2056,question_57,28
2057,question_58,22
2058,question_59,38
2059,question_60,929
2060,question_61,62
2061,question_62,46
2062,question_63,113
2063,question_64,616
2064,question_65,803
2065,question_66,700
2066,question_67,20
2067,question_68,35
2068,question_69,33
2069,question_70,40
2070,question_71,43
2071,question_72,32
2072,question_73,60
2073,question_74,77
2074,question_75,False
2075,question_76,19
2076,question_77,20
2077,question_78,37
2078,question_79,21
2079,question_80,17
2080,question_81,37
2081,question_82,24
2082,question_83,36
2083,question_84,22
2084,question_85,31
2085,question_86,69
2086,question_87,6
2087,question_88,12
2088,question_89,79
2089,question_90,31
2090,question_91,66
2091,question_92,14
2092,question_93,9
2093,question_94,6
2094,question_95,23
2095,question_96,17
2096,question_97,18
2097,question_98,32
2098,question_99,22
2099,question_100,42
2100,question_101,50
2101,question_102,13
2102,question_103,7
2103,question_104,63
2104,question_105,278
2105,question_106,95
2106,question_107,26
2107,question_108,26
2108,question_109,44
2109,question_110,36
2110,question_111,57
2111,question_112,55
2112,question_113,244
2113,question_114,152
2114,question_115,17
2115,question_116,53
2116,question_117,23
2117,question_118,19
2118,question_119,127
2119,question_120,43
2120,question_121,275
2121,question_122,61
2122,question_123,49
2123,question_124,38
2124,question_125,111
2125,question_126,28
2126,question_127,51
2127,question_128,77
2128,question_129,32
2129,question_130,53
2130,question_131,29
2131,question_132,105
2132,question_133,62
2133,question_134,61
2134,question_135,22
2135,question_136,23
2136,question_137,30
2137,question_138,21
2138,question_139,41
2139,question_140,9
2140,question_141,6
2141,question_142,9
2142,question_143,48
2143,question_144,48
2144,question_145,198
2145,question_146,61
2146,question_147,23
2147,question_148,46
2148,question_149,135
2149,question_150,300
2150,question_151,91
2151,question_152,10.0
2152,question_153,13
