,question,solvability,explanation
312,"Wonder Woman's lasso is 200 feet long. She wraps it around an Amazon truck that is 15 feet tall, giving her a loop of slack. How far from the Amazon truck can Wonder Woman lasso?",0.0,"The problem doesn`t include enough information to determine the distance from the truck Wonder Woman can lasso. It mentions the length of the lasso and the height of the truck, but does not provide the truck's width, or account for the horizontal distance around the truck, which is necessary to solve for the remaining length of the lasso that can extend from the truck."
313,Ash Ketchum has 1000 Pokéballs. He buys 500 more Pokéballs. 100 Pokéballs break. How many Pokéballs does he have?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Ash originally has 1000 Pokéballs, buys 500 more making a total of 1500, and then if 100 break, he would be left with 1400 Pokéballs. There's no ambiguity or missing information, and it doesn't lead to a negative quantity."
314,"50000 players are playing Fortnite. 10000 players are playing with a controller, 15000 players are playing with a keyboard and mouse, and the rest are playing on a mobile device. How many players are playing on a mobile device?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. Subtracting the number of controller and keyboard players from the total gives the number of mobile players.
315,"A car dealership has 100 cars. 20 of the cars are for 2 people, 60 of the cars are for 4 people, and the rest are for 6 people. How many people can the dealership accommodate?",1.0,"This question is solvable and contains all the necessary information to solve the problem. The total number of cars is 100. Given the number of cars for 2 people (20) and for 4 people (60), we can determine the remaining cars are for 6 people by subtracting the given amounts from the total (100 - 20 - 60 = 20 cars for 6 people). We can then calculate the total accommodation by multiplying the number of cars by their seating capacity and summing these numbers together."
316,"There are 50000 candy canes in a pile. 20000 are red, 15000 are green, and the rest are white. How many candy canes are white?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total number of candy canes and the number of red and green candy canes are given, allowing us to find out the number of white candy canes by subtraction."
317,I was 30 miles away from home. I then drove 40 miles and I finally arrived back home. How many miles did I drive in total?,0.0,"The question provides contradictory information. If a person is 30 miles away from home and drives 40 miles, they technically should be 10 miles past their home, not at their home. Therefore, the problem does not contain enough consistent information to solve for the total miles driven with the intended premise of arriving back home."
318,Spiderman is on a building 100 feet high. He jumps 20 feet down to the next building. How many jumps does he have to make to reach the ground?,0.0,"The question is not solvable as it is stated because it does not provide enough information about whether Spiderman continues to jump to other buildings at the same height difference, or directly to the ground from the second building, which could affect the total number of jumps required to reach the ground."
319,How many pounces can Bit pounce if he is able to pounce 5 times in 2 minutes?,0.0,"The question does not specify a time frame for which to calculate the total number of pounces. Without a defined period, it is impossible to determine the exact number of pounces Bit can perform."
320,"For Thor, Saturday afternoons often involve riding his bike. His bike travels 30 miles when he rides it once. He rides his bike 5 times a day on average. He rides his bike two times at night. How far did he go in the afternoon?",1.0,"This question implies that out of the 5 average rides, 2 happen at night. This leaves 3 afternoon rides, all at 30 miles each, resulting in a clear answer of 90 miles ridden in the afternoons."
321,"LeBron James has scored 20 points on Monday, 15 points on Tuesday and 18 points on Wednesday. How many points has he scored in total?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By adding the points scored on each day, students can easily determine the total number of points scored."
322,"A basketball player shoots 50% of his shots from the 3-point line. He makes 40% of those shots. If he takes 10 shots from the 3-point line, how many of those shots does he make?",1.0,"The question provides clear information to solve the problem. It defines the total number of 3-point shots taken and the percentage made, which is all the information needed to calculate the number of successful shots."
323,Naruto eats 4 bananas a day. How many bananas does he eat in a month if there are 30 days in a month?,1.0,"This question has one correct answer and contains all the necessary information to solve the problem. By multiplying the number of bananas Naruto eats per day by the number of days in the month, one can determine the total number of bananas he eats in a month."
324,Wakanda has 1000 war rhinos. 100 of them are black. 200 are white. 300 are brown. 400 are grey. How many are not one of these colors?,1.0,"This question arrives at one correct answer and contains all the necessary information to solve it. The sum of the colored rhinos gives a total, and by subtracting this from the overall total, we can determine how many are not one of these colors."
325,"Batman has 100 bat-coins and he is going to bat-bank to exchange them with dollars. Each bat-coin is worth $1 so he will get $100. But, bat-bank charges a fee of $10 for the exchange. How much money will Batman get after the fee?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Batman starts with the equivalent of $100, and after deducting the $10 fee, he would receive $90."
326,How many punches can Captain America throw in 10 seconds?,0.0,This question does not provide enough information to arrive at a unique solution; it does not specify the rate at which Captain America can throw punches.
327,"Train A is traveling at a constant speed of 60 miles per hour. Train B is traveling at a constant speed of 40 miles per hour. If they are moving in the same direction, how much faster is Train A than Train B?",1.0,This question arrives at one correct answer by simple subtraction of the speeds of Train A and Train B. It contains all the information necessary to do so.
328,Serena Williams has 20 Grand Slam singles titles. She won 10 of them on clay courts and 5 of them on hard courts. How many of her Grand Slam singles titles were won on grass courts?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting the sum of titles won on clay and hard courts from the total titles won, we can find the number won on grass courts."
329,"Wonder Woman is writing a word problem that explains how she can defeat Thanos. A few facts she knows are that: (1) Thanos starts with 1,000,000 Lambda beads. (2) He uses the Lambda beads to create the Infinity Stones. (3) She uses the Infinity Stones to destroy the Infinity Stones. (4) She destroys Thanos's Soul Stone, which takes away his powers from him. (5) The next day, Thanos has 900,000 Lambda beads. Write a script using these facts to determine if Wonder Woman destroyed or created Lambda beads between the first and second day.",0.0,"This question is not solvable as presented because it does not provide enough specific numerical information about the relationship between the number of Lambda beads used to create the Infinity Stones, the effect of their destruction on the bead count, or the process Wonder Woman uses to destroy the Infinity Stones. As such, students cannot determine whether Lambda beads were destroyed or created based solely on the information provided."
330,Lebron James is a basketball player. He is 6 feet and 9 inches tall. He is 3 inches taller than Kevin Durant. How tall is Kevin Durant?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By subtracting 3 inches from LeBron James' height, the height of Kevin Durant can be calculated."
331,60 cheer leaders from a football squad gathered to celebrate the end of the football season. 30 were seniors. 50 were females. 12 were seniors who were not females. 40 were females who were seniors. How many cheer leaders who were seniors who were not females were also females?,0.0,"The question contains contradictory information regarding the categorization of the cheer leaders, making it unsolvable."
332,"Pokémon can learn different kinds of moves. A Fire-type Pokémon can learn up to 8 Fire-type moves. How many moves can a Pokémon that is Fire, Ice, and Flying learn at the same time?",0.0,"This question is unclear because it only provides information about the number of Fire-type moves a Pokémon can learn. It does not provide information about the number of Ice-type or Flying-type moves a Pokémon can learn, or if there are any limitations on learning moves from multiple types simultaneously. Without this information, it's not possible to determine the total number of moves the Pokémon can learn."
333,"The Golden State Warriors are playing the Boston Celtics. 

The Warriors scored 40 points in the first quarter, 20 points in the second quarter, 15 points in the third quarter, and 10 points in the fourth quarter. 

How many points did the Warriors score in total?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By summing up the points scored in each quarter, the student can arrive at the total number of points scored by the Warriors."
334,"Harry Potter has 1000 galleons. 200 of them are in Gringotts, 300 are in his vault, and the rest are in his pockets. How many galleons does Harry Potter have in his pockets?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. It states the total amount of galleons and also specifies the amounts in two locations, which allows us to calculate the remaining galleons in Harry's pockets by subtraction."
335,Steph Curry can make 5 three-pointers in 5 minutes. How many three-pointers can he make in 60 minutes?,1.0,This question arrives at one correct answer and contains all the information needed to solve it using simple multiplication based on the provided rate.
336,"In 2015, the people of the fictional country of Wakanda are living a peaceful and prosperous life. T'Challa, the Black Panther, reigns as their king. Wakanda is divided into 5 provinces. Each province is divided into 3 tribes. Each tribe is divided into 15 clans. How many clans are in Wakanda?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The total number of clans can be found by multiplying the number of provinces by the number of tribes in each province and then by the number of clans in each tribe.
337,"The Black Panther movie made $1.3 billion dollars. 20% of the revenue came from the United States, and 10% came from China. How much revenue came from the rest of the world?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By using the percentages provided, we can calculate the revenue from the US and China and then subtract from the total to get the revenue from the rest of the world."
338,A unicorn is born every 100 years. There are currently 1000 unicorns. How many years ago was the first unicorn born?,0.0,"The question assumes that there was a starting point with a single first unicorn and does not account for the possibility of multiple unicorns being born at different times, nor does it provide information on the natural lifespan or mortality rate of unicorns, so it's impossible to determine when the first unicorn was born with the information given."
339,"Captain Marvel has 15 lassos. 5 of them are 15 feet long, 3 of them are 20 feet long, and the rest are 25 feet long. How many feet of lasso does Captain Marvel have?",1.0,"The question provides sufficient details to solve the problem. It specifies the number of lassos of each length and accounts for all of them, allowing a student to add the lengths of all the lassos together for a single correct answer."
340,Naruto is a ninja. He can perform 1000 jutsus per day. He needs 2000 jutsus to save the world. How many days does he need to save the world?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By dividing the total number of jutsus needed (2000) by the number of jutsus Naruto can perform per day (1000), we see that he would need 2 days to perform enough jutsus to save the world."
341,"A 2015 Ford Escape has a fuel tank capacity of 17.5 gallons. On Monday, the Escape was topped off. If the Escape gets 25 miles to a gallon on average, how many miles can the owner travel that week before needing to stop to fill the tank?",1.0,This question arrives at one correct answer and contains all the information needed to solve it: the capacity of the fuel tank and the average miles per gallon. Multiplying these two values gives the total miles that can be traveled.
342,"If 800 people come to a football game, 200 people are in the stands, 300 people are in the aisle, and the rest are in the parking lot. How many people are in the parking lot?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. You subtract the sum of the people in the stands and the aisle from the total number of people to determine how many are in the parking lot.
343,"There were 5 Rottweilers. 10 Labrador Retrievers showed up. 30 Pugs showed up. 40 Greyhounds showed up. How many Rottweilers, Labradors, Pugs, and Greyhounds are at the dog park?",1.0,This question arrives at one correct answer and contains all the information needed to solve it by adding the number of dogs from each breed together.
344,"Batman has 3 batarangs. 
Each batarang is worth 1000 points. 
If Batman has 2 batarangs and 1 batarang is worth 1000 points, how many points does he have?",0.0,"The information provided in the question is contradictory. Initially, it states that Batman has 3 batarangs, and then it also posits that he has 2 batarangs. Additionally, it is unclear whether each batarang is worth 1000 points, or if only one of them is. Therefore, the information needed to solve the problem is inconsistent and the problem is not solvable as given."
345,"Serena Williams has won 23 Grand Slam singles titles. She won 13 of them on hard courts, 7 on clay courts, and 3 on grass courts. How many Grand Slam singles titles did she win on hard courts and clay courts?",1.0,"This question is solvable because it contains all the information necessary to answer the question asked. By adding the number of titles won on hard courts to the number of titles won on clay courts, we can get a single correct answer."
346,"A high school girl lacrosse team won 8 out of every 20 games. If the high school girl lacrosse team played 3 games, how many times were they expected to win?",0.0,"The question asks for an expected number of wins, but the win ratio provided (8 out of 20) cannot be applied directly to a total of 3 games, because the ratio does not scale down to a smaller integer number of games. There is no way to win a fraction of a game, and the information to calculate a proportionate or expected value for a non-whole number of games is not provided."
347,Patrick Mahomes threw 3 touchdown passes. He threw each touchdown pass for 20 yards. How far did he throw the ball in total?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the number of touchdown passes (3) by the yards thrown for each pass (20), the total yardage can be calculated."
348,Wonder Woman has 4 cuffs that are 15 inches long and 2 cuffs that are 18 inches long. What is the average length of the 6 cuffs?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By adding the lengths of all the cuffs and then dividing by the number of cuffs, one can find the average length."
349,Superman has 1000 enemies. 700 of them are Kryptonians. 200 of them are humans. 100 of them are aliens. How many of his enemies are Kryptonians?,1.0,"This question contains all the necessary information and arrives at one correct answer. It asks specifically for the number of Kryptonian enemies, which is plainly stated in the problem as 700."
350,"Iron Man's suit is powered by a nuclear reactor.
At the start of the game, the reactor has 100% power. 
When he uses his jet boots, the reactor power goes down 20%. 
When he uses his repulsor beam, the reactor power goes down 10%. 
How much power is left in the reactor after he uses the jet boots and the repulsor beam?",1.0,"This question arrives at one correct answer and contains all necessary information needed to solve it. It specifies the initial power level, the reductions for each action, and asks for the resulting power level after these actions."
351,A car travels 36 miles per hour for 4 hours. How many miles did the car travel?,1.0,"This question has all the necessary information needed to solve it. It's a straightforward multiplication problem (36 miles/hour * 4 hours), which yields one correct answer without the possibility of a negative amount."
352,"Spiderman has $500.00. He spends $150.00 on a new couch, $100.00 on a new TV, and $50.00 on a new sound system. How much money does he have left?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Spiderman's initial amount of money is given, as well as the costs of each item he purchases. Subtracting the total cost of the items from the initial amount yields the money left over."
353,Wonder Woman can lasso 20 bad guys in 10 minutes. 200 bad guys are running amok in a mall. How many 10-minute rounds will it take for Wonder Woman to lasso all 200 bad guys? - Wonder Woman can lasso 20 bad guys in 10 minutes.,1.0,"This question is solvable and has one correct answer. It contains all the necessary information. We know Wonder Woman lassos 20 bad guys in 10 minutes and there are 200 bad guys total. To find the number of 10-minute rounds needed, we can divide the total number of bad guys by the number lassoed in each 10-minute round."
354,There are 3 dogs. Each dog has 4 legs. How many legs do the dogs have in total?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the number of dogs by the number of legs each dog has, you can determine the total number of dog legs."
355,"2 kittens were born in the spring, and 3 more kittens were born in the summer. 2 of the kittens are male, and 1 of them is orange. How many kittens are female? How many kittens are neither male or orange?",0.0,"The information provided does not allow us to determine the answers to the questions posed. Knowing that 2 kittens are male does not provide the gender of the remaining kittens. Also, the color of only one kitten is provided, and there is no information about the colors of the other kittens. Therefore, it is impossible to determine how many kittens are female or how many are neither male nor orange."
356,"A Tyrannosaurus Rex weighs 11,000 pounds. A Triceratops weighs 12,000 pounds. A Stegosaurus weighs 4,000 pounds. How many more pounds does the Triceratops weigh than the Tyrannosaurus Rex and the Stegosaurus combined?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. We can add the weight of the Tyrannosaurus Rex and the Stegosaurus and subtract that sum from the weight of the Triceratops to find the solution.
357,Car 1 is traveling at 60MPH. Car 2 is traveling at 40MPH. How much faster is Car 1 than Car 2?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The difference in speed between the two cars is simply the difference between their speeds, which is a straightforward subtraction problem."
358,Captain America can run 10 miles in 10 minutes. How many miles can he run in 1 hour?,1.0,This question arrives at one correct answer by calculating the miles per minute rate and then scaling it to an hour (which is 60 minutes). All necessary information is provided.
359,Captain Marvel has 2000 photon blasts. She uses 1/3 of her photon blasts to defeat Ronan. She then uses 200 photon blasts to defeat Yon-Rogg. How many photon blasts does she have left?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. It avoids negative answers since the number of photon blasts left will always be a positive number when following the actions described.
360,"Cheer leaders practice their routines. When they practice, they break up into groups of 4. 24 cheer leaders practice.

How many groups of 4 can there be at the practice, and how many cheer leaders are left over?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. There are 24 cheerleaders total, and since they are practicing in groups of 4, we simply divide 24 by 4 to find out how many groups there can be and to see if there are any left over. 24 divided by 4 is 6, which means there can be 6 groups of 4 with no cheerleaders left over."
361,There are 32 flavors of ice cream at the local shop. They have 26 toppings to add to the ice cream. How many different combinations of ice cream and toppings are there?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Each flavor can be paired with each topping, giving a simple multiplication question to find the total number of combinations (32 flavors * 26 toppings)."
362,"Taylor Swift has 11 Grammys, 29 AMAs, 12 CMAs, 8 ACMs and 35 BMAs. How many awards has she won in total?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By simply adding the numbers given, students can determine how many awards Taylor Swift has won in total."
363,Super Mario can jump 50 times per second. How many jumps can he make in 10 minutes?,1.0,"This question arrives at one correct answer. It contains all the information needed to solve it: the number of jumps per second and the total duration in minutes, which can be converted to seconds."
364,"A group of cheerleaders is trying to raise money for a trip. 

There are 40 cheerleaders in the group. 

Each cheerleader made 525 posters. 

How many posters did all of the cheerleaders make?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By multiplying 40 cheerleaders by 525 posters each, the total number of posters can be determined."
365,"There are 5 unicorns: Alice, Bob, Carol, David, and Emily. Each of them has 3 cupcakes. How many cupcakes do the unicorns have in total?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the number of unicorns by the number of cupcakes each unicorn has, we can find the total number of cupcakes."
366,Captain America has 2000 shields. He used 250 shields to catch a criminal. He then used 1000 shields to make a shield parachute. How many shields does he have left?,1.0,This question arrives at one correct answer and contains all the information needed to solve it
367,A stegosaurus has 17 plates on its back. 10 more plates than a triceratops. A brontosaurus has 10 plates on its back. How many more plates does a stegosaurus have than a brontosaurus?,1.0,"This question is solvable because it contains all the necessary information to solve the problem and arrives at one correct answer without the need for negative numbers. The question states clearly how many plates a stegosaurus and a brontosaurus have, allowing a simple subtraction to determine the difference."
368,"The football team has 11 players on the field. The offense has 5 players and the defense has 6 players. Special teams has 1 player. How many players are on the field that are not on offense, defense, or special teams?",0.0,"This question is not solvable as it presents conflicting information. A football team normally has 11 players on the field at one time, either on offense or defense, not both simultaneously. The addition of special teams players would exceed the 11 players allowed on the field according to the question, which is contradictory."
369,Let's say you have 110 friends. Let's say you have 50 enemies. Every friend has a different enemy. How many friends do you have?,1.0,"This question seems to be a test of reading comprehension rather than mathematics. Regardless of the number of enemies or whether each friend has a different enemy, the number of friends remains unchanged. The question plainly states that you have 110 friends, which is the answer sought. The rest of the information is extraneous to the solution."
370,"Michaelangelo has 4000 pizza toppings and half are mushrooms. After using up 800 mushroom toppings, how many mushroom pizza toppings does he have left?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. We can calculate half of 4000 to find the number of mushroom toppings and then subtract 800 to find out how many are left.
371,Batman is driving his batmobile at a speed of 100 mph. He is chasing Joker who is 1001 miles away. How many hours will it take Batman to catch Joker?,0.0,"This question is not solvable as stated because it implies constant speeds for Batman and Joker but does not provide information about Joker's speed. Without knowing whether Joker is stationary, accelerating, or at constant speed and what that speed is, it is not possible to calculate the time it will take for Batman to catch Joker."
372,"The pizza shop that you work at is having a special. For only $100, you will get 2 large pies (one pepperoni, another cheese). How much money will you have leftover if you buy 20?",0.0,"The question does not provide enough information to determine the amount of money you start with, therefore it's impossible to calculate how much money will be leftover after the purchase."
373,You run a doggie daycare business. You have 40 dogs in your daycare. You give each dog 1/2 cup of food per day. How many cups of food will you serve?,1.0,This question arrives at one correct answer and contains all the information needed to solve it. Multiply the number of dogs (40) by the amount of food per dog (1/2 cup) to get the total cups of food served.
374,There are 50 cats in the kitchen. 40 of the cats eat cat food. 30 of the cats drink water. 10 of the cats eat cat food and drink water.  How many cats eat cat food but do not drink water?,1.0,"This question is a straightforward example of a set problem. It contains all the information needed to solve it. To find out how many cats eat cat food but do not drink water, we need to subtract the number of cats that do both from the total number of cats that eat cat food: 40 cats eat cat food - 10 cats eat cat food and drink water = 30 cats eat cat food but do not drink water."
375,Wonder Woman can fly 1 billion miles per day. How many days does it take to travel 7.5 billion miles?,1.0,"This question arrives at one correct answer and contains all the necessary information. By dividing the total distance (7.5 billion miles) by the distance Wonder Woman can cover per day (1 billion miles per day), we can find the number of days it takes to travel the total distance."
376,"T'Challa, the Black Panther, is the king of Wakanda. There are 40 million people living in Wakanda. There are 10 million in the capital and 30 million in the rest of Wakanda. What percentage of Wakandans live in Wakanda's capital city?
What percentage of Wakandans live in the rest of Wakanda?",1.0,"The question is solvable because it provides the total population of Wakanda and how that population is split between the capital city and the rest of Wakanda. These figures can be used to calculate the percentages requested, and the question is clearly stated with no ambiguity."
377,A steam train has 250 cars. 16 more cars were added on to it. 7 cars were lost. How many cars does the train have now?,1.0,"This question arrives at one correct answer - starting with 250 cars, adding 16 cars, and then subtracting 7 cars results in a simple arithmetic problem. It contains all the information needed to solve the problem and does not result in a negative number in context where it wouldn't make sense."
378,"In Minecraft, a diamond is worth 64 emeralds. But you can also trade 2 emeralds for a blaze rod. How many diamonds is a blaze rod worth?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By finding the emerald equivalence of a blaze rod and then dividing by the emerald value of a diamond, a student can find the diamond value of a blaze rod."
379,"Serena Williams won 23 grand slam singles titles. 

She won 7 Australian Opens, 3 French Opens, 7 Wimbledons, and 6 US Opens. 

How many grand slam singles titles did she win in the US Open?",1.0,This question arrives at one correct answer and contains all the necessary information needed to solve it. The number of US Open titles won by Serena Williams is explicitly stated in the question.
380,"A train traveling at 60 mph for 3 hours will travel 60*3=<<60*3=180>>180 miles. If the train is traveling at 30 mph for 5 hours, how far will it travel?",1.0,"This question has one correct answer and provides the necessary information to solve it. Using the formula distance = speed * time, the train traveling at 30 mph for 5 hours will travel 30*5=150 miles."
381,"Steph Curry made 150 3-pointers in the 2018-2019 NBA season. Some of the 3-pointers were in the first half, some of them were in the second half, and the rest of them were during the overtime. If 60 of the 3-pointers were in the first half, 20 of them were in the second half, and 20 of them were in the overtime, how many 3-pointers did Steph Curry make during the overtime?",1.0,"Although the question is awkwardly phrased by providing the answer within itself, it is technically solvable since it asks for a piece of information that is given in the question. The student could simply report back the information provided. However, the formulation should be corrected for educational purposes."
382,"Hello Kitty has 200 friends. Each friend has 200 dollars. The total amount of money that her friends have is 200*200 = 40000 dollars. If she wants to borrow 3 dollars per day from her friends, how many days will it take for her to borrow all the money?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total amount of money is clearly defined, and the amount Hello Kitty wants to borrow daily is also specified. Dividing the total amount of money by the daily borrowing rate will yield the number of days needed."
383,"Captain America has three bags, the red bag, the blue bag, and the white bag. There are 4 red items, 5 blue items, and 6 white items in Captain America’s cabin. 

- Captain America packs 3 red items into the red bag.
- Captain America packs 1 red item and 2 blue items into the blue bag.
- Captain America packs 4 blue items and 2 white items into the white bag.

How many red, blue, and white items are in the bags?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Captain America has a certain number of items and distributes them into bags. The question asks for the number of items in the bags, which can be directly calculated from the information provided."
384,The Brazilian soccer team scored 10 goals. The Argentinian soccer team scored 5 fewer goals than the Brazilian team. The Argentinian team scored 1/4 as many goals as the Brazilian team. How many goals did the Argentinian team score?,0.0,"The question presents contradictory information: the Argentinian team cannot both score 5 fewer goals than the Brazilian team and exactly 1/4 the number of goals. Only one of these can be correct, thus the problem is unsolvable without clarification."
385,"Black Panther is the king of Wakanda. He has 20 Dora Milaje warriors. 5 of them are in the field, 7 of them are guarding the palace, and 3 of them are in the lab. How many Dora Milaje warriors are in the palace?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The number of Dora Milaje warriors in the palace is explicitly given as 7.
386,"Batman caught a baddie with his trademark punch. Each punch knocks out 7 baddies. If Batman has thrown 60 punches, how many baddies has he knocked out?",1.0,This question arrives at one correct answer and contains all the necessary information to solve it. The total number of baddies knocked out can be found by multiplying the number of punches thrown by the number of baddies each punch knocks out.
387,"Wonder Woman has 4 lassos. Each lasso has 10 meters of rope. 

How many meters of rope does Wonder Woman have in total?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The total meters of rope can be calculated by multiplying the number of lassos by the length of each rope.
388,"A lacrosse team has 20 players. Each player has a stick with a maximum of 4 heads. If each head has a maximum of 3 strings, how many total strings are on all the sticks?",1.0,"This question can be solved with the information provided. Each player can have up to 4 heads on their stick, and each head can have up to 3 strings. The total number of strings would be the number of players multiplied by the maximum number of heads per player, then multiplied by the maximum number of strings per head."
389,"The Empire State Building is 1,250 feet tall. The Eiffel Tower is 984 feet tall. How many feet taller is the Empire State Building?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. The height difference can be found by subtracting the height of the Eiffel Tower from the height of the Empire State Building.
390,"The 5 Power Rangers, Red, Blue, Black, Yellow, and Pink, are eating pizza. Red ate 31 slices, Blue ate 28 slices, Black ate 23 slices, Yellow ate 21 slices, and Pink ate 15 slices. How many slices of pizza did they eat in total?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. It provides the number of slices each Power Ranger ate, and there are no negative values involved when adding them together."
391,"How many goals can the field hockey team expect after 3 goals in the first 10 minutes, 6 goals in the second 10 minutes, and 4 goals in the third 10 minutes?",1.0,This question provides all the necessary information and the sum of goals can be easily calculated. There's no ambiguity or missing information that prevents one from arriving at a single correct answer.
392,There are 2500 people at an airport. 20% of the people are traveling to San Francisco. 30% of the people are traveling to New York. 50% of the people are traveling to Chicago. How many people are traveling to New York?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. To find the number of people traveling to New York, simply calculate 30% of 2500."
393,A cat has 3 kittens. Each kitten has 4 paws. How many paws does the cat have?,0.0,"The question is asking about the paws of the cat, not the paws of the kittens. While the information about the kittens' paws is provided, the question does not include any information about the cat's paws, which is what is being asked. Therefore, the question is not solvable because it does not contain the necessary information to answer the specific question about the cat's paws."
394,"Captain America has a shield in the shape of a circle. The shield is 2 meters in diameter, and is 2 meters tall. If Captain America holds his shield like a cone, 2 meters above the ground, how many square meters of the shield will be touching the ground?",0.0,"The question contains a conceptual error. A shield that is circular and flat cannot be held 'like a cone' without altering its shape, which is not described in the problem. Additionally, the term '2 meters tall' does not apply to a flat circle and is irrelevant in this context. Moreover, if a circular object is held above the ground, none of its area would be touching the ground, unless the intention was to hold it at an angle or to use 'tall' to imply it's being transformed into a cone, but this lacks clarity and enough information to solve."
395,"In the 2020 season, Patrick Mahomes threw for 4740 yards. In the 2021 season, he threw for 4839 yards. In the 2022 season, he threw for 5250 yards. How many yards did he throw for in total in the 3 seasons?",1.0,This question is solvable because it contains all the necessary information and arrives at one correct answer by adding the yards thrown in each season.
396,Which of the four Pokémon has the highest CP?,0.0,"The question does not provide any CP (Combat Power) values for any of the Pokémon, or the names of the Pokémon to look up their CP, making it impossible to solve or determine which one has the highest CP."
397,"A Fortnite player has 3200 V-bucks. 
The player spends 500 V-bucks on a new skin. 
The player spends 800 V-bucks on a new glider. 
How many V-bucks does the player have left?",1.0,"The question provides all necessary information and arrives at one correct answer. It specifies the initial amount and the exact amounts spent, so we can calculate the remaining V-bucks."
398,A unicorn has 3000 manes. He uses 2000 manes to make a mane cocoon. He then uses 500 more manes to make a mane parachute. How many manes does he have left?,1.0,This question arrives at one correct answer and contains all the information needed to solve it.
399,"Rin is a shinobi. He can evade 40% of the attacks his enemies throw at him. If he was attacked 100 times, how many of the attacks were successful?",1.0,"This question arrives at one correct answer and contains all the necessary information to solve it. Rin evades 40% of the attacks, so 60% of the attacks are successful. The number of successful attacks can be calculated as 60% of 100, which is a straightforward calculation."
400,Mario has 120 coins. He uses 10 coins to buy a mushroom. He uses 10 coins to buy a fire flower. He uses 10 coins to buy a star. How many coins does he have left?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. Mario starts with 120 coins and the total cost of items he bought is 30 coins (10+10+10), which can be subtracted from the initial amount to get the number of coins left."
401,"In a field hockey match, Team A scored 5 goals. Team B also scored 5 goals. In the second half, Team B scored 3 more goals than Team A. What was the final score?",0.0,"The question does not specify how many goals Team A scored in the second half, hence we cannot determine the final score."
402,"There are 3 flavors of ice cream: Chocolate, Vanilla, and Strawberry. 
Each flavor has 3 sizes: Small, Medium, and Large. 
How many different types of ice cream are there in total?",1.0,"This question is a straightforward permutation problem that can be solved with the information given. For each of the 3 flavors, there are 3 different sizes. So the total number of different types of ice cream is the product of the number of flavors and the number of sizes, which is 3 flavors * 3 sizes = 9 different types of ice cream."
403,Iron Man is making a list of movies that he watched this year. He watches 1 movie every 4 days. He watched a movie today. How many movies did he watch this year?,0.0,"This question is missing a key piece of information: the number of days in the year, or the starting point in the year from which to count the number of movies watched. Without knowing the time frame, we cannot calculate the total number of movies watched."
404,"The cheerleaders performed an energetic cheer at their school's basketball game. 
The male cheerleaders performed in the back row. 
The girls performed in front of the male cheerleaders. 
How many total cheerleaders were at the game?",0.0,"This question does not provide numerical information about the number of male or female cheerleaders, therefore there is not enough information to solve the problem."
405,"There are 2000 ninjas in New York City. 25% of them are in the Foot Clan, 10% of them are in the Turtle Clan, and the rest are in the Hamato Clan. How many ninjas are in the Hamato Clan?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The percentages of ninjas in two clans are given, and since these percentages add up to less than 100%, the remaining percentage for the Hamato Clan can be easily calculated."
