,question_number,question,grade,answer,math_topic
407,question_407,Both of them were also asked to take note of the total number of chicken in the farm. Ben counted a total of 9 chicken coops and Daniel said that there are 60 chickens in one coop. How many chickens do they have in total?,3,540 (chickens),Multiplication
408,question_408,"Ben was also given 7 trays of eggs to examine. If each tray has 10 eggs, how many eggs did Ben examine in total?",3,70 (eggs),Multiplication
409,question_409,"After they vacation, they figured out that the farm was divided into 5 sections and each section has a land area of 60 acres. What is the total area of the farm?",3,300 (acres),Multiplication
410,question_410,"Jenny and her family just moved into a new city and today would be her first day on a new school. She wanted to make sure that she is well rested so she made sure that she had 8 hours of sleep. If an hour is composed of 60 minutes, how many minutes of sleep did she have?",3,480 (minutes),Multiplication
411,question_411,"She also ate a hearty breakfast so that she would have enough energy. She bought 5 pieces of her favorite bread. If each piece of bread costs 30 cents, how much did Jenny spend for her breakfast?",3,150 (cents),Multiplication
412,question_412,"To get to school, Jenny decided to ride the school's double decker bus. The bus has a total of 20 rows of seats and each row has a capacity of 4 kids. How many kids in total can ride the school bus?",3,80 (kids),Multiplication
413,question_413,"When she got to school, she saw that the school is composed of 9 buildings, each having 30 classrooms. How many classrooms does the school have?",3,270 (classrooms),Multiplication
414,question_414,She also tried to get to know the teachers in the school. She found out that there are 7 departments in the school and each department has 20 teachers. How many teachers are there in total?,3,140 (teachers),Multiplication
415,question_415,"Stanley, a car enthusiast, loves to drive across different places as a hobby. So for his vacation, he decided to go around his favorite places. His first destination is the famous Sky Falls, one of the tallest waterfalls in his country. It is said to be 20 times as tall as the tallest building in their city. If the building is 9 feet tall, how tall is Sky Falls?",3,180 (feet),Multiplication
416,question_416,"When he arrived there, he went on to climb to the top of the falls. It usually takes 30 minutes for someone to get to the top. Stanley took time to see the view so his climb took 7 times longer than the usual. How many minutes did it take Stanley to get to the top?",3,210 (minutes),Multiplication
417,question_417,"After going down the falls, he then went to Rock Mist Mountains. If the mountain is 50 times farther from the city than Sky Falls and Sky Falls is 8 miles from the city, how far is the Rocky Mist from the city?",3,400 (miles),Multiplication
418,question_418,"Before reaching the mountains, Stanley stopped over a car shop to buy new tires for the road. If he bought four tires each for $60.00, how much did he spend for tires in total?",3,240 (dollars),Multiplication
419,question_419,"It usually takes Stanley 10 hours to go around his two favorite places. If he took 10 times longer than the usual, how many hours did it take him to go around the places this time?",3,100 (hours),Multiplication
420,question_420,"It's Valentine's Day in the city and Mayor Harvey wants to celebrate by giving the institutions for women some flowers. His first beneficiary was the nursing home for old women. He bought 3 sets of flowers, 90 pieces each. How many flowers did he buy for the nursing home?",3,270 (flowers),Multiplication
421,question_421,"Next on his list is the city's Orphanage for Young Girls. He bought roses, lilies, sunflowers and daisies. If he bought 40 pieces of each flower, how many flowers did the orphanage receive?",3,160 (flowers),Multiplication
422,question_422,"Vice-mayor Alexander wanted to join in with the mayor's advocacy. He organized a party and invited the whole city to attend. If he hired 5 caterers having 50 employees each, how many people are working for the party?",3,250 (people),Multiplication
423,question_423,"Mayor Harvey wanted to add color to the party. He bought 7 flowers each representing the 7 colors of the rainbow. If he had 70 bouquets of flowers for each color, how many bouquets are there in all?",3,490 (bouquets),Multiplication
424,question_424,"After the day, they were able to make 6 institutions happy. If each institution has 80 people. How many people were made happy by the mayor and vice-mayor?",3,480 (people),Multiplication
425,question_425,"Dean went to the beach with his friends to enjoy the last weeks of summer. When they got to the beach, they rented a house for them to stay in for a couple of weeks. If there are seven of them including Dean, and each paid $70.00 for the rent, how much did they pay in total?",3,490 (dollars),Multiplication
426,question_426,"Dean knew that they are going to stay at the beach for a while, so he brought 30 sets of clothes for every week of their stay. If Dean is staying for 4 weeks there, how many sets of clothes did he bring?",3,120 (sets of clothes),Multiplication
427,question_427,"After resting, they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 6 feet, how deep was the water?",3,60 (feet),Multiplication
428,question_428,"Mark, Dean's friend, decided to go for a boat ride. If the ride costs $8.00 for every mile and they travelled for 40 miles, how much would the ride cost Mark?",3,320 (dollars),Multiplication
429,question_429,"Four weeks has passed. It's time for Dean to go home. Before they left, seven of them bought some souvenirs. Each of them spent $90.00 buying gifts. How much did all of them spend altogether?",3,630 (dollars),Multiplication
430,question_430,"Bryan has always been fond of studying rocks and minerals. He has a room full of books about and samples of the different types of rocks. One particular day, he went in the room to take a look at his mineral samples. If he has 65 samples of minerals per shelf, and he has a total of 7 shelves, how many mineral samples does he have?",3,455 (mineral),Multiplication
431,question_431,"He then classified some of the rocks into igneous, metamorphic and sedimentary. If each classification has 246 samples each, how many rocks does he have in all?",3,738 (rocks),Multiplication
432,question_432,"Bryan took a look at his books as well. If he has 56 books in each of his 9 bookshelves, how many books does he have in total?",3,504 (books),Multiplication
433,question_433,"If books came from all the 4 continents that Bryan had been into and he collected 122 books per continent, how many books does he have from all 4 continents combined?",3,488 (books),Multiplication
434,question_434,"Bryan had 8 precious stones in his collection which he sold to his friend from the jewelry store. If the stones were sold at $1785.00 each, how much money did Bryan get in total?",3,14280 (dollars),Multiplication
435,question_435,"It is harvest season in the country. Lewis, whose family owns a fruit farm, is busy overseeing their farmers while they are harvesting the fruits. His day starts by going to the apple orchard. The farmers reported that they harvest 45 sacks of apples from each of the 8 sections of the orchard daily. How many apples are harvested every day?",3,360 (apples),Multiplication
436,question_436,"Next on his checklist are the strawberry fields. There he found out that they can get 268 kg of fruit for every row of strawberry plants. If there are 7 rows of strawberry plants, how many kilograms of strawberries can they harvest?",3,1876 (kilograms),Multiplication
437,question_437,He then went to see the oranges being harvested. He found out that they harvest 83 sacks per day. How many sacks of oranges will they have after 6 days of harvest?,3,498 (sacks),Multiplication
438,question_438,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by one the pickers that they fill 324 drums of grapes per day. How many drums of grapes would be filled in 9 days?",3,2916 (drums),Multiplication
439,question_439,If Lewis earns $1367.00 every week during the 5 weeks of harvest. How much money does he earn during harvest season?,3,6835 (dollars),Multiplication
440,question_440,"Tyler, an animal rights advocate, decided to build his own animal sanctuary to protect different animals from poachers. The sanctuary was divided into different regions. The first region to be built was a bird sanctuary. Initially, he had 29 endangered bird species on that region. If each species has 7 pairs of birds, how many pairs does he have in total?",3,203 (pairs),Multiplication
441,question_441,"Another region was the aquatic reserve for freshwater organisms. If there are 6 bodies of water in the region, each having 175 different fishes, how many fishes does he have in total?",3,1050 (fishes),Multiplication
442,question_442,He also had 8 aquariums for saltwater animals. Each aquarium has 64 animals in it. How many saltwater animals does Tyler have?,3,512 (saltwater animals),Multiplication
443,question_443,"The sanctuary also includes several swamp areas where most of the reptiles usually reside. If there are 4 swamps, each having 356 different reptiles, how many reptiles are living in the swamp areas?",3,1424 (reptiles),Multiplication
444,question_444,There are 3 more sections that are undeveloped. Each of the remaining sections has a land area of 2435 square feet. What is the total area of the undeveloped land?,3,7305 (square feet),Multiplication
445,question_445,"It's Rachel's birthday. Her parents wanted her to have fun so they went to the circus that happened to be in town that day. Upon arriving at the circus, they went to the ticket booth and asked how much each ticket cost. If each ticket costs $44.00 and they bought 7 tickets, how much money did they spend on tickets?",3,308 (dollars),Multiplication
446,question_446,"They entered the circus tent and saw that there are four seating sections for the audience. If each section can accommodate 246 people, how many people can the tent accommodate in total?",3,984 (people),Multiplication
447,question_447,"The first act included 5 clown mobiles, each stuffed with 28 clowns. How many clowns are inside all the clown mobiles combined?",3,140 (clowns),Multiplication
448,question_448,"The next act involved several jugglers. If each juggler is juggling 6 balls at a time, how many balls are needed if there are 378 jugglers putting a show at the same time?",3,2268 (balls),Multiplication
449,question_449,"For the final act, the circus brought out dancing animals wearing crowns. If each crown is made with 7 different colored feathers, how many feathers are needed for 934 crowns?",3,6538 (feathers),Multiplication
450,question_450,"Amanda and her friends decided to go to an amusement park for the weekend. The nearest amusement park from their city is Super Fun-tastic Land. If they cover a distance of 27 miles for every hour of travel and they travelled for 3 hours, how far is SFL from the city?",3,81 (miles),Multiplication
451,question_451,"When they got there, they saw that SFL is already filled with people. Every entrance has a long line, with 283 people waiting to get in. If SFL has 5 entrances, how many people in total are waiting to get in?",3,1415 (people),Multiplication
452,question_452,"Determined to have fun, they travelled to the next amusement park, HappyLand. If they cover a distance of 328 feet for every minute of travel and they travelled for 9 minutes, how far is HappyLand from SFL?",3,2952 (feet),Multiplication
453,question_453,"When they arrived at HappyLand, they immediately went in and bought their tickets. If each ticket cost $17.00 and they bought 8 tickets, how much did they spend on tickets?",3,136 (dollars),Multiplication
454,question_454,"HappyLand has twice the land area of Super Fun-tastic Land. If Super Fun-tastic Land has a land area of 4897 square feet, what would be the total land area of HappyLand?",3,9794 (square feet),Multiplication
455,question_455,"Jack loves to collect and read books. In fact, he has a mini-library in their house and he usually spends most of his time in it. The library is divided into different sections for different type of books. The science fiction section has 8 books. If each book has 478 pages, how many pages do all the 8 books have in total?",3,3824 (pages),Multiplication
456,question_456,"He also has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?",3,441 (pages),Multiplication
457,question_457,"One of his favorites is a book called Encyclopedia of Life and Everything Else. The book has 7 large chapters, each having 566 pages. How many pages does the encyclopedia have in total?",3,3962 (pages),Multiplication
458,question_458,"The mini library also has a section for the classics. If Jack has a collection of 6 classic authors, with each author having 33 books, how many books does he have in the classics section?",3,198 (books),Multiplication
459,question_459,"Having this kind of collection made Jack a fast reader. If he can read 9 books in a day, how many books can he read in a year (a year = 365 days)?",3,3285 (books),Multiplication
460,question_460,Lexie has a lot of art materials. She needs to organize all these materials into containers. She counted her crayons and found out that she has 80 crayons which she will place in crayon boxes. Every crayon box can contain 8 crayons. How many crayon boxes does she need?,3,10 (crayon boxes),Common-Division
461,question_461,A pile of clean white paper was stacked in the corner of her room. She decided to place these papers in paper envelopes which can contain 10 white papers. How many paper envelopes does she need if she has 120 clean white papers?,3,12 (paper envelopes),Common-Division
462,question_462,"Beside the pile of clean white paper was a stack of 700 sheets of used paper. She wants to place it in boxes for recycling. If every box can contain 100 sheets, how many boxes does she need?",3,7 (boxes),Common-Division
463,question_463,"Lexie's mom gathered all her watercolor paintings and thought of placing an equal number of paintings in four of the rooms in the house. If Lexie has 32 watercolor paintings, how many paintings will be placed in each of the four rooms?",3,8 (paintings),Common-Division
464,question_464,"Lexie's younger brother helped pick up all the paper clips in Lexie's room. He was able to collect 81 paper clips. If he wants to distribute the paper clips in 9 boxes, how many paper clips will each box contain?",3,9 (paper clips),Common-Division
465,question_465,"Christian and his parents went to Mt. Falton National Park for the weekend. They were welcomed warmly by the rangers who invite volunteers and call them ""earth keepers"". The junior ranger asked Christian to help him place 420 seedlings in packets. If every packet needs to contain 7 seeds, how many packets do they need?",3,60 (packets),Common-Division
466,question_466,"Christian's mother prepared lemonade. Every pitcher of lemonade can serve 5 glasses. If she was able to serve 30 glasses of lemonade, how many pitchers of lemonade did she prepare?",3,6 (pitchers),Common-Division
467,question_467,"Christian's father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks. If every sack can contain around 20 pieces of wood, how many sacks were they able to fill if they gathered 80 pieces of wood?",3,4 (sacks),Common-Division
468,question_468,"Christian and the junior ranger brought a bag of 140 nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?",3,20 (stations),Common-Division
469,question_469,"Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If 56 wood carvings were displayed, how many shelves were filled with carvings?",3,7 (shelves),Common-Division
470,question_470,"Shiela has started writing a list of gifts that she plans to give to her family and friends this Christmas. For her classmates, she made colorful paper stars which will be placed in small clear bottles. She was able to prepare 45 paper stars. How many stars will be placed in each bottle if Shiela has 9 classmates?",3,5 (stars),Common-Division
471,question_471,"Shiela has 6 neighbors who like to collect animal drawings. Shiela has a talent for drawing and so she drew 54 animals on small pieces of paper. If she plans to give the same number of animal drawings to her neighbors, how many will each of them receive?",3,9 (animals),Common-Division
472,question_472,"Allen, Shiela's brother, likes to play with blocks. Shiela repainted Allen's old blocks in different colors. If Allen has 49 identical blocks and there are 7 blocks for every color of paint used, how many colors did Shiela use?",3,7 (colors),Common-Division
473,question_473,"Aside from drawing animals, Shiela is fond of painting flowers. If she has 18 paintings of flowers, how many paintings can she give to each of her two grandmothers?",3,9 (paintings),Common-Division
474,question_474,"It has been tradition in Shiela's home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought 50 cinnamon balls?",3,10 (days),Common-Division
475,question_475,"Haley loves to collect things. This year, she decided to give away part of her collection as it was taking too much space in her room. Nine of her closest friends like stickers. If she plans to give all of them an equal number of stickers, how many will each receive if she has 72 stickers?",3,8 (stickers),Common-Division
476,question_476,"In Haley's class, 5 are boys who love to play marbles. If Haley has 35 marbles, how many will each of the boys receive?",3,7 (marbles),Common-Division
477,question_477,"When relatives visit Haley and her family, she and her cousins do origami. If she has 48 origami papers to give away to her six cousins, how many will each receive if she gives everyone the same number of origami papers?",3,8 (origami papers),Common-Division
478,question_478,"A large bag of balls was kept under Haley's bed. Her mom placed the balls in bags for children in foster homes. If every bag can contain 4 balls and Haley has 36 balls, how many bags will be used?",3,9 (bags),Common-Division
479,question_479,"Haley has 63 magazines in her cabinet. She plans to send it to the recycling office in their area. If she places it in boxes which can contain 9 magazines, how many boxes will she use?",3,7 (boxes),Common-Division
480,question_480,"One bright sunny day, Betty decided to make bracelets from beautiful stones she bought from a local store. She bought 88 pink flower stones and wanted to make 8 bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?",3,11 (pink flower stones),Common-Division
481,question_481,"Betty also bought 140 shiny blue round stones. If 14 pieces of this stone is in each bracelet, how many bracelets of blue shiny round stones will there be?",3,10 (bracelets),Common-Division
482,question_482,"Brenda, Betty's sister, wanted to have 3 bracelets with star-shaped stones. She also bought 36 star-shaped stones from the local store and gave it to Betty. How many star-shaped stones will there be in each of the bracelet Betty makes for Brenda?",3,12 (star-shaped stones),Common-Division
483,question_483,"Shannon, Brenda's neighbor, joined Brenda in making bracelets. She brought 48 heart-shaped stones and wanted to have 8 of this type of stone in each of the bracelet she makes. How many bracelets with heart-shaped stones can Shannon make?",3,6 (bracelets),Common-Division
484,question_484,"Brenda's mother made cookies for five. If she prepared 35 cookies and each of them had the same number of cookies, how many did each of them have?",3,7 (cookies),Common-Division
485,question_485,"On the first Saturday of spring, Jane woke up early to enjoy the whole day and help with chores at home. Jane had been saving large empty cans to serve as pots for sunflowers. If she has 54 sunflower seeds and there are 9 cans, how many seeds will be placed in each can if she places an equal number of seeds in each can?",3,6 (seeds),Common-Division
486,question_486,"Jane's mom picked cherry tomatoes from their backyard. If she gathered 56 cherry tomatoes and is about to place them in small jars which can contain 8 cherry tomatoes at a time, how many jars will she need?",3,7 (jars),Common-Division
487,question_487,"Jane helped her mom prepare fresh lemonade. If each glass needs two lemons, how many glasses of fresh lemonade can she make if they have 18 lemons?",3,9 (glasses),Common-Division
488,question_488,"Jane's dad brought home 24 marble potatoes. If Jane's mom made potato salad for lunch and served an equal amount of potatoes to Jane, herself and her husband, how many potatoes did each of them have?",3,8 (potatoes),Common-Division
489,question_489,"For dessert, Jane's mom prepared 12 pieces of bite-size cinnamon swirls. If the three of them ate an equal number of pieces of cinnamon swirls, how many pieces did Jane eat?",3,4 (pieces),Common-Division
490,question_490,"Marian baked bread, cookies and pastries one Saturday at home for her family and friends this holiday season. She made 47 gingerbread cookies which she will distribute equally in tiny glass jars. If each jar is to contain six cookies each, how many cookies will not be placed in a jar?",3,5 (cookies),Surplus
491,question_491,"Marian also prepared 59 croissants which she plans to give to her 8 neighbors. If each neighbor received and equal number of croissants, how many will be left with Marian?",3,3 (croissants),Surplus
492,question_492,"Marian also baked oatmeal cookies for her classmates. If she can place 12 cookies on a tray at a time, how many trays will she need to prepare 276 oatmeal cookies at a time?",3,23 (trays),Common-Division
493,question_493,"Marian's friends were coming over that afternoon so she made 480 bite-sized pretzels. If one serving is equal to 12 pretzels, how many servings of bite-sized pretzels was Marian able to prepare?",3,40 (servings),Common-Division
494,question_494,"Lastly, she baked 53 lemon cupcakes for the children living in the city orphanage. If two lemon cupcakes were left at home, how many boxes with 3 lemon cupcakes each were given away?",3,17 (boxes),Common-Division
495,question_495,"Susie and her family woke up early on the first weekend of spring. They had a long list of activities for spring cleaning. Susie's mom prepared 74 carrot sticks for breakfast. If the carrots were served equally to 12 people, how many carrot sticks were left uneaten?",3,2 (carrot sticks),Surplus
496,question_496,"Susie and her sister gathered all 98 of their teddy bears and placed them on the shelves in their bedroom. If every shelf can carry a maximum of 7 teddy bears, how many shelves will be filled?",3,14 (shelves),Common-Division
497,question_497,"Susie's mother collected all family pictures and wanted to place all of them in an album. If an album can contain 20 pictures, how many albums will she need if there are 480 pictures?",3,24 (albums),Common-Division
498,question_498,"Joe, Susie's brother, collected all 94 trading cards scattered in his room and placed them in boxes. If a full box can hold a maximum of 8 cards, how many boxes were fully filled?",3,11 (boxes),Floor-Division
499,question_499,"Joe, Susie's brother, collected all 94 trading cards scattered in his room and placed them in boxes. If a full box can hold a maximum of 8 cards, how many cards are there in the unfilled box?",3,6 (cards),Surplus
500,question_500,"Susie's father repaired the bookshelves in the reading room. If he has 210 books to be distributed equally on the 10 shelves he repaired, how many books will each shelf contain?",3,21 (books),Common-Division
501,question_501,"Matt and his friends were thinking of making Christmas decors for the clubhouse in their neighborhood. They are to repaint 350 balls in ten different colors. If they painted an equal number of balls for every color, how many balls are there for each color?",3,35 (balls),Common-Division
502,question_502,"They had 119 matchboxes wrapped in colorful shiny wrappers. If they are to distribute the matchboxes equally to the 9 houses in the first block, how may matchboxes will each house receive?",3,13 (matchboxes),Floor-Division
503,question_503,"They had 119 matchboxes wrapped in colorful shiny wrappers. If they are to distribute the matchboxes equally to the 9 houses in the first block, how many colorful matchboxes will they have left?",3,2 (colorful matchboxes),Surplus
504,question_504,"They also gathered paper to create some star-shaped papier-mache. If each star requires 20 pieces of paper and they had 680 pieces of paper, how many stars were they able to make?",3,34 (stars),Common-Division
505,question_505,"Matt had 4 small cans of gold paint. If the 34 stars that they made were to be distributed equally to the cans of paint, how many stars will be left unpainted?",3,2 (stars),Surplus
506,question_506,"Four girls were home all day one weekend preparing homemade treats. Anna made 33 blueberry cookies. If she shares this equally among her four friends, how many will each receive?",3,8 (blueberry cookies),Floor-Division
507,question_507,"Britney brewed lemon tea that's enough to fill ten cups. If she serves this to her parents and three siblings and they share this equally, how many cups will each have?",3,2 (cups),Common-Division
508,question_508,"Cristina baked 17 croissants. If she planned to serve this equally to her seven guests, how many will each have?",3,2 (croissants),Floor-Division
509,question_509,"Cristina baked 17 croissants. If Cristina's croissants were served equally among her seven guests, how many will Cristina have left?",3,3 (croissants),Surplus
510,question_510,"Drew prepared 61 servings of butterscotch. If she expects her 6 sweet-tooth guests to share the butterscotch among them equally, how many will be left unconsumed?",3,1 (servings of butterscotch),Surplus
511,question_511,"Allen, Charles, Lex and Shiela spent days reading books for their book report. The texts were printed very small so they were only able to cover very few pages a day. Allen read about the Solar System. He read 10 pages a day of a book which has 120 pages. How many days did it take Allen to finish reading the book?",3,12 (days),Common-Division
512,question_512,"Charles was curious about Greek mythology and so he read 8 pages a day of a 96-page book entitled ""Greek Mythology: Fast Facts."" How many days did it take Charles to finish the book?",3,12 (days),Common-Division
513,question_513,"Lex read a 420 page book about music and instruments. If he can read exactly 30 pages a day, how many days will it take Lex to finish reading the book?",3,14 (days),Common-Division
514,question_514,"Lex read another book with 240 pages. If he read the same number of pages for 12 days, how many pages did he read every day?",3,20 (pages),Common-Division
515,question_515,"Shiela was into history of Asia. She can read 11 pages per hour of the book entitled ""Asia's History Made Easy"". If the encyclopedia has 143 pages, how many hours did it take Shiela to finish reading the book?",3,13 (hours),Common-Division
516,question_516,"Instead of buying from the store, Melody made Christmas cards for the elderly in a nursing home. She had 99 blue sequins which she plans to use as snowflakes for the cards. If she distributes the sequins equally to 12 cards, how many sequins will Melody have left?",3,3 (sequins),Surplus
517,question_517,She had 35 mistletoe stickers and wanted to place them equally in 8 cards. How many mistletoe stickers will she have left?,3,3 (mistletoe stickers),Surplus
518,question_518,"Melody made 26 cut-outs of Christmas trees with red shiny balls. If she planned to paste 4 of this to the front cover of a certain number of cards, how many cards will she be able to make?",3,6 (cards),Floor-Division
519,question_519,"Melody made 26 cut-outs of Christmas trees with red shiny balls. If she planned to paste 4 of this to the front cover of a certain number of cards, how many cut-outs of Christmas trees will Melody have left?",3,2 (cut-outs of Christmas trees),Surplus
520,question_520,"Melody printed 53 identical snowman drawings. If she was able to prepare cards with 4 identical snowman drawings each, how many cards was she able to prepare?",3,13 (cards),Floor-Division
521,question_521,"Paul got a box of 479 crayons for his birthday. At the end of the school year, he only had 134 left. How many crayons had been lost or given away?",3,345 (crayons),Subtraction
522,question_522,179 birds were sitting in a tree. 38 more birds flew up to the tree. How many birds were there altogether in the tree?,3,217 (birds),Addition
523,question_523,Cindy's mom baked 1215 cookies. Paul's dad baked 1112 cookies. They both brought them to school for a party. How many cookies did they have altogether?,3,2327 (cookies),Addition
524,question_524,Beth has 106 crayons. She gives 54 of them away to Jen. How many crayons does Beth have left?,3,52 (crayons),Subtraction
525,question_525,Misha has 34 dollars. How many dollars does she have to earn to have 47 dollars to buy a dog?,3,13 (dollars),Subtraction
526,question_526,James had 39 stickers. He got some more stickers for his birthday. Then he had 61 stickers. How many stickers did James get for his birthday?,3,22 (stickers),Subtraction
527,question_527,There were 51 geese in the farmer's field. 28 of the geese flew away. How many geese were left in the field?,3,23 (geese),Subtraction
528,question_528,There were 27 boys and 35 girls on the playground at recess. How many children were on the playground at recess?,3,62 (children),Addition
529,question_529,Paul had 28 strawberries in his basket. He picked 35 more strawberries. How many strawberries did he have then?,3,63 (strawberries),Addition
530,question_530,Gary had 73 dollars. He spent 55 dollars on a pet snake. How many dollars did Gary have left?,3,18 (dollars),Subtraction
531,question_531,There are 46 birds perched on the branches of a tree. How many feet are there on the branches?,3,92 (feet),Multiplication
532,question_532,I see 115 cows grazing in the pasture. How many legs do I see?,3,460 (legs),Multiplication
533,question_533,There are 397 butterflies. Each butterfly has 12 black dots and 17 yellow dots. How many black dots are there in all?,3,4764 (black dots),Multiplication
534,question_534,"At the zoo, I see 35 elephants and 48 tigers. How many legs do I see?",3,332 (legs),Multiplication
535,question_535,"In the park, I see 109 dogs. How many legs do I see?",3,436 (legs),Multiplication
536,question_536,"If you had 37 bags of cookies with 19 cookies in each bag, how many cookies would you have?",3,703 (cookies),Multiplication
537,question_537,Each day you put a bag of garbage that weighs 55 pounds in the dumpster. How many pounds of garbage will you put in the dumpster in 4 weeks?,3,1540 (pounds of garbage),Multiplication
538,question_538,"If each piece costs 18 cents, how much would 136 pieces of bubble gum cost?",3,2448 (cents),Multiplication
539,question_539,This year on your 11th birthday your mother tells you that she is exactly 3 times as old as you are. How old is she?,3,33 (years old),Multiplication
540,question_540,"For the fifth grade play, the chairs have been put into 27 rows with 16 chairs in each row. How many chairs have been put out for the play?",3,432 (chairs),Multiplication
541,question_541,"A baker has a pan of fudge that measures 18 inches on one side and 29 inches on another side. If the fudge is cut into square pieces 1 inch on each side, how many pieces of fudge does the pan hold?",3,522 (pieces of fudge),Multiplication
542,question_542,The Ferris wheel in Paradise Park has 14 seats. Each seat can hold 6 people. How many people can ride the Ferris wheel at the same time?,3,84 (people),Multiplication
543,question_543,A garden has 52 rows and 15 columns of bean plants. How many plants are there in all?,3,780 (plants),Multiplication
544,question_544,A sandbox is 312 centimeters long and 146 centimeters wide. How many square centimeters of ground does the sandbox cover?,3,45552 (square centimeters),Multiplication
545,question_545,Sarah picked 45 apples. Her brother picked 9 apples. How many times as many apples did Sarah pick?,3,5 (times),Common-Division
546,question_546,"If you can choose between a regular or waffle cone and vanilla, strawberry, caramel, and bubblegum flavored ice cream, how many different ways can ice cream be ordered?",3,8 (different ways),Multiplication
547,question_547,There are 261 fishbowls. Each fishbowl has 23 fish. How many fish are there?,3,6003 (fish),Multiplication
548,question_548,We ordered 21 pizzas. Each pizza has 8 slices. How many slices of pizza are there altogether?,3,168 (slices of pizza),Multiplication
549,question_549,Chris gave his 35 friends 12 pieces of candy each. How many pieces of candy did Chris give his friends?,3,420 (pieces of candy),Multiplication
550,question_550,Emily collected eggs from the hen and put them into 303 baskets. She put 28 eggs into each basket. How many eggs did Emily collect?,3,8484 (eggs),Multiplication
551,question_551,There were 150 book shelves. Each book shelf had 15 books. How many books were on the shelves?,3,2250 (books),Multiplication
552,question_552,I see 23 boys. How many eyes do I see?,3,46 (eyes),Multiplication
553,question_553,I see 105 puppies. How many ears do they have?,3,210 (ears),Multiplication
554,question_554,I see 349 frogs. How many legs do they have?,3,1396 (legs),Multiplication
555,question_555,There are 84 leaves. There are 139 ladybugs on each leaf. How many ladybugs are there in all?,3,11676 (ladybugs),Multiplication
556,question_556,There are 37 baskets. There are 17 apples in each basket. How many apples are there in all?,3,629 (apples),Multiplication
557,question_557,There are 544 pots. Each pot has 32 flowers in it. How many flowers are there in all?,3,17408 (flowers),Multiplication
558,question_558,Your class is having a pizza party. You buy 5 pizzas. Each pizza has 4 slices. How many slices is that altogether?,3,20 (slices),Multiplication
559,question_559,Beth has 4 packs of crayons. Each pack has 10 crayons in it. She also has 6 extra crayons. How many crayons does Beth have altogether?,3,46 (crayons),Addition
560,question_560,Ted has 15 candy bars. He wants to put them into 5 bags so there are the same number of candy bars in each bag. How many candy bars should go in each bag?,3,3 (candy bars),Common-Division
561,question_561,A candy store has 6 boxes of chocolates. Each box has 500 pieces. How many pieces are there altogether in the 6 boxes?,3,3000 (pieces),Multiplication
562,question_562,You want to share 34 pencils among 6 friends. How many would each friend get?,3,5 (pencils),Floor-Division
563,question_563,Martha bought 18 small cakes. She has 3 children. She would like to divide the cakes among her children so that each child gets the same amount. How many cakes would each child get?,3,6 (cakes),Common-Division
564,question_564,"Julian is writing a comic book. His story has 143 frames in all. If he wants to put exactly 11 frames on each page, how many pages would he have?",3,13 (pages),Common-Division
565,question_565,Jesse's room is 12 feet long and 8 feet wide. How much carpet does she need to cover the whole floor?,3,96 (square feet),Multiplication
566,question_566,"There are 5 people on the Green Bay High track team. If a relay race is 150 meters long, and all 5 team members participate, how far will each team member have to run?",3,30 (meters),Common-Division
567,question_567,It takes 4 feet of cotton to make a tee-shirt. How many tee-shirts can be made with 60 feet of material?,3,15 (tee-shirts),Common-Division
568,question_568,Lukas averages 12 points per game in basketball. How many points would he score in 5 games?,3,60 (points),Multiplication
569,question_569,My car gets 20 miles per gallon. How many miles can I drive on 5 gallons of gas?,3,100 (miles),Multiplication
570,question_570,It takes 7 minutes to bake one pan of cookies. How long will it take to bake 4 pans of cookies?,3,28 (minutes),Multiplication
571,question_571,"My car gets 20 miles per gallon of gas. If Grandma's house is 100 miles away, how many gallons of gas would it take to get to her house?",3,5 (gallons of gas),Common-Division
572,question_572,Everyday I eat 3 servings of veggies. How many servings of veggies do I eat in one week?,3,21 (servings of veggies),Multiplication
573,question_573,Melissa scored 120 points in each game. How many points did she score in 10 games?,3,1200 (points),Multiplication
574,question_574,Johnny practiced for the track team and ran 3 laps per minute. How many minutes did it take Johnny to run 10 laps?,3,3.333 (minutes),Common-Division
575,question_575,"Our watermelons have 100 seeds each. If we have 4 watermelons, how many seeds should there be when all seeds are taken out of the watermelons?",3,400 (seeds),Multiplication
576,question_576,63 people are going to the zoo. There are 3 cars to take people to the zoo. How many will go in each car if the same number go in each car?,3,21 (people),Common-Division
577,question_577,"I have 80 cents to buy candy. If each gumdrop costs 4 cents, how many gumdrops can I buy?",3,20 (gumdrops),Common-Division
