,question,solution,answer,topic,question_number
1396,"A swimmer is in a 1000-meter race. She swims the first 400 meters in 4 minutes. She swims the next 200 meters in 2 minutes. How long, in minutes, does it take her to swim the remaining 400 meters?","def solution():
    # The swimmer has 400 meters left to swim
    meters_left = 400
    # She swam the first 400 meters at a rate of 100 meters per minute
    rate_first_400 = 100
    # She swam the next 200 meters at a rate of 100 meters per minute
    rate_next_200 = 100
    # The answer is
    result = meters_left / (rate_first_400 + rate_next_200)
    return result",2.0,swimming,mathwell_q1339
1073,Ms. Fields baked 120 chocolate chip cookies. She put them on a tray and took them to the dining room. 20 of the cookies were eaten by her kids. She ate 10 of the cookies. How many cookies are left?,"def solution():
    #Ms. Fields baked 120 chocolate chip cookies
    cookies_baked = 120
    #20 of the cookies were eaten by her kids
    cookies_eaten_kids = 20
    #She ate 10 of the cookies
    cookies_eaten_herself = 10
    #The answer is
    result = cookies_baked - cookies_eaten_kids - cookies_eaten_herself
    return result",90,cookies,mathwell_q1035
885,Spiderman has 300 spider webs. He uses 100 spider webs to make a net. He then uses 50 spider webs to make a cocoon. How many spider webs does he have left?,"def solution():
    #Spiderman has 300 spider webs
    spider_webs_total = 300
    #He uses 100 spider webs to make a net
    spider_webs_net = 100
    #He then uses 50 spider webs to make a cocoon
    spider_webs_cocoon = 50
    #The answer is
    result = spider_webs_total - spider_webs_net - spider_webs_cocoon
    return result",150,Spiderman,mathwell_q857
331,The T-Rex is the most ferocious dinosaur in the land. It has 3 heads and each head has 3 teeth. How many teeth does the T-Rex have in total?,"def solution():
    # The T-Rex has 3 heads
    heads = 3
    # Each head has 3 teeth
    teeth_per_head = 3
    # The answer is
    result = heads * teeth_per_head
    return result",9,dinosaurs,mammoth_q331
184,Taylor Swift has 10000 dollars. She spent 4000 dollars on her cats and 2000 dollars on her guitars. How much money is left?,"def solution():
    total_money = 10000
    spent_on_cats = 4000
    spent_on_guitars = 2000
    remaining_money = total_money - spent_on_cats - spent_on_guitars
    return remaining_money
print(solution())",4000,Taylor Swift,mammoth_q184
43,Hello Kitty has 100 pencils. She lends 20 pencils to her friend. She then buys 30 more pencils. How many pencils does she have now?,"def solution():
    #Hello Kitty has 100 pencils
    pencils_hello_kitty = 100
    #She lends 20 pencils to her friend
    lends_20_pencils = 20
    #She then buys 30 more pencils
    buys_30_pencils = 30
    #The answer is
    result = pencils_hello_kitty - lends_20_pencils + buys_30_pencils
    return result",110,Hello Kitty,mathwell_q43
601,"Pokémon can learn different kinds of moves. A Fire-type moves can teach up to 8 Fire-type moves. 
How many moves can a Pokémon that is Fire, Ice, and Flying learn at the same time?

","def solution():
    #A Fire-type moves can teach up to 8 Fire-type moves
    return result",5,Pokémon,llema_q599
238,"If 150 people ate 3000 cookies, on average, how many cookies did each person eat?","def solution():
    #Total number of people
    total_people = 150
    #Total cookies eaten
    total_cookies = 3000
    #Average cookies eaten per person
    average_cookies = total_cookies / total_people
    return average_cookies",20.0,cookies,mammoth_q238
541,"Red is playing Pokémon on his Game Boy. 
He starts with 1 Pokémon and gains 5 more Pokémon every level he advances. 
After 43 games, he has caught 660 Pokémon. 
How many games did he play before reaching the 10th level?","def solution():
    #Red started with 1 Pokemons
    initial_pokemons = 1
    #He gains 5 Pokemons every time he levels up
    pokemons_per_level = 5
    #He caught 660 Pokemons, which means
    total_levels = (660 - initial_pokemons) // pokemons_per_level
    #He needs 43 extra games to level up 10 times
    extra_games = total_levels - 10
    #The answer is
    result = 43 - extra_games
    return result",-78,Pokémon,llema_q541
636,"Wonder Woman's bracelet has a charm that contains 800 small diamonds.

Diana, her mother, gave her 100 more diamonds on her 11th birthday.

The charm currently holds 400 diamonds.
How many diamonds were in the charm on Wonder Woman's 10th birthday?","def solution():
    #The bracelet has a charm that contains 800 small diamonds
    charm_full = 800
    #Diana, her mother, gave her 100 more diamonds on her 11th birthday
    charm_11 = charm_full + 100
    #The charm currently holds 400 diamonds
    charm_current = 400
    #The answer is
    result = charm_11 - charm_current
    return result",500,Wonder Woman,llema_q634
432,"In the NBA, a team receives 3 points when it makes a jump shot from the 2-minute mark. If a team makes 120 jump shots from the 3-point line, how many points does the team score?","def solution():
    #Inside of the 3-minute mark
    inside_of_three_points_line = True #True or False
    #Jump shots, i.e. shots taken from about 18-22ft from the basket and above the 3-point line from about 4ft - 6ft away from the basket
    jump_shot = True or False
    #If the answer is True or False
    points_per_3_point_shot = 3 * jump_shot * inside_of_three_points_line
    #Number of shots attempted or made
    shots_attempted_made = 120
    #The answer is 
    result = points_per_3_point_shot * shots_attempted_made
    return result",360,basketball,llema_q432
60,"The Toyota company sells 80 Corolla cars, 77 Camery cars, and 57 Cressida cars. If each type of car sells for \$20,000, how much money does Toyota earn?","def solution():
    #Corolla cars
    corolla_cars = 80
    #Camery cars
    camery_cars = 77
    #Cressida cars
    cressida_cars = 57
    #Each type of car sells for 20,000
    price_per_car = 20000
    #Money earned
    money_earned = corolla_cars * price_per_car + camery_cars * price_per_car + cressida_cars * price_per_car
    return money_earned",4280000,cars,llema_q60
800,"A lacrosse team won 6 of their first 8 games. If the team continues to play at this rate, how many more games will they win in the season?","def solution():
    #A lacrosse team won 6 of their first 8 games
    games_won = 6
    games_played = 8
    #A lacrosse season is 14 games
    games_in_season = 14
    #The percentage of games the team wins
    percent_of_games_won = games_won / games_played
    #They will win this many more games
    more_games_won = percent_of_games_won * games_in_season
    #The answer is
    result = more_games_won
    return result",10.5,lacrosse,llema_q797
198,Steph Curry has 2000 3-pointers. He makes 50 more 3-pointers each week for 10 weeks. How many 3-pointers does he have now?,"def solution():
    #Steph Curry started with 2000 3-pointers
    three_pointers_initial = 2000
    #He makes 50 more 3-pointers each week for 10 weeks
    three_pointers_gained_per_week = 50
    #The answer is
    result = three_pointers_initial + three_pointers_gained_per_week * 10
    return result",2500,Steph Curry,mathwell_q196
1381,"Superman can bench press 1000 pounds. 
He can bench press 100 more pounds than The Hulk, who can bench press 2000 pounds. 
How much can Superman and The Hulk bench press combined?","def solution():
    #Superman can bench press 1000 pounds
    superman_bench_press = 1000
    #He can bench press 100 more pounds than The Hulk
    hulk_bench_press = superman_bench_press + 100
    #The Hulk can bench press 2000 pounds
    #The answer is
    result = superman_bench_press + hulk_bench_press
    return result",2100,Superman,mathwell_q1324
461,"Captain America has 1000 shields. 500 of the shields are for battle, 200 of the shields are for training, and the rest are for display. How many shields are for display?","def solution():
    #Captain America has 1000 shields
    shields = 1000
    #500 of the shields are for battle
    battle_shields = 500
    #200 of the shields are for training
    training_shields = 200
    #The rest are for display. The answer is
    display_shields = shields - battle_shields - training_shields
    return display_shields",300,Captain America,llama_q461
441,"The field hockey team has 20 players. 
8 of the players are forwards. 
6 of the players are midfielders. 
4 of the players are defenders. 
2 of the players are goalies. 
How many forwards are on the field hockey team?","def solution():
    #Total players
    total_players = 20
    #Forwards
    forwards = 8
    #Midfielders
    midfielders = 6
    #Defenders
    defenders = 4
    #Goalies
    goalies = 2
    #The answer is
    result = forwards
    return result",8,field hockey,mathwell_q435
155,Iron Man is making a list of movies that he watched this year. He watches 1 movie every 4 days. He watched a movie today. How many movies did he watch this year?,"def solution():
    #Iron Man watched a movie today
    today = 1
    #He watches 1 movie every 4 days
    per_day = 1 / 4
    #365 days in a year
    days_year = 365
    #The answer is
    result = today + per_day * days_year
    return result",92.25,Iron Man,llema_q155
515,"There are 500 pieces of candy in a jar. 1/4 of the candy is red. 1/3 of the candy is green. 1/6 of the candy is blue. What fraction of the candy is not red, green, or blue?","def solution():
    #There are 500 pieces of candy in a jar
    total_candy = 500
    #1/4 of the candy is red
    red_candy = total_candy / 4
    #1/3 of the candy is green
    green_candy = total_candy / 3
    #1/6 of the candy is blue
    blue_candy = total_candy / 6
    #The answer is
    result = total_candy - red_candy - green_candy - blue_candy
    return result",125.00000000000001,candy,llama_q514
365,"Taylor Swift has 1000 albums. 1/3 of the albums are in her car, 1/5 of the albums are in her house, and the rest are in her studio. How many albums are in her studio?","def solution():
    #Taylor Swift has 1000 albums
    albums = 1000
    #1/3 of the albums are in her car
    albums_in_car = albums * 1/3
    #1/5 of the albums are in her house
    albums_in_house = albums * 1/5
    #The answer is
    albums_in_studio = albums - albums_in_car - albums_in_house
    return albums_in_studio",466.66666666666674,Taylor Swift,llama_q365
683,"In Super Mario, each mushroom gives 5 health points and each star gives 20. 
If Mario has 30 health points and he eats 4 mushrooms and 2 stars, how many health points does he have now?","def solution():
    #Mario's initial health points
    initial_health = 30
    #Health points from mushrooms
    mushroom_health = 4 * 5
    #Health points from stars
    star_health = 2 * 20
    #The answer is
    result = initial_health + mushroom_health + star_health
    return result",90,Super Mario,llama_q680
243,"Captain America can punch 10 HYDRA agents in 5 minutes. 
How many HYDRA agents can he punch in 20 minutes?","def solution():
    #Captain America can punch 10 HYDRA agents in 5 minutes
    punch_per_5_minutes = 10
    #20 minutes is 4 times 5 minutes
    punch_20_minutes = (punch_per_5_minutes * 4)
    return punch_20_minutes",40,Captain America,mathwell_q239
350,"In 2017, Serena Williams earned 18 million from endorsing brands. How much money did Serena get for
5 endorsements?","def solution():
    #Serena Williams earned 18 million in endorsements
    serena_endorsements = 18000000
    #From 3 endorsements
    num_endorsements = 3
    #Serena gets
    serena_get = serena_endorsements / num_endorsements
    #The answer is
    result = serena_get
    return result",6000000.0,Serena Williams,llema_q350
338,Batman is a superhero. He can punch 20 bad guys at a time. 200 bad guys were in a bank. How many times did he have to punch the bad guys to get them all?,"def solution():
    # Batman can punch 20 bad guys at a time
    punch_per_time = 20
    # 200 bad guys were in a bank
    bad_guys = 200
    # The answer is
    result = bad_guys // punch_per_time
    if bad_guys % punch_per_time != 0:
        result += 1
    return result",10,Batman,mammoth_q338
314,"Harry's Hogwarts letters were delivered to 12 Grimmauld Place. 4 of the letters were from Professor McGonagall. 5 of the letters were from Professor Snape. The rest of the letters were from Professor Flitwick. How many letters from Professor Flitwick were delivered to 12 Grimmauld Place?
1.","def solution():
    #Total number of letters
    total_letters = 12
    #Letters from Professor McGonagall
    mcgonagall_letters = 4
    #Letters from Professor Snape
    snape_letters = 5
    #The answer is
    flitwick_letters = total_letters - mcgonagall_letters - snape_letters
    return flitwick_letters",3,Harry Potter,llema_q314
436,"Serena Williams has 18 Grand Slam singles titles. 5 of them are from the Australian Open, 3 are from the French Open, 7 are from Wimbledon, and the rest are from the US Open. How many of her Grand Slam singles titles are from the US Open?","def solution():
    #Serena Williams has 18 Grand Slam singles titles
    total_titles = 18
    #5 of them are from the Australian Open
    australian_open_titles = 5
    #3 are from the French Open
    french_open_titles = 3
    #7 are from Wimbledon
    wimbledon_titles = 7
    #The answer is
    us_open_titles = total_titles - australian_open_titles - french_open_titles - wimbledon_titles
    return us_open_titles",3,Serena Williams,mathwell_q430
1071,Patrick Mahomes has 4000 passing yards. He has 2000 more passing yards than rushing yards. How many rushing yards does he have?,"def solution():
    #Patrick Mahomes has 4000 passing yards
    passing_yards = 4000
    #He has 2000 more passing yards than rushing yards
    rushing_yards = passing_yards - 2000
    #The answer is
    result = rushing_yards
    return result",2000,Patrick Mahomes,mathwell_q1033
294,Batman has 13 Batarangs. He dives 2 Batarangs into the Joker's heart. He eats 2 Batarangs. He keeps two Batarangs to throw in his utility belt. He takes the rest of the Batarangs to throw at the Joker's henchmen. He threw 1 Batarang in the Joker's face. How many henchmen did Batman throw Batarangs at?,"def solution():
    #Batman has 13 Batarangs
    batarangs = 13
    #He dives 2 Batarangs into the Joker's heart
    jokers_heart = 2
    #He eats 2 Batarangs
    batarangs_eaten = 2
    #He keeps two Batarangs to throw in his utility belt
    utility_belt = 2
    #The answer is
    result = batarangs - jokers_heart - batarangs_eaten - utility_belt
    return result",7,Batman,llema_q294
765,A bag of candy has 100 pieces of candy. 20% of them are chocolate. 15% of them are gummies. 10% of them are sour. 5% of them are lollipops. 50% of them are hard candies. How many pieces of candy are not hard candies?,"def solution():
    #Total candy
    total_candy = 100
    #Chocolate
    chocolate = total_candy * 0.2
    #Gummies
    gummies = total_candy * 0.15
    #Sour
    sour = total_candy * 0.1
    #Lollipops
    lollipops = total_candy * 0.05
    #Hard candy
    hard_candy = total_candy * 0.5
    #The answer is
    result = total_candy - hard_candy
    return result",50.0,candy,llama_q762
861,You run a doggie daycare business. You have 40 dogs in your daycare. You give each dog 1/2 cup of food per day. How many cups of food will you serve?,"def solution():
    #You have 40 dogs in your daycare
    total_dogs = 40
    #
    return result",5,dogs,llema_q857
44,A car is 200 inches long. 100 of the inches are in the hood. 50 of the inches are in the trunk. How many inches are in the rest of the car?,"def solution():
    #A car is 200 inches long
    car_length = 200
    #100 of the inches are in the hood
    hood_length = 100
    #50 of the inches are in the trunk
    trunk_length = 50
    #The answer is
    result = car_length - hood_length - trunk_length
    return result",50,cars,mathwell_q44
784,"Thor can throw his hammer with a force of 10,000,000 Newtons.  If a person weighs 70 kilograms, how much force would be needed to levitate that person?","def solution():
    # Thor can throw his hammer with a force of 10,000,000 Newtons
    thor_force = 10000000
    # A person weighs 70 kilograms
    person_weight = 70
    # The answer is
    result = thor_force - person_weight
    return result",9999930,"Thor, the God of Thunder",llema_q781
78,Patrick Mahomes threw 3 touchdown passes. He threw each touchdown pass for 20 yards. How far did he throw the ball in total?,"def solution():
    #Patrick Mahomes threw 3 touchdown passes
    touchdowns = 3
    #He threw each touchdown pass for 20 yards
    yards_each_touchdown = 20
    #The answer is
    result = touchdowns * yards_each_touchdown
    return result",60,Patrick Mahomes,llema_q78
1085,"Batman has 1000 Batarangs. 200 of them are in his utility belt, 300 are in the Batcave, and the rest are in the Batmobile. How many Batarangs does Batman have in the Batmobile?","def solution():
    #Batman has 1000 Batarangs
    batarangs_total = 1000
    #200 of them are in his utility belt
    batarangs_utility_belt = 200
    #300 are in the Batcave
    batarangs_batcave = 300
    #The answer is
    result = batarangs_total - batarangs_utility_belt - batarangs_batcave
    return result",500,Batman,llama_q1075
1345,Wonder Woman is in a battle. She has 2000 beads. 1000 of the beads are in her lasso. 500 of the beads are in her tiara. 250 of the beads are in her bracelets. How many beads are left?,"def solution():
    #Wonder Woman has 2000 beads
    beads_total = 2000
    #1000 of the beads are in her lasso
    beads_in_lasso = 1000
    #500 of the beads are in her tiara
    beads_in_tiara = 500
    #250 of the beads are in her bracelets
    beads_in_bracelets = 250
    #The answer is
    result = beads_total - beads_in_lasso - beads_in_tiara - beads_in_bracelets
    return result",250,Wonder Woman,mathwell_q1291
890,125000 people live in a city. 100000 of them are registered to vote. 5000 of the registered voters are ineligible to vote in the upcoming election. How many registered voters are eligible to vote?,"def solution():
    #125000 people live in a city
    people_in_city = 125000
    #100000 of them are registered to vote
    registered_voters = 100000
    #5000 of the registered voters are ineligible to vote in the upcoming election
    ineligible_voters = 5000
    #The answer is
    result = registered_voters - ineligible_voters
    return result",95000,Captain Marvel,llema_q886
208,"In Minecraft, there are villages with houses, farms, and mines. What would be the best place to store unused sand?
","def solution():
    #In Minecraft, there are villages with houses, farms, and mines.
    #If unused sand is stored in a house, it will be destroyed when the house is damaged by a zombie attack.
    #If unused sand is stored in the farm, it will be destroyed when a mob attacks the crops.
    #In a mine, there could be spiders or cave spiders. There could also be spiderwebs. If the spiderwebs are not destroyed, they will trap the spiders, causing them to attack the player.
    #The player can use lava to destroy spiderwebs and avoid spider and cave spider attacks.
    #The best place to store unused sand would be in a mine, where it can be destroyed with lava.
    result = 'mine with lava'
    return result
 # -*- coding:utf8 -*-
# File   :",mine with lava,Minecraft,llema_q208
294,"If a pint of ice cream weighs 1 pound and a half (1.5 pounds), how many pounds of ice cream are in a gallon?","def solution():
    #1 pint = 1.5 pounds
    pint_to_pound = 1.5
    #1 gallon = 8 pints
    gallon_to_pint = 8
    #1 gallon = 8*1.5 pounds
    gallon_to_pound = gallon_to_pint * pint_to_pound
    return gallon_to_pound",12.0,ice cream,mammoth_q294
547,"In 2019, LeBron James scored a total of 1163 points.  In 2018, he scored a total of 1127 points.  How many more points did LeBron have in 2019 than he did in 2018?","def solution():
    #He scored 1163 in 2019
    points_2019 = 1163
    #He scored 1127 in 2018
    points_2018 = 1127
    #The answer is
    result = points_2019 - points_2018
    return result",36,LeBron James,llema_q547
783,"A candy store has 125 lollipops. 25 of the lollipops are sour, 50 are sweet, and the rest are spicy. How many spicy lollipops are there?","def solution():
    #The candy store has 125 lollipops
    lollipops = 125
    #25 of the lollipops are sour
    sour_lollipops = 25
    #50 are sweet
    sweet_lollipops = 50
    #The rest are spicy. The answer is
    spicy_lollipops = lollipops - sour_lollipops - sweet_lollipops
    return spicy_lollipops",50,candy,mathwell_q759
768,Thor has 1000 thunderbolts. He uses 500 thunderbolts to fight the Frost Giants. He then uses 2/5 of the remaining thunderbolts to fight the Dark Elves. How many thunderbolts does he have left?,"def solution():
    #Thor started with 1000 thunderbolts
    thunderbolts_initial = 1000
    #He used 500 to fight the Frost Giants
    thunderbolts_frost_giants = 500
    #He used 2/5 of the remaining thunderbolts to fight the Dark Elves
    thunderbolts_dark_elves = 2/5 * (thunderbolts_initial - thunderbolts_frost_giants)
    #The answer is
    result = thunderbolts_initial - thunderbolts_frost_giants - thunderbolts_dark_elves
    return result",300.0,"Thor, the God of Thunder",mathwell_q744
58,"A football team has 22 players on its roster. 4 of the players are quarterbacks, 6 are running backs, 7 are wide receivers, 2 are tight ends, and the rest are offensive linemen. How many offensive linemen are there?","def solution():
    #Total players on the roster
    total_players = 22
    #Number of quarterbacks
    qbs = 4
    #Number of running backs
    rbs = 6
    #Number of wide receivers
    wrs = 7
    #Number of tight ends
    tes = 2
    #Number of offensive linemen
    ol = total_players - qbs - rbs - wrs - tes
    return ol",3,football,llama_q58
240,"The cheerleaders at the school are planning a pep rally. 

They need to make 200 pom-poms. 

Each pom-pom requires 20 minutes to make. 

How many hours will it take to make 200 pom-poms?","def solution():
    #Total pom-poms
    total_pompoms = 200
    #Each pom-pom requires 20 minutes
    minutes_per_pompom = 20
    #How many hours will it take to make 200 pom-poms?
    result = total_pompoms * minutes_per_pompom / 60
    return result",66.66666666666667,cheer leading,llama_q240
251,The T-Rex is the largest dinosaur. It is 2000 pounds. The Brontosaurus is 2/5 the size of the T-Rex. The Velociraptor is 1/100 the size of the Brontosaurus. How much does the Velociraptor weigh?,"def solution():
    #The T-Rex weighs 2000 pounds
    t_rex_weight = 2000
    #The Brontosaurus is 2/5 the size of the T-Rex
    brontosaurus_weight = (2/5) * t_rex_weight
    #The Velociraptor is 1/100 the size of the Brontosaurus
    velociraptor_weight = (1/100) * brontosaurus_weight
    #The answer is
    result = velociraptor_weight
    return result",8.0,dinosaurs,mathwell_q247
1056,Wonder Woman has 2000 lassos. She lassos 30 bad guys a day for 5 days. How many lassos does she have left?,"def solution():
    #Wonder Woman started with 2000 lassos
    lassos_initial = 2000
    #She lassos 30 bad guys a day for 5 days
    lassos_per_day = 30
    #She did this for 5 days
    num_days = 5
    #30 lassos per day for 5 days is
    lassos_used = lassos_per_day * num_days
    #The answer is
    result = lassos_initial - lassos_used
    return result",1850,Wonder Woman,mathwell_q1018
107,60 cheer leaders from a football squad gathered to celebrate the end of the football season. 30 were seniors. 50 were females. 12 were seniors who were not females. 40 were females who were seniors. How many cheer leaders who were seniors who were not females were also females?,"def solution():
    #A total of 60 cheerleaders came
    total_cheerleaders = 60
    # There were 30 seniors.
    seniors = 30
    #There were 50 females.
    females = 50
    #There were 12 female seniors.
    female_seniors = 12
    #There were 40 female females.
    female_females = 40
    #The males are
    males = seniors - female_seniors
    #The answer is
    result = female_seniors - female_females
    return result",-28,cheer leading,llema_q107
305,There are 1000 cars in a parking lot. 200 of them are SUVs. 400 of them are trucks. 100 of them are vans. The rest are sedans. How many sedans are there?,"def solution():
    total_cars = 1000
    suvs = 200
    trucks = 400
    vans = 100
    sedans = total_cars - suvs - trucks - vans
    return sedans",300,cars,mammoth_q305
575,Superman is flying at 2000 miles per hour. He flies for 2 hours. How many miles does he fly in those 2 hours?,"def solution():
    #Superman is flying at 2000 miles per hour
    miles_per_hour = 2000
    #He flies for 2 hours
    hours = 2
    #The answer is
    result = miles_per_hour * hours
    return result",4000,Superman,llama_q573
127,The soccer team has 15 players. Each player has 2 feet. How many total feet does the team have?,"def solution():
    #Number of players
    players = 15
    #Each player has 2 feet
    feet_per_player = 2
    #The answer is
    result = players * feet_per_player
    return result",30,soccer,mammoth_q127
810,"Harry Potter, Hermione Granger, and Ron Weasley are in a duel. Harry has 10 spells, Hermione has 14, and Ron has 20. If they each use 4 spells, how many spells do they have left?","def solution():
    #Harry, Hermione, and Ron have 10, 14, and 20 spells, respectively
    harry_spells = 10
    hermione_spells = 14
    ron_spells = 20
    #They each use 4 spells
    spells_used = 4
    #The answer is
    harry_left = harry_spells - spells_used
    hermione_left = hermione_spells - spells_used
    ron_left = ron_spells - spells_used
    result = harry_left + hermione_left + ron_left
    return result",32,Harry Potter,llama_q806
123,"A dog has 12 bones. 

It chews 3 bones a day for 3 days. 

How many bones does it have left?","def solution():

    #A dog has 12 bones

    bones_initial = 12

    #It chews 3 bones a day for 3 days

    bones_per_day = 3

    days = 3

    #The answer is

    result = bones_initial - bones_per_day * days

    return result",3,dogs,mathwell_q123
37,"LeBron James has 4 MVP awards, 3 NBA Finals MVP awards, and 2 Olympic gold medals. How many total awards does LeBron James have?","def solution():
    #LeBron James has 4 MVP awards
    mvp_awards = 4
    #LeBron James has 3 NBA Finals MVP awards
    nba_finals_mvp_awards = 3
    #LeBron James has 2 Olympic gold medals
    olympic_gold_medals = 2
    #Total awards LeBron James has
    total_awards = mvp_awards + nba_finals_mvp_awards + olympic_gold_medals
    return total_awards
print(solution())",9,LeBron James,mammoth_q37
192,Spiderman has 5000 spiderwebs. He uses 3000 of them to make a giant web. He uses 1000 more to make a spiderweb shield. How many spiderwebs does he have left?,"def solution():
    #Spiderman has 5000 spiderwebs
    spiderwebs_total = 5000
    #He uses 3000 of them to make a giant web
    spiderwebs_giant_web = 3000
    #He uses 1000 more to make a spiderweb shield
    spiderwebs_shield = 1000
    #The answer is
    result = spiderwebs_total - spiderwebs_giant_web - spiderwebs_shield
    return result",1000,Spiderman,llama_q192
1333,"Mario has 100 coins. 
He spends 20 coins to buy a mushroom, 
10 coins to buy a flower, and 
20 coins to buy a star. 
How many coins does he have left?","def solution():
    #Mario has 100 coins
    coins_initial = 100
    #He spends 20 coins to buy a mushroom
    coins_spent_mushroom = 20
    #10 coins to buy a flower
    coins_spent_flower = 10
    #20 coins to buy a star
    coins_spent_star = 20
    #The answer is
    result = coins_initial - coins_spent_mushroom - coins_spent_flower - coins_spent_star
    return result",50,Super Mario,mathwell_q1279
63,"A pizza has 8 slices. If you eat 2 slices, how many slices do you have left?","def solution():
    #A pizza has 8 slices
    pizza_slices = 8
    #You ate 2 slices
    pizza_slices_eaten = 2
    #The answer is
    result = pizza_slices - pizza_slices_eaten
    return result",6,pizza,llama_q63
211,"There are 1000 dinosaurs. 
300 of them are T-Rex, 
200 of them are Velociraptors, 
200 of them are Brontosauruses, 
and the rest are Stegosauruses. 
How many Stegosauruses are there?","def solution():
    #Total dinosaurs
    total_dinosaurs = 1000
    #T-Rex
    t_rex = 300
    #Velociraptors
    velociraptors = 200
    #Brontosauruses
    brontosauruses = 200
    #Stegosauruses is
    stegosauruses = total_dinosaurs - t_rex - velociraptors - brontosauruses
    return stegosauruses",300,dinosaurs,mathwell_q208
917,Naruto ate 12 ramen noodles for lunch. He ate 3 more ramen noodles for dinner. How many ramen noodles did Naruto eat in total?,"def solution():
    #Naruto ate 12 ramen noodles for lunch
    ramen_noodles_lunch = 12
    #He ate 3 more ramen noodles for dinner
    ramen_noodles_dinner = 3
    #The answer is
    result = ramen_noodles_lunch + ramen_noodles_dinner
    return result",15,Naruto,mathwell_q887
373,"Superman can bench press 1,000 pounds. 10 of his friends can bench press 200 pounds each. How many more pounds can Superman bench press than his 10 friends combined?","def solution():
    #Superman can bench press 1,000 pounds
    superman_bench_press = 1000
    #10 of his friends can bench press 200 pounds each
    friends_bench_press = 10 * 200
    #The answer is
    result = superman_bench_press - friends_bench_press
    return result",-1000,Superman,mathwell_q367
1109,Taylor Swift has 1000 followers on Twitter. She has 2000 followers on Instagram. She has 3000 followers on TikTok. How many followers does she have in total?,"def solution():
    #Taylor Swift has 1000 followers on Twitter
    twitter_followers = 1000
    #She has 2000 followers on Instagram
    instagram_followers = 2000
    #She has 3000 followers on TikTok
    tiktok_followers = 3000
    #The answer is
    result = twitter_followers + instagram_followers + tiktok_followers
    return result",6000,Taylor Swift,llama_q1099
705,"Captain America can punch 100 times per minute. 
If he punches 100 times per minute for 10 minutes, 
how many punches has he thrown?","def solution():
    #Captain America can punch 100 times per minute
    punches_per_minute = 100
    #He punches for 10 minutes
    minutes = 10
    #The answer is
    result = punches_per_minute * minutes
    return result",1000,Captain America,mathwell_q682
227,Taylor Swift sells her albums for $10 each. She has 6 albums on her phone. How many albums can she sell to earn$300?,"def solution():
    # An album sells for $10 # The amount to earn is 300 # The number of albums is 6
    # The answer is 30
    return 20",20,Taylor Swift,llema_q227
1162,"The Power Rangers are eating pizza. The Red Ranger ate 4 slices, the Blue Ranger ate 3 slices, the Black Ranger ate 2 slices, and the Yellow Ranger ate 1 slice. 

How many slices of pizza did the Power Rangers eat in all?","def solution():
    #Red Ranger ate 4 slices
    red_ranger_slices = 4
    #Blue Ranger ate 3 slices
    blue_ranger_slices = 3
    #Black Ranger ate 2 slices
    black_ranger_slices = 2
    #Yellow Ranger ate 1 slice
    yellow_ranger_slices = 1
    #The answer is
    result = red_ranger_slices + blue_ranger_slices + black_ranger_slices + yellow_ranger_slices
    return result",10,Power Rangers,llama_q1151
128,"A volleyball team has 12 players. 

Each player has 4 kneepads. 

How many kneepads does the team have in total?","def solution():
    #The team has 12 players
    players = 12
    #Each player has 4 kneepads
    kneepads_per_player = 4
    #The answer is
    result = players * kneepads_per_player
    return result",48,volleyball,mathwell_q128
909,"Spiderman has 100 web shooters. He loses 3 web shooters per day, 5 days a week. How many web shooters does he have after 10 weeks?","def solution():
    #Spiderman started with 100 web shooters
    web_shooters_initial = 100
    #He loses 3 web shooters per day, 5 days a week
    web_shooters_lost_per_week = 3 * 5
    #There are 10 weeks
    num_weeks = 10
    #He loses
    web_shooters_lost = web_shooters_lost_per_week * num_weeks
    #Web shooters. The answer is
    result = web_shooters_initial - web_shooters_lost
    return result",-50,Spiderman,llama_q904
233,Iron Man has 250 amps of power. 100 amps of power are used to fly. 50 amps of power are used to fire a repulsor ray. 20 amps of power are used to fire a unibeam. How much power is left?,"def solution():
    #Iron Man started with 250 amps of power
    power_initial = 250
    #100 amps of power are used to fly
    power_fly = 100
    #50 amps of power are used to fire a repulsor ray
    power_repulsor = 50
    #20 amps of power are used to fire a unibeam
    power_unibeam = 20
    #The answer is
    result = power_initial - power_fly - power_repulsor - power_unibeam
    return result",80,Iron Man,llama_q233
9,A bag of candy has 50 pieces. Each piece is 1/4 of an ounce. How many ounces of candy are in the bag?,"def solution():
    # number of pieces of candy
    pieces = 50
    # each piece is 1/4 of an ounce
    piece_weight = 1/4
    # total weight of candy in ounces
    total_weight = pieces * piece_weight
    return total_weight",12.5,candy,mammoth_q9
128,"A car has a fuel efficiency of 20 miles per gallon. 
How many gallons of gas are needed to drive 500 miles?","def solution():
    #A car has a fuel efficiency of 20 miles per gallon
    fuel_efficiency = 20
    #How many gallons of gas are needed to drive 500 miles?
    gallons_needed = 500 / fuel_efficiency
    return gallons_needed",25.0,cars,llama_q128
