,question,answer,appropriateness,explanation,solution
133,"If you have 12 cookies and your friend has 3 cookies, how many cookies do you both have together?",15,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains no inappropriate content, is not strange or unrealistic, is free from grammar errors and typos, and requires basic addition to arrive at the final correct answer.",
134,"A pizza is cut into 8 equal slices. 3 slices are pepperoni, 2 slices are cheese, and 3 slices are veggie. How many slices of pepperoni pizza are there?",3,0.0,This question is inappropriate because it does not require any mathematical operations to solve. The number of pepperoni pizza slices is directly provided in the text of the question.,
135,"A unicorn has 100 rainbow hairs. They lost 20 hairs on Tuesday, 40 more on Wednesday, and 30 more on Thursday. How many rainbow hairs do they have now?",10,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains child-friendly fictional content, is free from grammar errors and typos, and requires basic subtraction to arrive at the final correct answer.",
136,"A cheerleading squad has 12 members. 8 of the cheerleaders are in the front line, and the rest are in the back line. How many cheerleaders are in the back line?",4,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students as it involves basic subtraction. The context is realistic and it contains no inappropriate language. It is not overly strange or unrealistic, contains no grammatical errors or typos, and requires a simple mathematical operation to arrive at the final correct answer.",
137,100 people are watching a soccer game. 20 of them are wearing hats. 30 of them are wearing sunglasses. 10 of them are wearing both hats and sunglasses. How many people are wearing neither hats nor sunglasses?,60,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, containing a problem relevant to sets and subsets which is a part of the curriculum (often dealing with Venn Diagrams). It requires the comprehension of addition and subtraction to determine the correct answer and no grammar errors or typos are present. It also contains appropriate language and is not strange or unrealistic.",
138,"Batman is in a 10-day intergalactic battle. 
He fights 5 aliens on the first day, 10 aliens on the second day, and 20 aliens on each of the remaining days. How many aliens does he fight in total?",175,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves a fictional scenario that is not overly strange or unrealistic for a fictional superhero context, contains appropriate language, is free from grammar errors and typos, and requires mathematical operations to solve, specifically repetitive addition or multiplication which is suitable for the K-8 curriculum.",
139,"LeBron James has 100 pairs of sneakers. 20 of them are Nike, 15 are Adidas, and 10 are Reebok. The rest of the sneakers are Converse. How many pairs of Converse sneakers does LeBron James have?",55,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
140,Batman has 1200 gold coins. He is to pay 100 gold coins to the government and 200 gold coins to the orphanage. How many gold coins does he have left?,900,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, as it involves basic subtraction which is suitable for this grade level. It contains appropriate language, is not strange or unrealistic within the context of a fictional character like Batman, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
141,"If 2500 V-Bucks cost $20, how many V-Bucks can you get for $100?",485,0.0,"The given answer of 485 is incorrect; therefore, it would confuse students trying to learn proper mathematical operations. Also, there is a formatting error in the question with a lack of space before the dollar amount ($100). The correct answer should be calculated by finding the unit price of one V-Buck and then multiplying by 100, which gives a correct answer of 12,500 V-Bucks for $100 (2500 V-Bucks for $20 implies you get 125 V-Bucks per dollar).",
142,Captain Marvel has 1000 photon blasts. She uses 250 of them to fight Ronan and 400 of them to fight Thanos. How many photon blasts does she have left?,350,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language for a classroom setting as it is situated within the context of a fictional superhero story, is not strange or unrealistic given the fictional context, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
143,A bag of candy has 12 pieces. 3/4 of the candy is eaten. How many pieces of candy are left?,3.0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves operations with fractions which is within the curriculum, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires a mathematical operation (multiplication of a whole number by a fraction and subtraction) to arrive at the final correct answer.",
144,Superman can fly 1000 miles per hour. He can fly 500 miles per hour faster than the speed of sound. How fast is the speed of sound?,500,1.0,"This question uses a fictional character to create a scenario where subtraction is needed to solve the problem (1000 mph - 500 mph). The mathematical operation of subtraction falls within the realm of K-8 education. Despite the unrealistic nature of a character flying at such speeds, the context is acceptable as a fictional premise often used to engage students in problem-solving. There are no grammar errors or typos, and the problem is solvable without a calculator.",
145,Black Panther has 100 vibranium daggers. He throws 10 of them at Captain America. He then throws 50 of them at Iron Man. How many daggers does he have left?,40,0.0,"This question involves a superhero using weapons to possibly harm other individuals, which is not appropriate content for a K-8 educational setting.",
146,"Unicorns love rainbows. There are 4 leopard unicorns, 6 spotted unicorns, and 4 pegasus unicorns. How many leopard, spotted, and pegasus unicorns are there?",14,1.0,"This question is imaginative and suitable as a simple addition problem for K-8 students. It is not overly strange for the fictional setting, contains no inappropriate content, has no grammatical errors or typos, and it requires mathematical operations (specifically addition) to arrive at the final correct answer.",
147,Naruto can run at a speed of 100 miles per hour. He has to travel 2200 miles to get to the next city. How many hours will it take him to get there?,22.0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involving a simple division operation to solve for time given distance and speed. It contains appropriate language, is not strange or unrealistic within the context of an exaggerated fictional character, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
148,"A candy store has 100 lollipops. 50 of the lollipops are cherry flavored, 30 of them are grape flavored, and the rest are strawberry flavored. How many strawberry flavored lollipops are there?",20,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, does not involve any strangeness or unrealistic scenarios, is free from grammar errors and typos, and requires mathematical operations (subtraction) to arrive at the final correct answer.",
149,A car travels 50 miles per hour for 2 hours. How far is the car from where it started?,100,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, assumes no unrealistic scenario, contains appropriate language, lacks grammar errors and typos, and requires the use of mathematical operations (multiplication) to arrive at the final correct answer.",
150,The lacrosse team lost 7 games and won 30 games during the season. How many games did the lacrosse team play in total?,37,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations (addition) to arrive at the final correct answer.",
151,"LeBron James is going to make shots and layups. He hits all 7 of his shots and makes all 10 of his layups in a game. If a made shot is worth 2 points and a made layup is worth 4 points, how many points does LeBron score in the game?",54,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
152,"The ice cream shop has 3 flavors: chocolate, vanilla, and strawberry. The shop offers 3 sizes: small, medium, and large. If you can only choose one of each, how many possible combinations of ice cream are there?",9,1.0,"This question is appropriate for K-8 students as it presents a simple exercise in multiplication to determine the total number of combinations, which is within the mathematical skills expected to be known by this age group. The content of the problem is engaging and realistic, free from any inappropriate language or scenario, and is clear of grammatical errors and typos.",
153,"Thor, the God of Thunder, is 1000 times stronger than a human. If a human can lift 1000 pounds, how many pounds can Thor lift?",1000000,1.0,"This question is within the realm of fictional scenarios that are acceptable for a math word problem in a K-8 setting. It poses no issues with strange or unrealistic situations beyond the scope of typical fictional settings. The mathematical operation required is multiplication, which is appropriate for K-8 students. The question and solution contain no inappropriate content, grammatical errors, or typos, and they require mathematical operations to achieve the final correct answer.",
154,Spiderman can swing 10 meters per second. He is 100 meters away from the Empire State Building. How many seconds does it take for Spiderman to swing to the Empire State Building?,10.0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves a fictional but believable context within the realm of common superhero stories, contains appropriate language, is free from grammar errors and typos, and requires a basic division operation to arrive at the final correct answer.",
155,The volleyball team has 100 shirts. 50 are green and 50 are blue. How many shirts does the volleyball team have?,100,0.0,This question is inappropriate to give to a student because it does not require any mathematical operations to solve. The total number of shirts is stated at the beginning of the problem.,
156,Captain America throws his shield 3 times in 1 minute. How many times can he throw his shield in 4 hours?,720,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is fictional yet not strange or unrealistic within its fictional context, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer by multiplying the throws per minute by the number of minutes in 4 hours.",
157,"Taylor Swift has 1000 albums. She sells 100 albums in the US, 200 albums in Canada, 300 albums in Mexico, and 400 albums in the UK. How many albums does she have left?",0,0.0,"This question is not based in reality, as it is not possible for one singer to have 1000 album titles, especially given the context of physical album sales in different countries. This exaggeration does not seem productive for an educational setting as it may mislead students about the music industry. Moreover, it's strange and distracts from the purpose of teaching subtraction.",
158,Unicorns can run 10 miles per hour. How many miles can 5 unicorns run in 3 hours?,150,0.0,"This question is flagged as not appropriate because it falls into the realm of being strange or unrealistic due to the fact that unicorns are mythical creatures and not real animals that students can relate to in a realistic context. While fictional scenarios can be engaging, this particular example does not lend itself well to educational appropriateness within a typical K-8 math curriculum.",
159,"The Pittsburgh Steelers have 11 players on the field. 3 of the players are from the 10th grade, 6 are from the 11th grade, and the rest are from the 12th grade. How many players are from the 12th grade?",2,1.0,"This question is appropriate for K-8 students as it presents a realistic scenario that doesn't contain any strange or unrealistic elements, uses appropriate language, is free from grammar errors or typos, and requires simple subtraction to arrive at the final correct answer.",
160,Steph Curry makes 10 three-pointers in 10 minutes. How many three-pointers can he make in 2 hours?,120.0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, does not contain strange or unrealistic figures, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
161,"If a person eats 3 scoops of ice cream in 5 minutes, how many scoops of ice cream can they eat in 10 minutes?",6.0,1.0,"This question is appropriate for K-8 students as it involves a simple proportional relationship that is solvable using basic multiplication or reasoning skills, is free from grammatical errors, does not contain any inappropriate content, and is not unrealistic for a fictional setting.",
162,Naruto's father was an ice priest and his mother was a ninja. Naruto is only half of ice priest and half of ninja. What is his percentage blood-line from ice priest?,0,0.0,"The question is inappropriate for two reasons. First, the premise is strange and not based in the reality of human heritage – being 'half ice priest' and 'half ninja' isn't a quantifiable genetic trait. Second, the provided answer '0' is incorrect; if Naruto is half ice priest, the percentage should be 50%, not 0%. The question also contains a typo ('half of ice priest' should likely read 'half ice priest') and may lead to confusion.",
163,How many more tires does a car with 14 wheels have when compared to a car with 8 wheels?,6,0.0,"This question should be flagged as strange or unrealistic. Cars typically have 4 wheels, and the scenario of comparing cars with 14 and 8 wheels is very uncommon and not practical. The lack of realism could confuse students and detract from the educational value of the problem.",
164,Captain America's shield weighs 20lbs and his helmet weighs 3lb. What is the total weight of his shield and his helmet?,23,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic within the context of a fictional scenario, is free from grammar errors and typos, and requires mathematical operations (addition) to arrive at the final correct answer.",
165,"A child has 100 candy bars. 20 of them are chocolate, 30 of them are sour, and 50 of them are gummy. How many chocolate and sour candy bars does the child have in total?",50,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves realistic quantities for a fictional setting, contains appropriate language, is free from grammar errors and typos, and requires addition to arrive at the final correct answer.",
166,Naruto has 1000 ramen. He gives 200 ramen to each of his 5 friends. How many ramen does Naruto have left?,0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students. It involves multiplication and subtraction, which are both operations within the scope of a K-8 math curriculum. The scenario given is slightly exaggerated but acceptable within the context of a fictional character for whom such a situation could be plausible. The question is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
167,There are 20 flavors of ice cream. You can choose up to 3 flavors. How many different ways can you choose the flavors?,1350,0.0,"This question is too difficult for a K-8 student. It involves understanding combinations and permutations, which is a topic generally not covered until higher levels of mathematics beyond the typical K-8 curriculum.",
168,Harry Potter has 7 books. Each book has 200 pages. How many total pages are there in all the books?,1400,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
169,"LeBron James has 20,000 points. He scored 5,000 more points than Steph Curry. He scored another 6,000 points. Now he has 9,000 fewer points than Steph Curry. How many points does Stephen Curry have?",42000,0.0,"This question should be flagged as inappropriate due to the unrealistic scenario depicted. The problem implies that LeBron's point total changes in relation to Steph Curry's in a way that is not possible. If LeBron initially has 20,000 points and scores more, his points should not be fewer than another player's without that other player also scoring. The scenario is confusing and unrealistic, as it doesn't maintain a consistent internal logic, and may create misconceptions about mathematical relationships for students.",
170,Captain Marvel has 1000 photon blasts. She used 200 of them to apprehend the Lizard. She then used 300 of them to apprehend the Green Goblin. How many photon blasts does she have left?,500,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic within the context of a superhero story, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
171,Patrick Mahomes has 20000 dollars. He spends 10000 dollars on a new car. He spends 5000 dollars on a new house. He spends 2000 dollars on a new TV. How much money does he have left?,3000,0.0,"This question is not appropriate for educational settings as the scenario it describes is strange and not realistic – it is highly unlikely for someone to spend only 5000 dollars on a new house, as the cost of houses is typically much higher.",
172,Naruto has 12 ramen. He eats 3 of them on each of his 2 meals. How many ramen does he have left?,6,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, relates to a familiar food item which is not strange or unrealistic, is free from grammar errors and typos, and requires basic subtraction and multiplication to arrive at the final correct answer.",
173,"LeBron James has 4 MVP awards, 3 NBA Finals MVP awards, and 2 Olympic gold medals. How many total awards does LeBron James have?",9,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, does not contain grammar errors or typos, and requires mathematical operations (addition) to arrive at the final correct answer.",
174,"Wonder Woman has 132 superpowers. 56 of them are in strength, 43 of them are in speed, and the rest are in wisdom. How many wisdom superpowers does Wonder Woman have?",33,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, asks for basic subtraction which is within the curriculum, contains appropriate language, and is not strange or unrealistic within the context of a fictional superhero setting. It is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
175,A Tyrannosaurus Rex is chasing a herd of Triceratops. The Tyrannosaurus Rex can run 20 miles per hour. The Triceratops can run 10 miles per hour. The Tyrannosaurus Rex is 500 yards behind the Triceratops. How long will it take the Tyrannosaurus Rex to catch up to the Triceratops?,50.0,0.0,"The question is framed within a fictional premise, which is acceptable, but it involves the unrealistic event of a Tyrannosaurus Rex chasing Triceratops, two species that did not coexist in the same period. Furthermore, the units of speed and distance are mixed (miles per hour versus yards), which may confuse students without providing proper conversion factors or expecting them to know these conversions, which is not age-appropriate for K-8 without additional information. Finally, the answer provided requires multiple steps including conversion of units and calculations of relative speed that might be too difficult for K-8 students, suggesting the need for a calculator.",
176,"Serena Williams has 8 pairs of shoes, 7 pairs of pants, and 6 shirts. How many outfits can she make?",336,1.0,"This question is appropriate for K-8 students. It requires students to understand and apply the concept of multiplication to find the total number of combinations possible (8 pairs of shoes * 7 pairs of pants * 6 shirts). The scenario is not strange or unrealistic, contains no inappropriate content, and is free from grammatical errors or typos.",
177,"Wonder Woman can fly at a speed of 1,000 miles per hour. She is flying from Gotham City to Metropolis, a distance of 2,000 miles. How long will it take her to make the trip?",2.0,1.0,"This question is appropriate for K-8 students as it involves basic division to solve for time, using the formula 'distance = rate x time'. The question does not contain inappropriate content, is not overly strange or unrealistic (within the context of a fictional world), is free from grammatical errors and typos, and requires a simple mathematical operation to arrive at the correct answer.",
178,"The volleyball team at the University of Michigan has 22 players. 5 of the players are seniors, 7 are juniors, and the rest are sophomores. How many sophomores are on the team?",10,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is realistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
179,"If you can eat 2 bowls of ice cream in 5 minutes, how many bowls of ice cream can you eat in 4 hours?",96.0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic within the fictional setting of a word problem, is free from grammar errors and typos, and it requires mathematical operations (multiplication and time conversion) to arrive at the final correct answer.",
180,"If you have 1000 candies and you give away 600 candies, 200 candies, and 100 candies to three different people, how many candies do you have left?",100,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, it involves basic subtraction, the context is realistic and understandable, it is free from grammar errors and typos, and it requires mathematical operations to arrive at the final correct answer.",
181,Iron Man has 1000 suits. He uses 10 suits per day. How many suits does he have left after 100 days?,0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves simple multiplication followed by subtraction, contains appropriate language, is not strange or unrealistic within a fictional context, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
182,Taylor Swift has 100 fans. 25% of them are male. 75% of the male fans are over 18. How many male fans are over 18?,18.75,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves percentage which is typically taught by the 8th grade, contains appropriate language, is not strange or unrealistic, and is free from grammar errors and typos. Additionally, it requires a multi-step mathematical operation to arrive at the final correct answer. The answer does involve a decimal which is within the grasp of K-8 students.",
183,A basketball player can dribble 200 times in 10 seconds. How many times can he dribble in 30 seconds?,600,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic (even if it assumes a very fast dribble rate, it could still be hypothetical), is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
184,Serena Williams has 23 Grand Slam single titles. She also has 14 Grand Slam double titles. How many total Grand Slam titles does she have?,37,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
185,"The Teenage Mutant Ninja Turtles are having a pizza party. They have 125 slices of pizza. 45 of them are cheese, 30 of them are pepperoni, and the rest are supreme. How many supreme pizza slices are there?",50,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic given the fictional characters involved, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
186,"100 cars are parked in a parking lot. 20 of them are Toyotas, 30 of them are Hondas, and 40 of them are Fords. The rest of the cars are Chevrolets. How many Chevrolets are in the parking lot?",10,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations (subtraction) to arrive at the final correct answer.",
187,"Thor can lift 15,000 lbs. If he can lift 100 times the weight of a car. 
How heavy is his car?",150,0.0,"The question contains a grammatical error in the second sentence which leads to confusion. Additionally, the scenario with Thor's superhuman strength is exaggerated, but the largest concern is the grammatical issue that makes the mathematical relationship unclear. The supposed fact that Thor can lift '100 times the weight of a car' is written as a separate sentence rather than being integrated into the problem, thus making the question grammatically incorrect and difficult to understand.",
188,Super Mario has 200 gold coins. He has 100 gold coins from mushrooms. He has 50 gold coins from stars. He has 20 gold coins from flowers. How many of his gold coins are from other sources?,30,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, fits within a fictional context acceptable in a classroom setting, is free from grammar errors and typos, and requires the use of subtraction, which is a mathematical operation taught in K-8, to arrive at the final correct answer.",
189,Taylor Swift sells her albums for $10 each. She has 6 albums on her phone. How many albums can she sell to earn $300?,30,0.0,"This question contains a factual inaccuracy; a person can only sell as many copies of an album as they possess. Since the question states Taylor Swift has 6 albums on her phone, she can't sell more than 6. It also might confuse students into thinking Taylor Swift sells albums directly from her phone rather than the real-world scenario of selling through retailers or online platforms. Lastly, the provided answer of '20' is incorrect. If albums are $10 each, to make $300, she would need to sell 30 albums, but the question already incorrectly limits the total to 6.",
190,"Wonder Woman has 100 lassos. She uses 18 lassos on Monday, 22 lassos on Tuesday, and 33 lassos on Wednesday. How many lassos does she have left?",27,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains language suitable for the classroom, relies on a fictional superhero context which is permissible for creative problem-solving, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
191,"In Minecraft, a villager needs 20 wheat for a food item and 10 iron ingots for a tool item. There are 100 wheat and 50 iron ingots. How many villagers can be fed and given tools?",5.0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, uses a fantasy game setting which is acceptable for the age group, is free from grammar errors and typos, and requires basic division to arrive at the final correct answer.",
192,"Thor can fly 1200 miles per hour. He can also run 500 miles per hour. If he flies for 2 hours and runs for 3 hours, how many miles has he covered?",3900,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students. It contains appropriate language, aligns with a fictional superhero setting thus making it not strange or unrealistic within that context, is free from grammar errors and typos, and requires mathematical operations (multiplication and addition) to arrive at the final correct answer.",
193,"A field hockey player has to pass a ball 10 times to his teammates to complete a drill. If he passes the ball 2 times on Monday, 3 times on Tuesday, 4 times on Wednesday and 1 time on Thursday, will he complete the drill?",True,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains no inappropriate content, is not strange or unrealistic, is free from grammar errors and typos, and requires basic addition and logical reasoning to arrive at the final correct answer.",
194,"LeBron James scored 20 points in the first quarter, 22 points in the second quarter, 19 points in the third quarter, and 15 points in the fourth quarter. How many points did he score in the game?",76,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires addition to arrive at the final correct answer.",
195,"There are 500 pieces of candy in a jar. 1/4 of the candy is red. 1/3 of the candy is green. 1/6 of the candy is blue. What fraction of the candy is not red, green, or blue?",1/4,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, working with common fractions and simple arithmetic. Even though the answer provided in the original format is not simplified, it represents a misunderstanding of the calculation. The correct answer is the simplified fraction which represents the portion of the candy that is not red, green, or blue. The question itself does not contain any inappropriate content, is not overly complex, strange, or unrealistic, and contains no grammatical errors or typos.",
196,Black Panther needs to get to the other side of the city to save the day. The quickest way is to take a cab. The trip will cost him 1000 dollars. He has 2000 dollars in his wallet. How much money will he have left after the trip?,1000,1.0,"This question involves basic subtraction and is written at an appropriate mathematical difficulty for K-8 students. It contains appropriate language, is not strange or unrealistic within the context of a fictional superhero setting, is free from grammar errors and typos, and requires the mathematical operation of subtraction to arrive at the final correct answer.",
197,A soccer team has 11 players. Each player has 2 feet. How many feet are there in total?,22,1.0,"This question is appropriate for K-8 students as it involves simple multiplication, which is within the mathematical operations learned by students in this grade range. The content is not violent, strange, or unrealistic, and it contains no grammatical errors or typos.",
198,"If a cookie jar has 10 cookies, and a child takes 2 cookies, how many cookies are left in the jar?",8,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations (subtraction) to arrive at the final correct answer.",
199,The Red Ranger has 100 Power Coins. He has 20 more Power Coins than the Blue Ranger. How many Power Coins does the Blue Ranger have?,80,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, containing appropriate language and a scenario that, while fictional, is not unrealistic within the context of a children's television series. It is free from grammar errors and typos, and requires a basic mathematical operation (subtraction) to arrive at the final correct answer.",
200,"There are 25 cars in a parking lot. 15% of the cars are red, 20% of the cars are blue, and the rest are yellow. How many of the cars are yellow?",16.25,0.0,"This question has been flagged as educationally inappropriate due to the fact that the answer is given in a decimal when the context of the question suggests a whole number should be expected (cars are whole units and can't be divided into fractions in a real-world scenario). Additionally, a question asking for a percentage of a whole number (25 cars) that does not result in another whole number is likely too difficult for K-8 students who are typically not allowed to use a calculator.",
201,Captain America can punch 5 times per second. He punches for 20 seconds. How many punches does Captain America land?,100,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves basic multiplication, contains no inappropriate language, is exaggerated but acceptable within a fictional superhero context, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
202,"LeBron James has scored 20 points on Monday, 15 points on Tuesday and 18 points on Wednesday. How many points has he scored in total?",53,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic given that it involves a realistic basketball scenario, is free from grammar errors and typos, and requires basic mathematical operations (addition) to arrive at the final correct answer.",
203,"A basketball player shoots 50% of his shots from the 3-point line. He makes 40% of those shots. If he takes 10 shots from the 3-point line, how many of those shots does he make?",4.0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, requiring understanding of percentages and multiplication. It is realistic as it pertains to a basketball scenario that is conceivable, contains appropriate language, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
204,"Train A is traveling at a constant speed of 60 miles per hour. Train B is traveling at a constant speed of 40 miles per hour. If they are moving in the same direction, how much faster is Train A than Train B?",20,1.0,"This question is appropriate for K-8 students as it involves subtraction, a mathematical operation that is suitable for this grade level. It is not strange or unrealistic, contains no inappropriate content, is free from grammatical errors and typos, and requires a simple mathematical operation to solve.",
205,Lebron James is a basketball player. He is 6 feet and 9 inches tall. He is 3 inches taller than Kevin Durant. How tall is Kevin Durant?,78,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, it contains appropriate language, it is realistic and is free from grammar errors and typos. The question requires mathematical operations to arrive at the final correct answer, which involves converting feet to inches and performing subtraction.",
206,"The Golden State Warriors are playing the Boston Celtics. 

The Warriors scored 40 points in the first quarter, 20 points in the second quarter, 15 points in the third quarter, and 10 points in the fourth quarter. 

How many points did the Warriors score in total?",85,1.0,"This question is suitable for K-8 students. It is a realistic scenario, uses addition which is an appropriate mathematical operation for this grade level, contains appropriate content for a classroom, and is free of grammatical errors and typos.",
207,"In 2015, the people of the fictional country of Wakanda are living a peaceful and prosperous life. T'Challa, the Black Panther, reigns as their king. Wakanda is divided into 5 provinces. Each province is divided into 3 tribes. Each tribe is divided into 15 clans. How many clans are in Wakanda?",225,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, encompasses a fictional and culturally relevant setting that could engage students, contains no inappropriate content, is free from grammatical errors and typos, and requires mathematical operations—specifically multiplication—to arrive at the final correct answer.",
208,Patrick Mahomes is a professional football player. He is 6 feet and 3 inches tall. 1 inch is 2.54 centimeters. How many centimeters tall is Patrick Mahomes?,190.5,1.0,"This question is appropriate for K-8 students as it involves basic multiplication and addition that is within their curriculum. Students will convert feet to inches, add additional inches, and then convert the total inches to centimeters, which requires knowledge of multiplication, addition, and an understanding of measurement units. It is realistic, free from inappropriate content, and does not contain grammatical errors or typos.",
209,"The Black Panther movie made $1.3 billion dollars. 20% of the revenue came from the United States, and 10% came from China. How much revenue came from the rest of the world?",910000000.0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves operations with percentages which is suitable for upper elementary or middle school students, contains appropriate language, and is not strange or unrealistic as it pertains to a real-world scenario. There are no grammar errors or typos, and it requires mathematical operations to arrive at the final correct answer.",
210,"Captain Marvel has 15 lassos. 5 of them are 15 feet long, 3 of them are 20 feet long, and the rest are 25 feet long. How many feet of lasso does Captain Marvel have?",310,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic for a fictional setting, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
211,Naruto is a ninja. He can perform 1000 jutsus per day. He needs 2000 jutsus to save the world. How many days does he need to save the world?,2,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is within the range of fictional scenarios acceptable in educational settings, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
212,"A 2015 Ford Escape has a fuel tank capacity of 17.5 gallons. On Monday, the Escape was topped off. If the Escape gets 25 miles to a gallon on average, how many miles can the owner travel that week before needing to stop to fill the tank?",437.5,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves multiplication which is a skill taught within the K-8 range, contains realistic information, does not have inappropriate content, is free from grammatical errors or typos, and requires mathematical operations to arrive at the final correct answer.",
213,"If 800 people come to a football game, 200 people are in the stands, 300 people are in the aisle, and the rest are in the parking lot. How many people are in the parking lot?",300,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, requires basic subtraction to solve, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and does require mathematical operations to arrive at the final correct answer.",
