,model,question_number,solvability,accuracy,appropriateness,topic,notes,addition,subtraction,multiplication,division,fractions,decimals,no_ops,total_ops,good,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,question,solution,answer,topic_y,Unnamed: 0.4,Unnamed: 0.5,text,acc_text
60,mathwell,mathwell_q1350,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,169.0,1408,Super Mario has 100 coins. 20 of them are from the Mushroom Kingdom. 30 of them are from the Koopa Kingdom. 10 of them are from the Star Kingdom. The rest are from the Fire Kingdom. How many coins does Super Mario have from the Fire Kingdom?,"def solution():
    #Super Mario has 100 coins
    coins = 100
    #20 of them are from the Mushroom Kingdom
    mushroom_kingdom_coins = 20
    #30 of them are from the Koopa Kingdom
    koopa_kingdom_coins = 30
    #10 of them are from the Star Kingdom
    star_kingdom_coins = 10
    #The rest are from the Fire Kingdom
    fire_kingdom_coins = coins - mushroom_kingdom_coins - koopa_kingdom_coins - star_kingdom_coins
    return fire_kingdom_coins",40.0,Super Mario,,,"Question: Super Mario has 100 coins. 20 of them are from the Mushroom Kingdom. 30 of them are from the Koopa Kingdom. 10 of them are from the Star Kingdom. The rest are from the Fire Kingdom. How many coins does Super Mario have from the Fire Kingdom?
Answer: 40.0","Question: Super Mario has 100 coins. 20 of them are from the Mushroom Kingdom. 30 of them are from the Koopa Kingdom. 10 of them are from the Star Kingdom. The rest are from the Fire Kingdom. How many coins does Super Mario have from the Fire Kingdom?
Solution:
def solution():
    #Super Mario has 100 coins
    coins = 100
    #20 of them are from the Mushroom Kingdom
    mushroom_kingdom_coins = 20
    #30 of them are from the Koopa Kingdom
    koopa_kingdom_coins = 30
    #10 of them are from the Star Kingdom
    star_kingdom_coins = 10
    #The rest are from the Fire Kingdom
    fire_kingdom_coins = coins - mushroom_kingdom_coins - koopa_kingdom_coins - star_kingdom_coins
    return fire_kingdom_coins"
61,mathwell,mathwell_q594,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,173.0,615,Batman has 1000 Batarangs. He uses 200 of them to fight the Joker. He then uses 300 of them to fight Bane. How many Batarangs does he have left?,"def solution():
    #Batman has 1000 Batarangs
    batarangs_initial = 1000
    #He uses 200 of them to fight the Joker
    batarangs_used_against_joker = 200
    #He then uses 300 of them to fight Bane
    batarangs_used_against_bane = 300
    #The answer is
    result = batarangs_initial - batarangs_used_against_joker - batarangs_used_against_bane
    return result",500.0,Batman,,,"Question: Batman has 1000 Batarangs. He uses 200 of them to fight the Joker. He then uses 300 of them to fight Bane. How many Batarangs does he have left?
Answer: 500.0","Question: Batman has 1000 Batarangs. He uses 200 of them to fight the Joker. He then uses 300 of them to fight Bane. How many Batarangs does he have left?
Solution:
def solution():
    #Batman has 1000 Batarangs
    batarangs_initial = 1000
    #He uses 200 of them to fight the Joker
    batarangs_used_against_joker = 200
    #He then uses 300 of them to fight Bane
    batarangs_used_against_bane = 300
    #The answer is
    result = batarangs_initial - batarangs_used_against_joker - batarangs_used_against_bane
    return result"
63,mathwell,mathwell_q1164,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,202.0,1208,Pikachu has 100 thunderbolts. He used 20 thunderbolts in a battle with Squirtle. He then used 30 thunderbolts in a battle with Bulbasaur. How many thunderbolts does Pikachu have left?,"def solution():
    #Pikachu started with 100 thunderbolts
    thunderbolts_initial = 100
    #He used 20 in a battle with Squirtle
    thunderbolts_used_vs_squirtle = 20
    #And 30 in a battle with Bulbasaur
    thunderbolts_used_vs_bulbasaur = 30
    #The answer is
    result = thunderbolts_initial - thunderbolts_used_vs_squirtle - thunderbolts_used_vs_bulbasaur
    return result",50.0,Pokémon,,,"Question: Pikachu has 100 thunderbolts. He used 20 thunderbolts in a battle with Squirtle. He then used 30 thunderbolts in a battle with Bulbasaur. How many thunderbolts does Pikachu have left?
Answer: 50.0","Question: Pikachu has 100 thunderbolts. He used 20 thunderbolts in a battle with Squirtle. He then used 30 thunderbolts in a battle with Bulbasaur. How many thunderbolts does Pikachu have left?
Solution:
def solution():
    #Pikachu started with 100 thunderbolts
    thunderbolts_initial = 100
    #He used 20 in a battle with Squirtle
    thunderbolts_used_vs_squirtle = 20
    #And 30 in a battle with Bulbasaur
    thunderbolts_used_vs_bulbasaur = 30
    #The answer is
    result = thunderbolts_initial - thunderbolts_used_vs_squirtle - thunderbolts_used_vs_bulbasaur
    return result"
64,mathwell,mathwell_q1394,1,1.0,1.0,1,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,,,208.0,1455,"Captain Marvel punches 100 times a minute. She punches for 5 minutes, then 200 more times. How many times has she punched?","def solution():
    #Captain Marvel punches 100 times a minute
    punches_per_minute = 100
    #She punches for 5 minutes
    minutes = 5
    #She then punches 200 more times
    punches_additional = 200
    #The answer is
    result = punches_per_minute * minutes + punches_additional
    return result",700.0,Captain Marvel,,,"Question: Captain Marvel punches 100 times a minute. She punches for 5 minutes, then 200 more times. How many times has she punched?
Answer: 700.0","Question: Captain Marvel punches 100 times a minute. She punches for 5 minutes, then 200 more times. How many times has she punched?
Solution:
def solution():
    #Captain Marvel punches 100 times a minute
    punches_per_minute = 100
    #She punches for 5 minutes
    minutes = 5
    #She then punches 200 more times
    punches_additional = 200
    #The answer is
    result = punches_per_minute * minutes + punches_additional
    return result"
65,mathwell,mathwell_q922,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,217.0,954,"The airport has 1000 planes. 
200 of them are for international flights. 
300 of them are for domestic flights. 
The rest are for charter flights. 
How many planes are for charter flights?","def solution():
    #Total number of planes
    total_planes = 1000
    #Number of planes for international flights
    international_planes = 200
    #Number of planes for domestic flights
    domestic_planes = 300
    #The answer is
    result = total_planes - international_planes - domestic_planes
    return result",500.0,planes,,,"Question: The airport has 1000 planes. 
200 of them are for international flights. 
300 of them are for domestic flights. 
The rest are for charter flights. 
How many planes are for charter flights?
Answer: 500.0","Question: The airport has 1000 planes. 
200 of them are for international flights. 
300 of them are for domestic flights. 
The rest are for charter flights. 
How many planes are for charter flights?
Solution:
def solution():
    #Total number of planes
    total_planes = 1000
    #Number of planes for international flights
    international_planes = 200
    #Number of planes for domestic flights
    domestic_planes = 300
    #The answer is
    result = total_planes - international_planes - domestic_planes
    return result"
66,mathwell,mathwell_q1084,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,218.0,1124,Spiderman has 100 spider webs. He uses 20 spider webs to trap a criminal. He then uses 30 spider webs to save a kitten. How many spider webs does he have left?,"def solution():
    #Spiderman started with 100 spider webs
    spider_webs_initial = 100
    #He used 20 to trap a criminal
    spider_webs_criminal = 20
    #He used 30 to save a kitten
    spider_webs_kitten = 30
    #The answer is
    result = spider_webs_initial - spider_webs_criminal - spider_webs_kitten
    return result",50.0,Spiderman,,,"Question: Spiderman has 100 spider webs. He uses 20 spider webs to trap a criminal. He then uses 30 spider webs to save a kitten. How many spider webs does he have left?
Answer: 50.0","Question: Spiderman has 100 spider webs. He uses 20 spider webs to trap a criminal. He then uses 30 spider webs to save a kitten. How many spider webs does he have left?
Solution:
def solution():
    #Spiderman started with 100 spider webs
    spider_webs_initial = 100
    #He used 20 to trap a criminal
    spider_webs_criminal = 20
    #He used 30 to save a kitten
    spider_webs_kitten = 30
    #The answer is
    result = spider_webs_initial - spider_webs_criminal - spider_webs_kitten
    return result"
67,mathwell,mathwell_q845,1,1.0,1.0,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,221.0,873,"Kobe Bryant, a professional basketball player, has 5 NBA championship rings. He has 2 more rings than Shaquille O'Neal. How many rings does Shaquille O'Neal have?","def solution():
    #Kobe has 5 rings
    kobe_rings = 5
    #He has 2 more than Shaq
    shaq_rings = kobe_rings - 2
    #The answer is
    result = shaq_rings
    return result",3.0,basketball,,,"Question: Kobe Bryant, a professional basketball player, has 5 NBA championship rings. He has 2 more rings than Shaquille O'Neal. How many rings does Shaquille O'Neal have?
Answer: 3.0","Question: Kobe Bryant, a professional basketball player, has 5 NBA championship rings. He has 2 more rings than Shaquille O'Neal. How many rings does Shaquille O'Neal have?
Solution:
def solution():
    #Kobe has 5 rings
    kobe_rings = 5
    #He has 2 more than Shaq
    shaq_rings = kobe_rings - 2
    #The answer is
    result = shaq_rings
    return result"
68,mathwell,mathwell_q358,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,231.0,364,"Steve has 1000 Minecraft coins. He spends 200 coins on a new outfit, 300 coins on a new pickaxe, and 100 coins on a new shovel. How many coins does he have left?","def solution():
    #Steve started with 1000 coins
    coins_initial = 1000
    #He spent 200 coins on a new outfit
    coins_spent_outfit = 200
    #He spent 300 coins on a new pickaxe
    coins_spent_pickaxe = 300
    #He spent 100 coins on a new shovel
    coins_spent_shovel = 100
    #The answer is
    result = coins_initial - coins_spent_outfit - coins_spent_pickaxe - coins_spent_shovel
    return result",400.0,Minecraft,,,"Question: Steve has 1000 Minecraft coins. He spends 200 coins on a new outfit, 300 coins on a new pickaxe, and 100 coins on a new shovel. How many coins does he have left?
Answer: 400.0","Question: Steve has 1000 Minecraft coins. He spends 200 coins on a new outfit, 300 coins on a new pickaxe, and 100 coins on a new shovel. How many coins does he have left?
Solution:
def solution():
    #Steve started with 1000 coins
    coins_initial = 1000
    #He spent 200 coins on a new outfit
    coins_spent_outfit = 200
    #He spent 300 coins on a new pickaxe
    coins_spent_pickaxe = 300
    #He spent 100 coins on a new shovel
    coins_spent_shovel = 100
    #The answer is
    result = coins_initial - coins_spent_outfit - coins_spent_pickaxe - coins_spent_shovel
    return result"
70,mathwell,mathwell_q192,1,1.0,1.0,1,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1,,,233.0,194,Spiderman has 20 spider-bots. He deploys 5 spider-bots on each of 3 rooftops. How many spider-bots does he have left?,"def solution():
    #Spiderman started with 20 spider-bots
    spider_bots_initial = 20
    #He deploys 5 spider-bots on each of 3 rooftops
    spider_bots_deployed = 5 * 3
    #The answer is
    result = spider_bots_initial - spider_bots_deployed
    return result",5.0,Spiderman,,,"Question: Spiderman has 20 spider-bots. He deploys 5 spider-bots on each of 3 rooftops. How many spider-bots does he have left?
Answer: 5.0","Question: Spiderman has 20 spider-bots. He deploys 5 spider-bots on each of 3 rooftops. How many spider-bots does he have left?
Solution:
def solution():
    #Spiderman started with 20 spider-bots
    spider_bots_initial = 20
    #He deploys 5 spider-bots on each of 3 rooftops
    spider_bots_deployed = 5 * 3
    #The answer is
    result = spider_bots_initial - spider_bots_deployed
    return result"
71,mathwell,mathwell_q415,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,234.0,421,"Naruto has 1000 ryo. He spends 200 ryo on a new headband, 300 ryo on a new outfit, and 100 ryo on a new backpack. How many ryo does he have left?","def solution():
    #Naruto started with 1000 ryo
    ryo_initial = 1000
    #He spends 200 ryo on a new headband
    ryo_headband = 200
    #300 ryo on a new outfit
    ryo_outfit = 300
    #100 ryo on a new backpack
    ryo_backpack = 100
    #The answer is
    result = ryo_initial - ryo_headband - ryo_outfit - ryo_backpack
    return result",400.0,Naruto,,,"Question: Naruto has 1000 ryo. He spends 200 ryo on a new headband, 300 ryo on a new outfit, and 100 ryo on a new backpack. How many ryo does he have left?
Answer: 400.0","Question: Naruto has 1000 ryo. He spends 200 ryo on a new headband, 300 ryo on a new outfit, and 100 ryo on a new backpack. How many ryo does he have left?
Solution:
def solution():
    #Naruto started with 1000 ryo
    ryo_initial = 1000
    #He spends 200 ryo on a new headband
    ryo_headband = 200
    #300 ryo on a new outfit
    ryo_outfit = 300
    #100 ryo on a new backpack
    ryo_backpack = 100
    #The answer is
    result = ryo_initial - ryo_headband - ryo_outfit - ryo_backpack
    return result"
72,mathwell,mathwell_q875,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,236.0,904,"A volleyball team has 12 players. 3 of the players are setters, 5 of the players are hitters, and the rest are blockers. How many players are blockers?","def solution():
    #A volleyball team has 12 players
    total_players = 12
    #3 of the players are setters
    setters = 3
    #5 of the players are hitters
    hitters = 5
    #The rest are blockers
    blockers = total_players - setters - hitters
    #The answer is
    result = blockers
    return result",4.0,volleyball,,,"Question: A volleyball team has 12 players. 3 of the players are setters, 5 of the players are hitters, and the rest are blockers. How many players are blockers?
Answer: 4.0","Question: A volleyball team has 12 players. 3 of the players are setters, 5 of the players are hitters, and the rest are blockers. How many players are blockers?
Solution:
def solution():
    #A volleyball team has 12 players
    total_players = 12
    #3 of the players are setters
    setters = 3
    #5 of the players are hitters
    hitters = 5
    #The rest are blockers
    blockers = total_players - setters - hitters
    #The answer is
    result = blockers
    return result"
73,mathwell,mathwell_q1148,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,237.0,1192,"1000 cars are in a parking lot. 200 of the cars are Hondas, 300 of the cars are Toyotas, and the rest are Nissans. How many of the cars are Nissans?","def solution():
    #Total cars
    total_cars = 1000
    #Hondas
    hondas = 200
    #Toyotas
    toyotas = 300
    #Nissans are the rest
    nissans = total_cars - hondas - toyotas
    return nissans",500.0,cars,,,"Question: 1000 cars are in a parking lot. 200 of the cars are Hondas, 300 of the cars are Toyotas, and the rest are Nissans. How many of the cars are Nissans?
Answer: 500.0","Question: 1000 cars are in a parking lot. 200 of the cars are Hondas, 300 of the cars are Toyotas, and the rest are Nissans. How many of the cars are Nissans?
Solution:
def solution():
    #Total cars
    total_cars = 1000
    #Hondas
    hondas = 200
    #Toyotas
    toyotas = 300
    #Nissans are the rest
    nissans = total_cars - hondas - toyotas
    return nissans"
74,mathwell,mathwell_q1070,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,239.0,1110,"LeBron James has 30,000 points, 9,000 rebounds, and 9,000 assists. 
How many more points does he have than rebounds and assists combined?","def solution():
    #LeBron James has 30,000 points
    lebron_points = 30000
    #9,000 rebounds
    lebron_rebounds = 9000
    #9,000 assists
    lebron_assists = 9000
    #The answer is
    result = lebron_points - lebron_rebounds - lebron_assists
    return result",12000.0,LeBron James,,,"Question: LeBron James has 30,000 points, 9,000 rebounds, and 9,000 assists. 
How many more points does he have than rebounds and assists combined?
Answer: 12000.0","Question: LeBron James has 30,000 points, 9,000 rebounds, and 9,000 assists. 
How many more points does he have than rebounds and assists combined?
Solution:
def solution():
    #LeBron James has 30,000 points
    lebron_points = 30000
    #9,000 rebounds
    lebron_rebounds = 9000
    #9,000 assists
    lebron_assists = 9000
    #The answer is
    result = lebron_points - lebron_rebounds - lebron_assists
    return result"
76,mathwell,mathwell_q464,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,261.0,471,"Captain Marvel has 1000 followers. 200 of her followers are from the United States, 150 are from Brazil, and the rest are from other countries. How many of her followers are not from the United States or Brazil?","def solution():
    #Captain Marvel has 1000 followers
    followers_total = 1000
    #200 of her followers are from the United States
    followers_us = 200
    #150 are from Brazil
    followers_brazil = 150
    #The rest are from other countries
    followers_other = followers_total - followers_us - followers_brazil
    #The answer is
    result = followers_other
    return result",650.0,Captain Marvel,,,"Question: Captain Marvel has 1000 followers. 200 of her followers are from the United States, 150 are from Brazil, and the rest are from other countries. How many of her followers are not from the United States or Brazil?
Answer: 650.0","Question: Captain Marvel has 1000 followers. 200 of her followers are from the United States, 150 are from Brazil, and the rest are from other countries. How many of her followers are not from the United States or Brazil?
Solution:
def solution():
    #Captain Marvel has 1000 followers
    followers_total = 1000
    #200 of her followers are from the United States
    followers_us = 200
    #150 are from Brazil
    followers_brazil = 150
    #The rest are from other countries
    followers_other = followers_total - followers_us - followers_brazil
    #The answer is
    result = followers_other
    return result"
77,mathwell,mathwell_q743,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,268.0,767,"The volleyball team has 12 players. 5 of them are setters, 4 are hitters, and the rest are blockers. How many blockers are there?","def solution():
    #The team has 12 members
    team_members = 12
    #5 of them are setters
    setters = 5
    #4 of them are hitters
    hitters = 4
    #The rest are blockers
    blockers = team_members - setters - hitters
    return blockers",3.0,volleyball,,,"Question: The volleyball team has 12 players. 5 of them are setters, 4 are hitters, and the rest are blockers. How many blockers are there?
Answer: 3.0","Question: The volleyball team has 12 players. 5 of them are setters, 4 are hitters, and the rest are blockers. How many blockers are there?
Solution:
def solution():
    #The team has 12 members
    team_members = 12
    #5 of them are setters
    setters = 5
    #4 of them are hitters
    hitters = 4
    #The rest are blockers
    blockers = team_members - setters - hitters
    return blockers"
78,mathwell,mathwell_q799,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,270.0,825,"2000 planes are at an airport. 400 of them are private planes, 700 of them are commercial airliners, and the rest are military planes. How many military planes are there?","def solution():
    #2000 planes are at an airport
    total_planes = 2000
    #400 of them are private planes
    private_planes = 400
    #700 of them are commercial airliners
    commercial_airliners = 700
    #The rest are military planes
    military_planes = total_planes - private_planes - commercial_airliners
    #The answer is
    result = military_planes
    return result",900.0,planes,,,"Question: 2000 planes are at an airport. 400 of them are private planes, 700 of them are commercial airliners, and the rest are military planes. How many military planes are there?
Answer: 900.0","Question: 2000 planes are at an airport. 400 of them are private planes, 700 of them are commercial airliners, and the rest are military planes. How many military planes are there?
Solution:
def solution():
    #2000 planes are at an airport
    total_planes = 2000
    #400 of them are private planes
    private_planes = 400
    #700 of them are commercial airliners
    commercial_airliners = 700
    #The rest are military planes
    military_planes = total_planes - private_planes - commercial_airliners
    #The answer is
    result = military_planes
    return result"
79,mathwell,mathwell_q1030,1,1.0,1.0,1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,272.0,1068,Patrick Mahomes has 400 passing yards. He has 200 more passing yards than rushing yards. How many rushing yards does he have?,"def solution():
    #Patrick Mahomes has 400 passing yards
    passing_yards = 400
    #He has 200 more passing yards than rushing yards
    rushing_yards = passing_yards - 200
    #The answer is
    result = rushing_yards
    return result",200.0,Patrick Mahomes,,,"Question: Patrick Mahomes has 400 passing yards. He has 200 more passing yards than rushing yards. How many rushing yards does he have?
Answer: 200.0","Question: Patrick Mahomes has 400 passing yards. He has 200 more passing yards than rushing yards. How many rushing yards does he have?
Solution:
def solution():
    #Patrick Mahomes has 400 passing yards
    passing_yards = 400
    #He has 200 more passing yards than rushing yards
    rushing_yards = passing_yards - 200
    #The answer is
    result = rushing_yards
    return result"
80,mathwell,mathwell_q1249,1,1.0,1.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,,,273.0,1300,"A dog barks 10 times per minute. 

If 500 dogs bark for 10 minutes, how many barks are there in total?","def solution():
    #A dog barks 10 times per minute
    barks_per_minute = 10
    #500 dogs bark for 10 minutes
    dogs = 500
    minutes = 10
    #The answer is
    result = barks_per_minute * dogs * minutes
    return result",50000.0,dogs,,,"Question: A dog barks 10 times per minute. 

If 500 dogs bark for 10 minutes, how many barks are there in total?
Answer: 50000.0","Question: A dog barks 10 times per minute. 

If 500 dogs bark for 10 minutes, how many barks are there in total?
Solution:
def solution():
    #A dog barks 10 times per minute
    barks_per_minute = 10
    #500 dogs bark for 10 minutes
    dogs = 500
    minutes = 10
    #The answer is
    result = barks_per_minute * dogs * minutes
    return result"
81,mathwell,mathwell_q762,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,280.0,786,"100 unicorns were at a unicorn convention. 20 of the unicorns were pink, 30 were purple, and 10 were both pink and purple. How many unicorns were not pink or purple?","def solution():
    #Total unicorns
    total_unicorns = 100
    #Pink unicorns
    pink_unicorns = 20
    #Purple unicorns
    purple_unicorns = 30
    #Both pink and purple unicorns
    both_unicorns = 10
    #Not pink or purple unicorns are
    neither_unicorns = total_unicorns - pink_unicorns - purple_unicorns + both_unicorns
    return neither_unicorns",60.0,unicorns,,,"Question: 100 unicorns were at a unicorn convention. 20 of the unicorns were pink, 30 were purple, and 10 were both pink and purple. How many unicorns were not pink or purple?
Answer: 60.0","Question: 100 unicorns were at a unicorn convention. 20 of the unicorns were pink, 30 were purple, and 10 were both pink and purple. How many unicorns were not pink or purple?
Solution:
def solution():
    #Total unicorns
    total_unicorns = 100
    #Pink unicorns
    pink_unicorns = 20
    #Purple unicorns
    purple_unicorns = 30
    #Both pink and purple unicorns
    both_unicorns = 10
    #Not pink or purple unicorns are
    neither_unicorns = total_unicorns - pink_unicorns - purple_unicorns + both_unicorns
    return neither_unicorns"
82,mathwell,mathwell_q682,1,1.0,1.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,,,282.0,705,"Captain America can punch 100 times per minute. 
If he punches 100 times per minute for 10 minutes, 
how many punches has he thrown?","def solution():
    #Captain America can punch 100 times per minute
    punches_per_minute = 100
    #He punches for 10 minutes
    minutes = 10
    #The answer is
    result = punches_per_minute * minutes
    return result",1000.0,Captain America,,,"Question: Captain America can punch 100 times per minute. 
If he punches 100 times per minute for 10 minutes, 
how many punches has he thrown?
Answer: 1000.0","Question: Captain America can punch 100 times per minute. 
If he punches 100 times per minute for 10 minutes, 
how many punches has he thrown?
Solution:
def solution():
    #Captain America can punch 100 times per minute
    punches_per_minute = 100
    #He punches for 10 minutes
    minutes = 10
    #The answer is
    result = punches_per_minute * minutes
    return result"
83,mathwell,mathwell_q128,1,1.0,1.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,,,287.0,128,"A volleyball team has 12 players. 

Each player has 4 kneepads. 

How many kneepads does the team have in total?","def solution():
    #The team has 12 players
    players = 12
    #Each player has 4 kneepads
    kneepads_per_player = 4
    #The answer is
    result = players * kneepads_per_player
    return result",48.0,volleyball,,,"Question: A volleyball team has 12 players. 

Each player has 4 kneepads. 

How many kneepads does the team have in total?
Answer: 48.0","Question: A volleyball team has 12 players. 

Each player has 4 kneepads. 

How many kneepads does the team have in total?
Solution:
def solution():
    #The team has 12 players
    players = 12
    #Each player has 4 kneepads
    kneepads_per_player = 4
    #The answer is
    result = players * kneepads_per_player
    return result"
84,mathwell,mathwell_q817,1,1.0,1.0,1,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,,,296.0,843,Taylor Swift has 2000 followers on Twitter. She gains 200 new followers per day. How many followers will she have in 5 days?,"def solution():
    #Taylor Swift has 2000 followers
    followers_initial = 2000
    #She gains 200 new followers per day
    followers_gained_per_day = 200
    #The answer is
    result = followers_initial + 5 * followers_gained_per_day
    return result",3000.0,Taylor Swift,,,"Question: Taylor Swift has 2000 followers on Twitter. She gains 200 new followers per day. How many followers will she have in 5 days?
Answer: 3000.0","Question: Taylor Swift has 2000 followers on Twitter. She gains 200 new followers per day. How many followers will she have in 5 days?
Solution:
def solution():
    #Taylor Swift has 2000 followers
    followers_initial = 2000
    #She gains 200 new followers per day
    followers_gained_per_day = 200
    #The answer is
    result = followers_initial + 5 * followers_gained_per_day
    return result"
85,mathwell,mathwell_q30,1,1.0,1.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,,,300.0,30,Superman can leap 1.5 miles in a single bound. How many miles can he leap in 12 bounds?,"def solution():
    #Superman can leap 1.5 miles in a single bound
    miles_per_bound = 1.5
    #How many miles can he leap in 12 bounds?
    result = miles_per_bound * 12
    return result",18.0,Superman,,,"Question: Superman can leap 1.5 miles in a single bound. How many miles can he leap in 12 bounds?
Answer: 18.0","Question: Superman can leap 1.5 miles in a single bound. How many miles can he leap in 12 bounds?
Solution:
def solution():
    #Superman can leap 1.5 miles in a single bound
    miles_per_bound = 1.5
    #How many miles can he leap in 12 bounds?
    result = miles_per_bound * 12
    return result"
86,mathwell,mathwell_q244,1,1.0,1.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,,,329.0,248,"Wonder Woman can lasso 12 bad guys at a time. 
She can do this 3 times per day. 
How many bad guys can she lasso in 5 days?","def solution():
    #Wonder Woman can lasso 12 bad guys at a time
    bad_guys_at_a_time = 12
    #She can do this 3 times a day
    times_a_day = 3
    #For 5 days
    days = 5
    #The answer is
    result = bad_guys_at_a_time * times_a_day * days
    return result",180.0,Wonder Woman,,,"Question: Wonder Woman can lasso 12 bad guys at a time. 
She can do this 3 times per day. 
How many bad guys can she lasso in 5 days?
Answer: 180.0","Question: Wonder Woman can lasso 12 bad guys at a time. 
She can do this 3 times per day. 
How many bad guys can she lasso in 5 days?
Solution:
def solution():
    #Wonder Woman can lasso 12 bad guys at a time
    bad_guys_at_a_time = 12
    #She can do this 3 times a day
    times_a_day = 3
    #For 5 days
    days = 5
    #The answer is
    result = bad_guys_at_a_time * times_a_day * days
    return result"
87,mathwell,mathwell_q1279,1,1.0,1.0,1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,,331.0,1333,"Mario has 100 coins. 
He spends 20 coins to buy a mushroom, 
10 coins to buy a flower, and 
20 coins to buy a star. 
How many coins does he have left?","def solution():
    #Mario has 100 coins
    coins_initial = 100
    #He spends 20 coins to buy a mushroom
    coins_spent_mushroom = 20
    #10 coins to buy a flower
    coins_spent_flower = 10
    #20 coins to buy a star
    coins_spent_star = 20
    #The answer is
    result = coins_initial - coins_spent_mushroom - coins_spent_flower - coins_spent_star
    return result",50.0,Super Mario,,,"Question: Mario has 100 coins. 
He spends 20 coins to buy a mushroom, 
10 coins to buy a flower, and 
20 coins to buy a star. 
How many coins does he have left?
Answer: 50.0","Question: Mario has 100 coins. 
He spends 20 coins to buy a mushroom, 
10 coins to buy a flower, and 
20 coins to buy a star. 
How many coins does he have left?
Solution:
def solution():
    #Mario has 100 coins
    coins_initial = 100
    #He spends 20 coins to buy a mushroom
    coins_spent_mushroom = 20
    #10 coins to buy a flower
    coins_spent_flower = 10
    #20 coins to buy a star
    coins_spent_star = 20
    #The answer is
    result = coins_initial - coins_spent_mushroom - coins_spent_flower - coins_spent_star
    return result"
88,mathwell,mathwell_q711,1,1.0,1.0,1,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,339.0,734,"In the game, Super Mario can stomp on 30 Goombas, 20 Koopas, and 10 Piranha Plants. How many enemies does he stomp on total?","def solution():
    #Super Mario can stomp on 30 Goombas
    goombas = 30
    #20 Koopas
    koopas = 20
    #and 10 Piranha Plants
    piranha_plants = 10
    #The answer is
    result = goombas + koopas + piranha_plants
    return result",60.0,Super Mario,,,"Question: In the game, Super Mario can stomp on 30 Goombas, 20 Koopas, and 10 Piranha Plants. How many enemies does he stomp on total?
Answer: 60.0","Question: In the game, Super Mario can stomp on 30 Goombas, 20 Koopas, and 10 Piranha Plants. How many enemies does he stomp on total?
Solution:
def solution():
    #Super Mario can stomp on 30 Goombas
    goombas = 30
    #20 Koopas
    koopas = 20
    #and 10 Piranha Plants
    piranha_plants = 10
    #The answer is
    result = goombas + koopas + piranha_plants
    return result"
