,question,solution,answer,topic
178,Thor has 1000 thunderbolts. He uses 500 of them to fight the Frost Giants. He then uses 200 of them to fight the Dark Elves. How many thunderbolts does he have left?,"def solution():
    #Thor has 1000 thunderbolts
    thunderbolts_total = 1000
    #He uses 500 of them to fight the Frost Giants
    thunderbolts_frost_giants = 500
    #He then uses 200 of them to fight the Dark Elves
    thunderbolts_dark_elves = 200
    #The answer is
    result = thunderbolts_total - thunderbolts_frost_giants - thunderbolts_dark_elves
    return result",300.0,"Thor, the God of Thunder"
179,"A basketball team has 12 players. 3 of the players are from the US, 5 of the players are from Germany, and 2 of the players are from Spain. 1 of the players is from the United Kingdom. How many more players are there from the US than from the UK?","def solution():
    #The basketball team has 12 players
    players_total = 12
    #3 of the players are from the US
    players_us = 3
    #5 of the players are from Germany
    players_germany = 5
    #2 of the players are from Spain
    players_spain = 2
    #1 of the players is from the United Kingdom
    players_uk = 1
    #The answer is
    result = players_us - players_uk
    return result",2.0,basketball
180,"Hello Kitty has 2000 yen. 

She spends 300 yen on a toy and 100 yen on a snack. 

How much yen does she have left?","def solution():

    # Hello Kitty's initial amount of yen

    yen_initial = 2000

    # Yen spent on a toy

    yen_toy = 300

    # Yen spent on a snack

    yen_snack = 100

    # The answer is

    result = yen_initial - yen_toy - yen_snack

    return result",1600.0,Hello Kitty
181,Hello Kitty has 12 pencils. She bought 3 more pencils. Her friend gave her 5 more pencils. How many pencils does Hello Kitty have now?,"def solution():
    #Hello Kitty has 12 pencils
    pencils_hello_kitty = 12
    #She bought 3 more pencils
    pencils_bought = 3
    #Her friend gave her 5 more pencils
    pencils_given = 5
    #The answer is
    result = pencils_hello_kitty + pencils_bought + pencils_given
    return result",20.0,Hello Kitty
182,"100 Fortnite players are in a match. 
25 of them are from the United States. 
15 of them are from Canada. 
10 of them are from the United Kingdom. 
The rest are from other countries. 
How many of them are from other countries?","def solution():
    #100 Fortnite players are in a match
    players_total = 100
    #25 of them are from the United States
    players_us = 25
    #15 of them are from Canada
    players_canada = 15
    #10 of them are from the United Kingdom
    players_uk = 10
    #The rest are from other countries
    players_other = players_total - players_us - players_canada - players_uk
    #The answer is
    result = players_other
    return result",50.0,Fortnite
183,"Thor, the God of Thunder, has 120 thunderbolts. He uses 20 thunderbolts to defeat the Frost Giants. He then uses 30 thunderbolts to defeat the Dark Elves. How many thunderbolts does he have left?","def solution():
    #Thor, the God of Thunder, has 120 thunderbolts
    thunderbolts = 120
    #He uses 20 thunderbolts to defeat the Frost Giants
    thunderbolts_used_frost_giants = 20
    #He then uses 30 thunderbolts to defeat the Dark Elves
    thunderbolts_used_dark_elves = 30
    #The answer is
    result = thunderbolts - thunderbolts_used_frost_giants - thunderbolts_used_dark_elves
    return result",70.0,"Thor, the God of Thunder"
184,"100 unicorns are in a field. 25 of them are pink, 30 of them are purple, and the rest are white. How many white unicorns are in the field?","def solution():
    #Total unicorns
    total_unicorns = 100
    #Pink unicorns
    pink_unicorns = 25
    #Purple unicorns
    purple_unicorns = 30
    #White unicorns
    white_unicorns = total_unicorns - pink_unicorns - purple_unicorns
    return white_unicorns",45.0,unicorns
185,"Iron Man has 1200 repulsor beams. He used 200 of them on the Hulk, 300 of them on the Abomination, and 100 of them on the Mandarin. How many repulsor beams does he have left?","def solution():
    #Iron Man started with 1200 repulsor beams
    repulsor_beams_initial = 1200
    #He used 200 on the Hulk
    repulsor_beams_hulk = 200
    #He used 300 on the Abomination
    repulsor_beams_abomination = 300
    #He used 100 on the Mandarin
    repulsor_beams_mandarin = 100
    #The answer is
    result = repulsor_beams_initial - repulsor_beams_hulk - repulsor_beams_abomination - repulsor_beams_mandarin
    return result",600.0,Iron Man
186,"Batman has 120 batarangs. He uses 20 batarangs to fight the Penguin, 30 batarangs to fight the Riddler, and 40 batarangs to fight the Joker. How many batarangs does he have left?","def solution():
    #Batman started with 120 batarangs
    batarangs_initial = 120
    #He used 20 batarangs to fight the Penguin, 30 to fight the Riddler, and 40 to fight the Joker
    batarangs_used_penguin = 20
    batarangs_used_riddler = 30
    batarangs_used_joker = 40
    #The answer is
    result = batarangs_initial - batarangs_used_penguin - batarangs_used_riddler - batarangs_used_joker
    return result",30.0,Batman
187,"Black Panther has 100 vibranium orbs. 25 of them are for healing, 20 of them are for strength, and 10 of them are for both. How many vibranium orbs does Black Panther have for other purposes?","def solution():
    #Black Panther has 100 vibranium orbs
    vibranium_orb_total = 100
    #25 of them are for healing
    vibranium_orb_healing = 25
    #20 of them are for strength
    vibranium_orb_strength = 20
    #10 of them are for both
    vibranium_orb_both = 10
    #The answer is
    result = vibranium_orb_total - vibranium_orb_healing - vibranium_orb_strength + vibranium_orb_both
    return result",65.0,Black Panther
188,"There are 100 unicorns in a magical forest. 25 of them are pink, 30 of them are blue, and the rest are rainbow. How many unicorns are rainbow?","def solution():
    # total unicorns
    total_unicorns = 100
    # pink unicorns
    pink_unicorns = 25
    # blue unicorns
    blue_unicorns = 30
    # rainbow unicorns
    rainbow_unicorns = total_unicorns - pink_unicorns - blue_unicorns
    return rainbow_unicorns",45.0,unicorns
189,"Harry Potter is in a duel with Draco Malfoy. 

He casts 5 spells at Draco. 

Draco casts 3 spells at Harry. 

How many spells are cast in total?","def solution():
    # Harry casts 5 spells at Draco
    spells_harry = 5
    # Draco casts 3 spells at Harry
    spells_draco = 3
    # The answer is
    result = spells_harry + spells_draco
    return result",8.0,Harry Potter
190,"LeBron James has 30,000 career points. He has 1,000 more points than the next highest scorer, Kareem Abdul-Jabbar. How many points does Kareem Abdul-Jabbar have?","def solution():
    #LeBron James has 30,000 career points
    lebron_points = 30000
    #He has 1,000 more points than the next highest scorer, Kareem Abdul-Jabbar
    kareem_points = lebron_points - 1000
    #The answer is
    result = kareem_points
    return result",29000.0,LeBron James
193,"Iron Man has 5000 vibranium-enhanced armor plates. 2000 of the plates are in his vault, 1000 of them are in the Avengers' vault, and the rest are in S.H.I.E.L.D.'s vault. How many plates are in S.H.I.E.L.D.'s vault?","def solution():
    #Iron Man has 5000 plates
    plates_total = 5000
    #2000 are in his vault
    plates_vault = 2000
    #1000 are in the Avengers' vault
    plates_avengers_vault = 1000
    #The answer is
    result = plates_total - plates_vault - plates_avengers_vault
    return result",2000.0,Iron Man
194,"Captain America has 1000 vibranium shields. 200 of them are in his vault, and the rest are in his armory. How many vibranium shields are in his armory?","def solution():
    #Captain America has 1000 vibranium shields
    vibranium_shields_total = 1000
    #200 of them are in his vault
    vibranium_shields_vault = 200
    #The rest are in his armory. The answer is
    result = vibranium_shields_total - vibranium_shields_vault
    return result",800.0,Captain America
195,A 10-car train is 1200 feet long. A 20-car train is 2400 feet long. How many feet longer is the 20-car train than the 10-car train?,"def solution():
    #The 10-car train is 1200 feet long
    ten_car_train_length = 1200
    #The 20-car train is 2400 feet long
    twenty_car_train_length = 2400
    #The 20-car train is
    result = twenty_car_train_length - ten_car_train_length
    return result",1200.0,trains
196,"Barbie has 100 pink heels. 25 of them are 3-inch heels, 50 of them are 4-inch heels, and the rest are 5-inch heels. How many 5-inch heels does Barbie have?","def solution():
    #Barbie has 100 pink heels
    pink_heels = 100
    #25 of them are 3-inch heels
    three_inch_heels = 25
    #50 of them are 4-inch heels
    four_inch_heels = 50
    #The rest are 5-inch heels. The answer is
    five_inch_heels = pink_heels - three_inch_heels - four_inch_heels
    return five_inch_heels",25.0,Barbie
197,"A Creeper has 200 health points. A Skeleton has 100 health points. A Zombie has 150 health points. How many health points do 2 Creepers, 3 Skeletons, and 2 Zombies have?","def solution():
    #A Creeper has 200 health points
    creeper_health = 200
    #A Skeleton has 100 health points
    skeleton_health = 100
    #A Zombie has 150 health points
    zombie_health = 150
    #The answer is
    result = 2*creeper_health + 3*skeleton_health + 2*zombie_health
    return result",1000.0,Minecraft
198,The 49ers have 320 rushing yards. They have 40 more rushing yards than passing yards. How many passing yards do they have?,"def solution():
    #The 49ers have 320 rushing yards
    rushing_yards = 320
    #They have 40 more rushing yards than passing yards
    passing_yards = rushing_yards - 40
    #The answer is
    result = passing_yards
    return result",280.0,football
199,"Batman has 2000 Batarangs. 
He uses 500 of them in the first month, 300 of them in the second month, and 200 of them in the third month. 
How many Batarangs does he have left?","def solution():
    #Batman has 2000 Batarangs
    batarangs_initial = 2000
    #He uses 500 of them in the first month
    batarangs_first_month = 500
    #He uses 300 of them in the second month
    batarangs_second_month = 300
    #He uses 200 of them in the third month
    batarangs_third_month = 200
    #The answer is
    result = batarangs_initial - batarangs_first_month - batarangs_second_month - batarangs_third_month
    return result",1000.0,Batman
200,"The cheerleading squad has 200 pom-poms. 100 of the pom-poms are red, 60 of the pom-poms are blue, and the rest are yellow. How many pom-poms are yellow?","def solution():
    #The cheerleading squad has 200 pom-poms
    pom_poms_total = 200
    #100 of the pom-poms are red
    pom_poms_red = 100
    #60 of the pom-poms are blue
    pom_poms_blue = 60
    #The answer is
    result = pom_poms_total - pom_poms_red - pom_poms_blue
    return result",40.0,cheer leading
201,"A bakery bakes 1200 cookies. 

They bake 200 more cookies on Monday, 300 more on Tuesday, and 400 more on Wednesday. 

How many cookies do they have now?","def solution():
    #The bakery bakes 1200 cookies
    cookies_initial = 1200
    #They bake 200 more cookies on Monday
    cookies_baked_monday = 200
    #They bake 300 more on Tuesday
    cookies_baked_tuesday = 300
    #They bake 400 more on Wednesday
    cookies_baked_wednesday = 400
    #The answer is
    result = cookies_initial + cookies_baked_monday + cookies_baked_tuesday + cookies_baked_wednesday
    return result",2100.0,cookies
203,"A candy store has 1000 lollipops. 200 of them are red, 300 of them are green, and the rest are blue. How many of the lollipops are blue?","def solution():
    #Total lollipops
    total_lollipops = 1000
    #Red lollipops
    red_lollipops = 200
    #Green lollipops
    green_lollipops = 300
    #The answer is
    blue_lollipops = total_lollipops - red_lollipops - green_lollipops
    return blue_lollipops",500.0,candy
204,"Patrick Mahomes, the NFL superstar, has 3000 passing yards this season. He has 1000 more passing yards than last season. How many passing yards did he have last season?","def solution():
    #Patrick Mahomes has 3000 passing yards this season
    mahomes_passing_yards_this_season = 3000
    #He has 1000 more passing yards than last season
    mahomes_passing_yards_last_season = mahomes_passing_yards_this_season - 1000
    #The answer is
    result = mahomes_passing_yards_last_season
    return result",2000.0,Patrick Mahomes
205,"In the first level of Super Mario, there are 100 coins.  In the second level, there are 200 coins.  In the third level, there are 300 coins.  How many coins are in the first three levels of Super Mario?","def solution():
    #In the first level, there are 100 coins
    coins_first_level = 100
    #In the second level, there are 200 coins
    coins_second_level = 200
    #In the third level, there are 300 coins
    coins_third_level = 300
    #The answer is
    result = coins_first_level + coins_second_level + coins_third_level
    return result",600.0,Super Mario
206,"The Tampa Bay Buccaneers have 22 players on offense, 26 on defense, and 8 on special teams. 

How many players are on the team?","def solution():
    #The Buccaneers have 22 players on offense
    offense_players = 22
    #26 on defense
    defense_players = 26
    #and 8 on special teams
    special_teams_players = 8
    #The answer is
    result = offense_players + defense_players + special_teams_players
    return result",56.0,football
207,"Pikachu has 100 thunderbolts. He uses 20 thunderbolts on Monday, 15 on Tuesday, and 25 on Wednesday. How many thunderbolts does he have left?","def solution():
    # Pikachu started with 100 thunderbolts
    thunderbolts_initial = 100
    # He used 20 on Monday
    thunderbolts_monday = 20
    # 15 on Tuesday
    thunderbolts_tuesday = 15
    # And 25 on Wednesday
    thunderbolts_wednesday = 25
    # The answer is
    result = thunderbolts_initial - thunderbolts_monday - thunderbolts_tuesday - thunderbolts_wednesday
    return result",40.0,Pokémon
209,"A volleyball team has 12 players. 
4 of the players are 18 years old. 
3 of the players are 19 years old. 
2 of the players are 20 years old. 
1 of the players is 21 years old. 
2 of the players are 22 years old. 
How many of the players are not 18, 19, 20, or 21 years old?","def solution():
    #Total number of players
    total_players = 12
    #Number of players who are 18, 19, 20, and 21
    players_18 = 4
    players_19 = 3
    players_20 = 2
    players_21 = 1
    #The answer is
    result = total_players - players_18 - players_19 - players_20 - players_21
    return result",2.0,volleyball
210,"1000 unicorns are in a field. 200 of the unicorns are pink, 300 are purple, and the rest are blue. How many unicorns are blue?","def solution():
    #1000 unicorns are in a field
    unicorns = 1000
    #200 of the unicorns are pink
    pink_unicorns = 200
    #300 are purple
    purple_unicorns = 300
    #The rest are blue
    blue_unicorns = unicorns - pink_unicorns - purple_unicorns
    #The answer is
    result = blue_unicorns
    return result",500.0,unicorns
211,"A Minecraft world has 10000 blocks. 2000 of the blocks are dirt, 3000 are stone, 2000 are cobblestone, and the rest are ores. How many ores are there?","def solution():
    #Total blocks
    total_blocks = 10000
    #Dirt blocks
    dirt_blocks = 2000
    #Stone blocks
    stone_blocks = 3000
    #Cobblestone blocks
    cobblestone_blocks = 2000
    #The rest are ores. The answer is
    ores = total_blocks - dirt_blocks - stone_blocks - cobblestone_blocks
    return ores",3000.0,Minecraft
212,200 cats are at the cat cafe. 30 cats are asleep. 60 cats are eating. 20 cats are playing. 10 cats are grooming. How many cats are doing other things?,"def solution():
    #Total cats
    total_cats = 200
    #Cats asleep
    cats_asleep = 30
    #Cats eating
    cats_eating = 60
    #Cats playing
    cats_playing = 20
    #Cats grooming
    cats_grooming = 10
    #Cats doing other things
    cats_other = total_cats - cats_asleep - cats_eating - cats_playing - cats_grooming
    return cats_other",80.0,cats
213,"There are 100 Power Rangers. 30 of them are the Red Ranger, 20 of them are the Blue Ranger, 20 of them are the Yellow Ranger, and the rest are the Green Ranger. How many of them are the Green Ranger?","def solution():
    #Total number of Power Rangers
    total_power_rangers = 100
    #Number of Red Rangers
    red_rangers = 30
    #Number of Blue Rangers
    blue_rangers = 20
    #Number of Yellow Rangers
    yellow_rangers = 20
    #The rest are Green Rangers.
    green_rangers = total_power_rangers - red_rangers - blue_rangers - yellow_rangers
    return green_rangers",30.0,Power Rangers
214,Black Panther can punch 500 times in a minute. He punched for 20 minutes. How many punches did he throw?,"def solution():
    #Black Panther can punch 500 times in a minute
    punches_per_minute = 500
    #He punched for 20 minutes
    minutes = 20
    #The answer is
    result = punches_per_minute * minutes
    return result",10000.0,Black Panther
215,"Thor can summon 10 lightning bolts per second. 
How many lightning bolts can he summon in 10 seconds?","def solution():
    #Thor can summon 10 lightning bolts per second
    lightning_bolts_per_second = 10
    #The answer is
    result = lightning_bolts_per_second * 10
    return result",100.0,"Thor, the God of Thunder"
216,Ash has 100 Poké Balls. He uses 20 of them to catch 20 Pidgeys. He then uses 10 of them to catch 10 Rattatas. How many Poké Balls does he have left?,"def solution():
    #Ash has 100 Poké Balls
    poke_balls = 100
    #He uses 20 of them to catch 20 Pidgeys
    poke_balls_used_for_pidgeys = 20
    #He then uses 10 of them to catch 10 Rattatas
    poke_balls_used_for_rattatas = 10
    #The answer is
    result = poke_balls - poke_balls_used_for_pidgeys - poke_balls_used_for_rattatas
    return result",70.0,Pokémon
217,Serena has 24 Grand Slam titles. 8 of her titles are from Wimbledon. 6 are from the US Open. 5 are from the Australian Open. 5 are from the French Open. How many of her titles are from other tournaments?,"def solution():
    #Serena has 24 Grand Slam titles
    grand_slam_titles = 24
    #8 of her titles are from Wimbledon
    wimbledon_titles = 8
    #6 are from the US Open
    us_open_titles = 6
    #5 are from the Australian Open
    australian_open_titles = 5
    #5 are from the French Open
    french_open_titles = 5
    #The answer is
    result = grand_slam_titles - wimbledon_titles - us_open_titles - australian_open_titles - french_open_titles
    return result",0.0,Serena Williams
218,"A candy store has 120 lollipops. 30 of the lollipops are red, 20 are blue, and 20 are green. The rest of the lollipops are pink. How many pink lollipops are there?","def solution():
    #Total lollipops
    total_lollipops = 120
    #Red lollipops
    red_lollipops = 30
    #Blue lollipops
    blue_lollipops = 20
    #Green lollipops
    green_lollipops = 20
    #The rest are pink
    pink_lollipops = total_lollipops - red_lollipops - blue_lollipops - green_lollipops
    return pink_lollipops",50.0,candy
219,Wonder Woman has 100 lassos. She lassos 20 bad guys a day for 5 days. How many lassos does she have left?,"def solution():
    #Wonder Woman started with 100 lassos
    lassos_initial = 100
    #She lassos 20 bad guys a day for 5 days
    lassos_used_per_day = 20
    #There are 5 days
    num_days = 5
    #She used
    lassos_used = lassos_used_per_day * num_days
    #The answer is
    result = lassos_initial - lassos_used
    return result",0.0,Wonder Woman
220,Superman can punch 2000 times per minute.  How many punches can he throw in 10 minutes?,"def solution():
    #Superman can punch 2000 times per minute
    punches_per_minute = 2000
    #How many punches can he throw in 10 minutes?
    punches_in_10_minutes = punches_per_minute * 10
    return punches_in_10_minutes",20000.0,Superman
221,"A 25-meter pool is 2.5 times as long as a 10-meter pool. 
How many more meters is the 25-meter pool than the 10-meter pool?","def solution():
    #A 25-meter pool is 2.5 times as long as a 10-meter pool
    pool_25_meters = 25
    pool_10_meters = 10
    #The answer is
    result = pool_25_meters - pool_10_meters
    return result",15.0,swimming
231,"Serena Williams has 24 Grand Slam titles. 13 of them are in singles, 12 are in women's doubles, and 5 are in mixed doubles. How many more Grand Slam titles does she have in singles than in mixed doubles?","def solution():
    #Serena Williams has 24 Grand Slam titles
    grand_slam_titles = 24
    #13 of them are in singles, 12 are in women's doubles, and 5 are in mixed doubles
    singles_titles = 13
    doubles_titles = 12
    mixed_doubles_titles = 5
    #The answer is
    result = singles_titles - mixed_doubles_titles
    return result",8.0,Serena Williams
0,LeBron James has 30000 points. He has 1000 more points than 2019. How many points did he have in 2019?,"def solution():
    #LeBron James has 30000 points
    points_2020 = 30000
    #He has 1000 more points than 2019
    points_2019 = points_2020 - 1000
    return points_2019",29000,LeBron James
1,A class has 120 students. 40 of them are in the 11th grade. 60 are in the 12th grade. 20 are in the 9th grade. How many students are in the 10th grade?,"def solution():
    #The total number of students is 120
    total_students = 120
    #The number of 11th grade students is 40
    eleventh_grade_students = 40
    #The number of 12th grade students is 60
    twelfth_grade_students = 60
    #The number of 9th grade students is 20
    ninth_grade_students = 20
    #The number of 10th grade students is
    tenth_grade_students = total_students - eleventh_grade_students - twelfth_grade_students - ninth_grade_students
    return tenth_grade_students",0,unspecified
2,"Naruto has 5000 ryo. He spends 1000 ryo on a new outfit, 2000 ryo on a new apartment, and 3000 ryo on a new set of swords. How many ryo does he have left?","def solution():
    #Naruto started with 5000 ryo
    ryo_initial = 5000
    #He spent 1000 ryo on a new outfit
    ryo_spent_outfit = 1000
    #He spent 2000 ryo on a new apartment
    ryo_spent_apartment = 2000
    #He spent 3000 ryo on a new set of swords
    ryo_spent_swords = 3000
    #The answer is
    result = ryo_initial - ryo_spent_outfit - ryo_spent_apartment - ryo_spent_swords
    return result",-1000,Naruto
3,Hello Kitty has 12 pencils. She bought 5 more pencils. Then she lost 2 pencils. How many pencils does she have now?,"def solution():
    #Hello Kitty started with 12 pencils
    pencils_initial = 12
    #She bought 5 more pencils
    pencils_bought = 5
    #She lost 2 pencils
    pencils_lost = 2
    #The answer is
    result = pencils_initial + pencils_bought - pencils_lost
    return result",15,Hello Kitty
4,Wonder Woman's lasso of truth can hold 30 people. She is lassoing 8 people a day. How many days does it take to fill the lasso?,"def solution():
    #Wonder Woman's lasso can hold 30 people
    lasso_capacity = 30
    #She is lassoing 8 people a day
    people_per_day = 8
    #The answer is
    result = lasso_capacity / people_per_day
    return result",3.75,Wonder Woman
5,LeBron James has 6000 points. He has 2000 more points than Steph Curry. How many points does Steph Curry have?,"def solution():
    #LeBron James has 6000 points
    lebron_points = 6000
    #He has 2000 more points than Steph Curry
    steph_points = lebron_points - 2000
    #The answer is
    result = steph_points
    return result",4000,LeBron James
6,A bakery bakes 200 baguettes and 100 croissants. The bakery sells 100 baguettes and 90 croissants. How many baguettes and croissants are left?,"def solution():
    #The bakery bakes 200 baguettes and 100 croissants
    baguettes_baked = 200
    croissants_baked = 100
    #The bakery sells 100 baguettes and 90 croissants
    baguettes_sold = 100
    croissants_sold = 90
    #The answer is
    result = baguettes_baked - baguettes_sold, croissants_baked - croissants_sold
    return result","(100, 10)",unspecified
7,Superman can punch 500 times in 5 minutes. How many punches can he throw in 10 minutes?,"def solution():
    #Superman can punch 500 times in 5 minutes
    punches_in_5_minutes = 500
    #So, in 10 minutes, he can punch
    punches_in_10_minutes = punches_in_5_minutes * 2
    return punches_in_10_minutes",1000,Superman
8,"500 cars are in a parking lot. 200 of the cars are Hondas, 150 are Toyotas, and the rest are Nissans. How many Nissans are there?","def solution():
    #500 cars are in a parking lot
    cars_total = 500
    #200 of the cars are Hondas
    hondas = 200
    #150 are Toyotas
    toyotas = 150
    #The rest are Nissans. The answer is
    nissans = cars_total - hondas - toyotas
    return nissans",150,cars
9,A truck has 23000 pounds of cargo. 5000 pounds are unloaded at the first stop. 3000 more pounds are unloaded at the second stop. 2000 more pounds are unloaded at the third stop. How many pounds of cargo are left on the truck?,"def solution():
    #The truck started with 23000 pounds of cargo
    cargo_initial = 23000
    #5000 pounds were unloaded at the first stop
    cargo_unloaded_first = 5000
    #3000 more pounds were unloaded at the second stop
    cargo_unloaded_second = 3000
    #2000 more pounds were unloaded at the third stop
    cargo_unloaded_third = 2000
    #The answer is
    result = cargo_initial - cargo_unloaded_first - cargo_unloaded_second - cargo_unloaded_third
    return result",13000,unspecified
10,Barbie has 200 Barbie dolls. She gave 25 to her best friend and 50 to her little sister. How many Barbie dolls does she have left?,"def solution():
    #Barbie started with 200 Barbie dolls
    barbie_dolls_initial = 200
    #She gave 25 to her best friend
    barbie_dolls_given_friend = 25
    #And 50 to her little sister
    barbie_dolls_given_sister = 50
    #The answer is
    result = barbie_dolls_initial - barbie_dolls_given_friend - barbie_dolls_given_sister
    return result",125,Barbie
11,The 49ers are a football team. 20 of their players are on the offense. 15 of their players are on the defense. 10 of their players are on special teams. 5 of their players are on the practice squad. How many players are on the 49ers?,"def solution():
    #The 49ers have 20 offensive players
    offensive_players = 20
    #15 defensive players
    defensive_players = 15
    #10 special teams players
    special_teams_players = 10
    #5 practice squad players
    practice_squad_players = 5
    #The answer is
    result = offensive_players + defensive_players + special_teams_players + practice_squad_players
    return result",50,football
12,"There are 6 Power Rangers. 3 of them are in the gym, and 2 of them are in the cafeteria. 1 of them is in the infirmary. How many Power Rangers are not in the gym, cafeteria, or infirmary?","def solution():
    #There are 6 Power Rangers
    power_rangers_total = 6
    #3 of them are in the gym
    power_rangers_gym = 3
    #2 of them are in the cafeteria
    power_rangers_cafeteria = 2
    #1 of them is in the infirmary
    power_rangers_infirmary = 1
    #The answer is
    result = power_rangers_total - power_rangers_gym - power_rangers_cafeteria - power_rangers_infirmary
    return result",0,Power Rangers
13,"The Beverly Hills Bakery baked 200 loaves of bread on Monday. They baked 50 more loaves on Tuesday. On Wednesday, they baked 100 more loaves. How many loaves of bread did they bake in total?","def solution():
    #They baked 200 loaves on Monday
    loaves_baked_monday = 200
    #50 more on Tuesday
    loaves_baked_tuesday = 50
    #and 100 more on Wednesday
    loaves_baked_wednesday = 100
    #The answer is
    result = loaves_baked_monday + loaves_baked_tuesday + loaves_baked_wednesday
    return result",350,unspecified
14,"In the first 3 Harry Potter movies, there were 25, 32, and 47 wizards, respectively. 
In the next 3 movies, the number of wizards was 15, 20, and 25, respectively. 
How many more wizards were in the first 3 movies than in the next 3 movies?","def solution():
    #The number of wizards in the first 3 movies
    wizards_first_3_movies = 25 + 32 + 47
    #The number of wizards in the next 3 movies
    wizards_next_3_movies = 15 + 20 + 25
    #The answer is
    result = wizards_first_3_movies - wizards_next_3_movies
    return result",44,Harry Potter
15,Serena has 19 Grand Slam titles. 6 of them are Australian Opens. 5 of them are Wimbledons. 4 of them are US Opens. The rest are French Opens. How many French Opens does she have?,"def solution():
    #Serena has 19 Grand Slam titles
    grand_slam_titles = 19
    #6 of them are Australian Opens
    australian_opens = 6
    #5 of them are Wimbledons
    wimbledons = 5
    #4 of them are US Opens
    us_opens = 4
    #The rest are French Opens.
    french_opens = grand_slam_titles - australian_opens - wimbledons - us_opens
    #The answer is
    result = french_opens
    return result",4,Serena Williams
16,A pizza is cut into 8 slices. 2 slices are left in the refrigerator. 3 slices are given to the pizza delivery guy. 2 slices are eaten by the pizza eater. How many slices are left?,"def solution():
    #A pizza is cut into 8 slices
    pizza_slices = 8
    #2 slices are left in the refrigerator
    slices_left = 2
    #3 slices are given to the pizza delivery guy
    slices_given = 3
    #2 slices are eaten by the pizza eater
    slices_eaten = 2
    #The answer is
    result = pizza_slices - slices_left - slices_given - slices_eaten
    return result",1,pizza
17,A 500-page book has 200 pages in the first half and 300 pages in the second half. 100 pages of the first half and 200 pages of the second half are in color. How many pages are in black and white?,"def solution():
    #The book has 500 pages
    total_pages = 500
    #200 pages in the first half and 300 pages in the second half
    first_half_pages = 200
    second_half_pages = 300
    #100 pages of the first half and 200 pages of the second half are in color
    color_first_half_pages = 100
    color_second_half_pages = 200
    #The answer is
    result = total_pages - color_first_half_pages - color_second_half_pages
    return result",200,unspecified
18,"Thor, the God of Thunder, is in a bad mood. He smashes 200 buildings on Monday, 100 on Tuesday, and 50 on Wednesday. How many buildings are left? (Assume that there were 400 buildings to begin with.)","def solution():
    #There were 400 buildings
    buildings_initial = 400
    #Thor smashed 200 on Monday, 100 on Tuesday, and 50 on Wednesday
    buildings_smashed_monday = 200
    buildings_smashed_tuesday = 100
    buildings_smashed_wednesday = 50
    #The answer is
    result = buildings_initial - (buildings_smashed_monday + buildings_smashed_tuesday + buildings_smashed_wednesday)
    return result",50,Thor
19,Spiderman has 3000 spiderwebs. He uses 2000 spiderwebs to catch 2000 flies. He then uses 500 spiderwebs to catch 500 worms. How many spiderwebs does he have left?,"def solution():
    #Spiderman started with 3000 spiderwebs
    spiderwebs_initial = 3000
    #He used 2000 spiderwebs to catch 2000 flies
    spiderwebs_used_flies = 2000
    #He used 500 spiderwebs to catch 500 worms
    spiderwebs_used_worms = 500
    #The answer is
    result = spiderwebs_initial - spiderwebs_used_flies - spiderwebs_used_worms
    return result",500,Spiderman
20,"There are 5100 ants in an anthill. 2000 of the ants in the anthill are foragers, and the rest of the ants are not. 500 of the ants that are not foragers become foragers. How many ants are not foragers now?","def solution():
    #Total ants in the anthill
    total_ants = 5100
    #Foraging ants
    foraging_ants = 2000
    #Non-foraging ants
    non_foraging_ants = total_ants - foraging_ants
    #500 non-foraging ants become foragers
    new_foraging_ants = 500
    #New foraging ants
    foraging_ants = foraging_ants + new_foraging_ants
    #New non-foraging ants
    non_foraging_ants = non_foraging_ants - new_foraging_ants
    #The answer is
    result = non_foraging_ants
    return result",2600,unspecified
21,A Pokémon trainer has 110 Pokémon. 20 of the Pokémon are Pikachu. 30 of the Pokémon are Squirtle. 20 of the Pokémon are Charmander. 40 of the Pokémon are Bulbasaur. How many of the Pokémon are not one of these four types?,"def solution():
    #Total number of Pokémon
    total_pokemon = 110
    #Number of Pikachu, Squirtle, Charmander, and Bulbasaur
    pikachu = 20
    squirtle = 30
    charmander = 20
    bulbasaur = 40
    #The answer is
    result = total_pokemon - pikachu - squirtle - charmander - bulbasaur
    return result",0,Pokémon
22,Barbie has 240 pink marbles. She has 20% more blue marbles than pink marbles. How many marbles does she have in total?,"def solution():
    #Barbie has 240 pink marbles
    pink_marbles = 240
    #She has 20% more blue marbles than pink marbles
    blue_marbles = pink_marbles * 1.2
    #The answer is
    result = pink_marbles + blue_marbles
    return result",528.0,Barbie
23,"A field hockey team has 24 players. 12 of the players are forwards, 7 are midfielders, and the rest are defenders. How many players are defenders?","def solution():
    #Total players
    total_players = 24
    #Forwards
    forwards = 12
    #Midfielders
    midfielders = 7
    #Defenders are the rest
    defenders = total_players - forwards - midfielders
    return defenders",5,field hockey
