,question_number,question,answer
214,question214,"The 4-H club is selling 1000 raffle tickets. 200 tickets were sold on Monday, 300 tickets were sold on Tuesday, and 400 tickets were sold on Wednesday. How many tickets does the 4-H club have left to sell?",100
215,question215,A 1-liter bottle of soda has 4 cups of soda. A 2-liter bottle of soda has 8 cups of soda. How many more cups of soda are in the 2-liter bottle than in the 1-liter bottle?,4
216,question216,"A warehouse has 12 forklifts. Each forklift can carry a maximum of 1500 pounds. A 20-foot container can hold 20,000 pounds of cargo. How many forklifts are needed to unload a 20-foot container?",13.333333333333334
217,question217,"123456789 is a 9-digit number. If you remove the last digit, the number is divisible by 9. What is the sum of all the digits in the number?",36
218,question218,A warehouse has 1000 forklifts. They sell 200 forklifts and buy 100 more. How many forklifts do they have now?,900
219,question219,A candy store has 20000 square feet of space. 20% of the space is used for the candy store. 30% of the space is used for the bakery. How much space is left for the coffee shop?,20000
220,question220,"The 3rd, 4th, and 5th floors of a building have 20, 30, and 40 offices, respectively. What is the total number of offices on these floors?",90
221,question221,A soccer team has 25 players. 15 of the players are from the United States. 6 of the players are from Mexico. 4 of the players are from Canada. How many players are not from North America?,0
222,question222,A soccer team has 24 players. 1/3 of the players are goalkeepers. How many players are not goalkeepers?,24
223,question223,A baker is making pies. She has 24 apples and 12 pumpkins. She can make 3 apple pies with 24 apples and 2 pumpkin pies with 12 pumpkins. How many pies can she make?,5
224,question224,A 2-liter bottle of soda has 80 ounces of soda. A 12-ounce can of soda is 1/8 of a 2-liter bottle. How many cans of soda are in a 2-liter bottle?,6.666666666666667
225,question225,A cake of soap weighs 4 ounces.  Hotel Maid Marianne changes the soap in 20 rooms each day.  How many ounces of soap does Marianne change in a 5 day work week?,400
226,question226,A pizzaiolo can make 10 pizzas an hour. How many pizzas can he make in 5 hours?,50
227,question227,"A soccer team has 24 players. 12 of the players are forwards, and 1/3 of the forwards are captains. How many captains are there?",4.0
228,question228,A bakery has 120 muffins. They sell 48 muffins in the morning and 23 muffins in the afternoon. How many muffins do they have left?,72
229,question229,Olivia has $23. She bought five bagels for $3 each. How much money does she have left?,8
230,question230,A bakery bakes 200 loaves of bread a day. 80% of the loaves are sold by the end of the day. How many loaves of bread are left?,40.0
231,question231,The 1234567890 company is leasing 20000 square feet of office space. The monthly rent is $12 per square foot. How much is the total annual rent?,240000
232,question232,A bakery sells 200 loaves of bread a day. It bakes 20 loaves of bread an hour. How many hours a day does the bakery bake?,10.0
233,question233,A 20-ounce soda has 2.5 servings per container. How many ounces of soda are in 5 servings?,40.0
234,question234,"The 3rd grade class has 25 students. The 4th grade class has 28 students. The 5th grade class has 23 students. How many students are in the 3rd, 4th, and 5th grade classes?",25
235,question235,A 20-ounce soda has 16 ounces of water and 4 ounces of syrup. How many ounces of soda can be made from 64 ounces of water?,4.0
236,question236,24000 people attended the 2000 Democratic National Convention. 16000 people attended the 2000 Republican National Convention. How many more people attended the Democratic convention than the Republican convention?,8000
237,question237,A 24-pack of soda cans is on sale for $6.00.  How much will it cost to buy 3 24-packs of soda cans?,18
238,question238,"The soccer team has 150 chairs. The chairs are red, blue, or green. There are 50 red chairs and 50 blue chairs. How many green chairs are there?",50
239,question239,The 3rd-grade class has 25 students. The 4th-grade class has 20 students. The 5th-grade class has 28 students. How many students are there in total?,73
240,question240,1/3 of the 24-member soccer team are defenders. How many players are defenders?,8.0
241,question241,The bakery made 1200 donuts on Monday. They made 200 more donuts on Tuesday and 300 more donuts on Wednesday. How many donuts did the bakery make in total?,1700
242,question242,1200 people are at a soccer game. 1/2 of the people are from the home team and 1/4 of the people are from the away team. How many people are there who are not part of either team?,300.0
243,question243,A bakery sells 100 baguettes a day. It takes 4 hours to bake 100 baguettes. How many baguettes can the bakery bake in 12 hours?,300.0
244,question244,"A 24-pack of beer is on sale for $20.00.  If the store has a 10% tax, how much will each beer cost?",0.9166666666666661
245,question245,A box of 240 crayons costs $15.00.  A box of 120 crayons costs $10.00.  How much is the cost difference between the two boxes of crayons?,5
246,question246,The 3rd grade class is 2/3 the size of the 4th grade class. The 4th grade class is 1/2 the size of the 5th grade class. The 5th grade class has 20 students. How many students are in the 3rd grade class?,6.666666666666667
247,question247,A bakery has 200 loaves of bread. It sells 93 loaves in the morning and 39 loaves in the afternoon. A grocery store returns 6 unsold loaves. How many loaves of bread does the bakery have left?,74
248,question248,A pizza shop has 200 slices of pizza. They sell 20 slices in the morning and 30 slices in the afternoon. How many slices of pizza do they have left?,150
249,question249,The number of pets in a house is 3/5 of the number of people in the house.  There are 20 people in the house.  How many pets are in the house?,12.0
250,question250,20000 people live in a city. 1/4 of the population are children. How many children live in the city?,5000.0
251,question251,A soccer team has 24 players. 1/3 of the players are goalkeepers. How many players are not goalkeepers?,16
252,question252,"250 people were at the first day of the carnival. The next day, 500 more people attended. The third day, 200 people from the second day left. How many people were at the carnival on the third day?",300
253,question253,A 12-pack of soda costs $3. A 24-pack of soda costs $5. How much would it cost to buy 36 cans of soda?,9.0
254,question254,A bakery has 1200 cookies. They have 100 customers. Each customer can buy a maximum of 12 cookies. How many customers will be turned away because there are not enough cookies?,0
255,question255,A 10-foot by 10-foot room has 200 square feet of floor space. How many 12-inch by 12-inch tiles will it take to cover the floor?,1.388888888888888
256,question256,A baker bakes 200 loaves of bread a day. He sells 1/2 of the loaves in the morning and 1/2 of the remaining loaves in the afternoon. How many loaves of bread does he have left at the end of the day?,50.0
257,question257,"A catering company is catering a party. 50 people are coming to the party. 20 of the guests are vegetarians. 10 of the guests are vegans. 30 of the guests are omnivores. The catering company has to provide 2000 calories to each omnivore, 1500 calories to each vegetarian, and 1000 calories to each vegan. How many calories of food does the catering company need to provide?",100000
258,question258,A 12-ounce can of soda has 160 calories. A 16-ounce can of soda has 220 calories. How many more calories are in the 16-ounce can of soda than in the 12-ounce can of soda?,60
259,question259,24 ounces of soda were in a bottle. 4 ounces of soda were drank. 2 ounces of soda were left in the bottle. How many ounces of soda were there before any soda was drank?,22
260,question260,35000 people live in a city. 5000 more people move in. 1000 people move out. How many people are left?,39000
261,question261,The soccer team has 11 players. The basketball team has 13 players. The baseball team has 14 players. How many players are there in all?,38
262,question262,A 12-ounce can of soda is 1/8 of a 2-liter bottle. A 2-liter bottle of soda has 80 ounces. How many ounces of soda are in 4 cans?,48
263,question263,A toy store has 200 toys. The toy store sells 30 toys in the morning and 50 toys in the afternoon. How many toys does the toy store have left?,120
264,question264,Olivia has $23. She bought five bagels for $3 each. How much money does she have left?,23
265,question265,A 20-ounce soda has 2.5 ounces of sugar. How much sugar is in a 12-ounce soda?,1.5
266,question266,The 7th grade soccer team has 15 players. 1/3 of the players are from the 8th grade. 2/3 of the 8th graders are boys. How many boys from the 8th grade are on the soccer team?,3.333333333333333
267,question267,"The pizza place has a 2 for 1 deal on pizza.  If a pizza costs $12, how much would it cost to buy 4 pizzas?",24.0
268,question268,A 10-year-old boy is 48 inches tall.  His 6-year-old sister is 40 inches tall.  How many more inches is the boy than his sister?,8
269,question269,A bakery sells 200 loaves of bread on Monday. They sell 10% more on Tuesday and 15% more on Wednesday. How many loaves of bread did they sell by the end of Wednesday?,253.0
270,question270,The bakery is selling 12 cupcakes for $15.00.  They are also selling 24 cookies for $12.00.  How much would you spend if you bought 48 cupcakes and 36 cookies?,96
271,question271,A 20-ounce soda has 120 calories. A 12-ounce soda has 100 calories. How many more calories are in a 20-ounce soda than in a 12-ounce soda?,20
272,question272,A catering company is preparing for a party. They have 100 plates and 100 forks. They need 1 plate and 1 fork for each guest. How many guests can they serve?,100.0
